Date,Time,StationCode,Depth,VolumeReceived,VolumeAnalyzed,PercentOfSampleCounted,FieldOfView,Slide_ChamberArea,AreaCounted,NumberOf FieldsCounted,Factor,BSA_TaxonID,Taxon,Diatom/SoftBody,Genus,Species,Synonym,UnitAbundance,NumberOfCellsPerUnit,Colony_Filament_IndividualGroupCode,Comments,Shape,Biovolume1,Biovolume2,Biovolume3,Biovolume4,Biovolume5,Biovolume6,Biovolume7,Biovolume8,Biovolume9,Biovolume10,,orgs/ml,cells/ml,biovol/ml
11/14/2019,10:31,STTD,3,60,1,0.016666667,0.0697,314.159,0.9061,13,346.7155943,1037,Chlorella sp.,Soft Body,Chlorella,sp.,NA,1,1,i,NA,sphere,3.591360968,NA,NA,NA,NA,NA,NA,NA,NA,NA,,346.7155943,346.7155943,1245.180852
11/14/2019,10:31,STTD,3,60,1,0.016666667,0.0697,314.159,0.9061,13,346.7155943,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,NA,405,858,c,NA,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,,140419.8157,120480201.9,21686436.34
11/13/2019,9:36,SHR,3,61,1,0.016393443,0.0697,314.159,3.485,50,90.14605452,147,Cocconeis sp.,Diatom,Cocconeis,sp.,NA,1,1,i,Cannot meet tally in 50 fields.,elliptic prism,145.8011919,NA,NA,NA,NA,NA,NA,NA,NA,NA,,90.14605452,90.14605452,13143.40219
11/13/2019,9:36,SHR,3,61,1,0.016393443,0.0697,314.159,3.485,50,90.14605452,190,Cyclotella sp.,Diatom,Cyclotella,sp.,NA,1,1,i,Cannot meet tally in 50 fields.,cylinder,318.2619165,NA,NA,NA,NA,NA,NA,NA,NA,NA,,90.14605452,90.14605452,28690.05608
11/13/2019,9:36,SHR,3,61,1,0.016393443,0.0697,314.159,3.485,50,90.14605452,846,cf. Planothidium sp.,Diatom,Planothidium,sp.,NA,1,1,i,Cannot meet tally in 50 fields.,elliptic prism,149.9323828,NA,NA,NA,NA,NA,NA,NA,NA,NA,,90.14605452,90.14605452,13515.81275
11/13/2019,9:36,SHR,3,61,1,0.016393443,0.0697,314.159,3.485,50,90.14605452,893,cf. Sellaphora sp.,Diatom,Sellaphora,sp.,NA,1,1,i,Cannot meet tally in 50 fields.,box,499.352,NA,NA,NA,NA,NA,NA,NA,NA,NA,,90.14605452,90.14605452,45014.61262
11/13/2019,9:36,SHR,3,61,1,0.016393443,0.0697,314.159,3.485,50,90.14605452,1037,Chlorella sp.,Soft Body,Chlorella,sp.,NA,1,1,i,Cannot meet tally in 50 fields.,sphere,15.59851795,NA,NA,NA,NA,NA,NA,NA,NA,NA,,90.14605452,90.14605452,1406.14485
11/13/2019,9:36,SHR,3,61,1,0.016393443,0.0697,314.159,3.485,50,90.14605452,1365,Plagioselmis lacustris,Soft Body,Plagioselmis,lacustris,NA,1,1,i,Cannot meet tally in 50 fields.,cone + half sphere,567.7104457,NA,NA,NA,NA,NA,NA,NA,NA,NA,,90.14605452,90.14605452,51176.85679
11/13/2019,9:36,SHR,3,61,1,0.016393443,0.0697,314.159,3.485,50,90.14605452,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,NA,1,1,i,Cannot meet tally in 50 fields.,cone + half sphere,243.7140802,NA,NA,NA,NA,NA,NA,NA,NA,NA,,90.14605452,90.14605452,21969.86276
11/13/2019,9:36,SHR,3,61,1,0.016393443,0.0697,314.159,3.485,50,90.14605452,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,NA,209,428,c,Cannot meet tally in 50 fields.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,,18840.52539,8063744.869,1451474.076
