Date,Conductivity,Temperature,Turbidity,DO,pH,Chl
6/25/2019 8:04,764,23.8,45.14,4.74,7.95,9.25
6/25/2019 8:19,764,23.9,42.85,4.75,7.95,9.2
6/25/2019 8:34,765,23.9,45.27,4.76,7.95,8.9
6/25/2019 8:49,765,24,44.29,4.73,7.95,8.84
6/25/2019 9:04,766,24,47.48,4.55,7.94,8.05
6/25/2019 9:19,766,24.1,41.79,4.61,7.95,8.6
6/25/2019 9:34,766,24.1,45.41,4.5,7.94,8.87
6/25/2019 9:49,766,24.2,42.61,4.44,7.94,8.37
6/25/2019 10:04,766,24.1,41.6,4.35,7.93,8.2
6/25/2019 10:19,767,24.2,41.22,4.16,7.93,7.16
6/25/2019 10:34,767,24.1,41.06,4.01,7.92,7.27
6/25/2019 10:49,767,24.1,41.18,3.91,7.91,7.04
6/25/2019 11:04,767,24.2,39.79,3.93,7.92,6.95
6/25/2019 11:19,767,24.2,40.25,3.85,7.91,6.87
6/25/2019 11:34,767,24.2,40.05,4,7.92,8.14
6/25/2019 11:49,767,24.2,39.67,3.79,7.91,6.88
6/25/2019 12:04,768,24.4,40.44,4.04,7.93,7.93
6/25/2019 12:19,768,24.7,39.82,4.42,7.95,9.41
6/25/2019 12:34,768,25,39.76,4.82,7.98,9.83
6/25/2019 12:49,767,25.6,39.12,5.55,8.03,13.55
6/25/2019 13:04,768,25.1,37.51,4.66,7.97,7.48
6/25/2019 13:19,769,24.8,38.61,4.08,7.93,6.87
6/25/2019 13:34,769,25,35.33,4.05,7.93,6.03
6/25/2019 13:49,769,24.9,37.91,3.89,7.93,5.9
6/25/2019 14:04,769,25.1,36.08,4.12,7.93,6.41
6/25/2019 14:19,770,25,36.21,4.08,7.94,6.98
6/25/2019 14:34,770,25.3,38.95,4.65,7.98,9.35
6/25/2019 14:49,770,25,37.06,4.01,7.93,6.68
6/25/2019 15:04,768,25.3,36.07,4.08,7.94,9.34
6/25/2019 15:19,771,25.5,38.7,5.09,8.01,13.27
6/25/2019 15:34,771,25.5,38.29,5.01,8.01,11.28
6/25/2019 15:49,771,25.5,38.41,5.09,8.01,12.65
6/25/2019 16:04,772,25.3,39.92,4.79,7.99,10.71
6/25/2019 16:19,772,25.1,39.38,4.67,7.97,10.1
