Date,Conductivity,Temperature,Turbidity,DO,pH,Chl
8/6/2019 10:15,570,26.6,35.39,4.39,7.7,6.13
8/6/2019 10:30,570,26.6,35.51,4.4,7.7,6.1
8/6/2019 10:45,570,26.6,45.04,4.41,7.7,6.18
8/6/2019 11:00,571,26.7,36.65,4.42,7.7,6.53
8/6/2019 11:15,571,26.7,38.68,4.43,7.7,
8/6/2019 11:30,570,26.7,37.36,4.44,7.7,6.55
8/6/2019 11:45,571,26.7,41.04,4.46,7.7,5.94
8/6/2019 12:00,570,26.7,40.07,4.47,7.7,6.23
8/6/2019 12:15,570,26.8,39.03,4.49,7.7,6.31
8/6/2019 12:30,570,26.8,42.44,4.5,7.7,6.84
8/6/2019 12:45,570,26.9,40.93,4.51,7.7,5.75
8/6/2019 13:00,571,26.9,36.93,4.52,7.69,6.25
8/6/2019 13:15,570,27,41.33,4.54,7.69,6.24
8/6/2019 13:30,570,27,37.7,4.54,7.7,6.17
8/6/2019 13:45,570,27,37.28,4.56,7.7,5.62
8/6/2019 14:00,569,27,38.31,4.58,7.7,5.74
8/6/2019 14:15,569,27.1,34.57,4.62,7.7,6.46
8/6/2019 14:30,569,27.1,38.8,4.6,7.7,6.41
8/6/2019 14:45,569,27.2,36.74,4.63,7.7,6.42
8/6/2019 15:00,569,27.3,35.17,4.66,7.7,6.24
8/6/2019 15:15,569,27.3,41.71,4.68,7.7,5.96
8/6/2019 15:30,569,27.3,39.72,4.71,7.7,6.53
8/6/2019 15:45,569,27.4,34.97,4.74,7.7,6.42
8/6/2019 16:00,569,27.4,33.96,4.74,7.7,6.64
8/6/2019 16:15,568,27.4,34.64,4.77,7.7,6.11
8/6/2019 16:30,569,27.5,33.72,4.78,7.7,6.32
8/6/2019 16:45,568,27.5,33.97,4.81,7.71,6.38
8/6/2019 17:00,568,27.5,31.96,4.82,7.7,6.46
8/6/2019 17:15,568,27.5,32.33,4.82,7.7,6.51
8/6/2019 17:30,568,27.5,31.64,4.84,7.7,6.1
8/6/2019 17:45,567,27.5,32.11,4.84,7.7,6.17
8/6/2019 18:00,567,27.5,32.85,4.86,7.7,6.21
8/6/2019 18:15,567,27.5,30.54,4.85,7.69,5.91
8/6/2019 18:30,567,27.5,31.19,4.84,7.69,5.95
8/6/2019 18:45,567,27.5,30.73,4.84,7.69,5.72
8/6/2019 19:00,567,27.5,31.99,4.85,7.69,5.99
8/6/2019 19:15,567,27.5,30.02,4.85,7.69,6.08
8/6/2019 19:30,567,27.4,32.14,4.83,7.68,5.82
8/6/2019 19:45,567,27.4,31.61,4.84,7.69,5.17
8/6/2019 20:00,567,27.4,29.98,4.82,7.68,5.93
8/6/2019 20:15,567,27.4,30.08,4.82,7.69,6
8/6/2019 20:30,567,27.4,28.86,4.8,7.68,6.27
8/6/2019 20:45,568,27.4,28.84,4.79,7.68,6.05
8/6/2019 21:00,568,27.3,27.75,4.79,7.68,5.9
8/6/2019 21:15,568,27.3,30.16,4.78,7.68,5.92
8/6/2019 21:30,568,27.3,29.78,4.77,7.68,5.56
8/6/2019 21:45,569,27.3,32.87,4.75,7.68,6.03
8/6/2019 22:00,569,27.3,29.52,4.73,7.68,5.92
8/6/2019 22:15,569,27.2,28.35,4.72,7.68,5.91
8/6/2019 22:30,569,27.2,29.31,4.7,7.67,6.06
8/6/2019 22:45,570,27.2,28.16,4.69,7.67,5.81
8/6/2019 23:00,570,27.2,30.08,4.67,7.67,5.84
8/6/2019 23:15,570,27.1,27.88,4.67,7.68,6.01
8/6/2019 23:30,571,27.1,29.46,4.64,7.67,6.06
8/6/2019 23:45,571,27.1,28.89,4.64,7.67,6.89
8/7/2019 0:00,571,27,27.37,4.63,7.67,5.82
8/7/2019 0:15,571,27,26.72,4.64,7.67,5.63
8/7/2019 0:30,572,26.9,28.15,4.61,7.67,5.77
8/7/2019 0:45,572,26.9,27.75,4.61,7.67,5.61
8/7/2019 1:00,572,26.9,27.44,4.6,7.66,5.7
8/7/2019 1:15,572,26.8,29.41,4.59,7.66,5.95
8/7/2019 1:30,573,26.8,28.65,4.57,7.66,6.06
8/7/2019 1:45,573,26.8,28.25,4.54,7.67,6.05
8/7/2019 2:00,573,26.8,28.77,4.53,7.67,5.9
8/7/2019 2:15,573,26.8,29.79,4.52,7.66,5.75
8/7/2019 2:30,573,26.8,29.43,4.52,7.66,6.34
