Date,Flow,Temperature,Conductivity,pH,Turbidity,DO,DO_Sat,Nitrogen,Chl ,Phyco,Chl-RFU
9/12/2019 13:15,   ,22.7  ,549  ,7.8  ,23.7  ,5.8  ,67  ,0.39  ,6.7  ,0.18  ,1.7  
9/12/2019 13:30,-259  ,22.7  ,549  ,7.8  ,21.7  ,5.8  ,67  ,0.39  ,6.6  ,0.19  ,1.7  
9/12/2019 13:45,-374  ,22.8  ,548  ,7.7  ,21.9  ,5.8  ,68  ,0.39  ,6.8  ,0.18  ,1.7  
9/12/2019 14:00,-454  ,22.9  ,548  ,7.8  ,21.5  ,5.8  ,68  ,0.39  ,6.8  ,0.21  ,1.7  
9/12/2019 14:15,-605  ,22.9  ,547  ,7.8  ,23.4  ,5.9  ,68  ,0.38  ,6.7  ,0.21  ,1.7  
9/12/2019 14:30,-744  ,22.8  ,547  ,7.8  ,24.3  ,5.8  ,67  ,0.38  ,6.1  ,0.17  ,1.5  
9/12/2019 14:45,-870  ,22.9  ,546  ,7.8  ,23.5  ,5.8  ,68  ,0.38  ,6.3  ,0.16  ,1.6  
9/12/2019 15:00,-854  ,23.0  ,544  ,7.8  ,22.9  ,5.9  ,69  ,0.38  ,6.5  ,0.19  ,1.6  
9/12/2019 15:15,-768  ,23.1  ,543  ,7.8  ,22.0  ,6.1  ,71  ,0.37  ,6.9  ,0.21  ,1.7  
9/12/2019 15:30,-729  ,23.2  ,543  ,7.8  ,22.0  ,6.2  ,72  ,0.36  ,6.5  ,0.21  ,1.6  
9/12/2019 15:45,-677  ,23.3  ,545  ,7.8  ,21.2  ,6.2  ,73  ,0.36  ,6.5  ,0.17  ,1.6  
9/12/2019 16:00,-712  ,23.2  ,549  ,7.8  ,20.8  ,6.2  ,73  ,0.36  ,6.1  ,0.15  ,1.5  
9/12/2019 16:15,-729  ,23.3  ,548  ,7.8  ,20.2  ,6.4  ,75  ,0.35  ,6.1  ,0.15  ,1.5  
9/12/2019 16:30,-785  ,23.4  ,549  ,7.9  ,19.0  ,6.5  ,76  ,0.34  ,6.0  ,0.14  ,1.5  
9/12/2019 16:45,-794  ,23.4  ,548  ,7.9  ,18.4  ,6.6  ,77  ,0.34  ,5.5  ,0.12  ,1.4  
9/12/2019 17:00,-820  ,23.4  ,548  ,7.9  ,18.5  ,6.6  ,78  ,0.34  ,5.6  ,0.13  ,1.4  
9/12/2019 17:15,-794  ,23.5  ,548  ,7.9  ,18.3  ,6.7  ,79  ,0.33  ,5.6  ,0.17  ,1.4  
9/12/2019 17:30,-710  ,23.5  ,547  ,7.9  ,16.4  ,6.8  ,80  ,0.33  ,6.2  ,0.14  ,1.5  
9/12/2019 17:45,-487  ,23.5  ,547  ,7.9  ,16.0  ,6.9  ,81  ,0.33  ,6.1  ,0.15  ,1.5  
9/12/2019 18:00,-320  ,23.5  ,544  ,7.9  ,16.5  ,6.8  ,81  ,0.33  ,6.5  ,0.15  ,1.6  
9/12/2019 18:15,-65.5  ,23.5  ,547  ,7.9  ,15.9  ,6.8  ,80  ,0.33  ,6.5  ,0.16  ,1.6  
9/12/2019 18:30,160  ,23.4  ,546  ,7.9  ,16.8  ,6.7  ,78  ,0.34  ,5.8  ,0.10  ,1.4  
9/12/2019 18:45,823  ,23.3  ,547  ,7.8  ,18.0  ,6.4  ,75  ,0.35  ,5.9  ,0.14  ,1.5  
9/12/2019 19:00,"1,190  ",23.1  ,551  ,7.8  ,19.8  ,6.1  ,72  ,   ,5.9  ,0.14  ,1.5  
9/12/2019 19:15,"1,250  ",23.0  ,547  ,7.8  ,22.6  ,5.9  ,69  ,   ,6.2  ,0.18  ,1.6  
9/12/2019 19:30,"1,330  ",23.1  ,548  ,7.8  ,22.7  ,6.0  ,70  ,   ,6.5  ,0.18  ,1.6  
9/12/2019 19:45,"1,290  ",23.1  ,550  ,7.8  ,25.4  ,5.9  ,69  ,   ,7.0  ,0.19  ,1.7  
9/12/2019 20:00,"1,330  ",23.1  ,551  ,7.8  ,24.3  ,5.9  ,69  ,   ,6.8  ,0.16  ,1.7  
9/12/2019 20:15,"1,410  ",23.1  ,553  ,7.8  ,25.5  ,5.9  ,69  ,0.40  ,6.9  ,0.17  ,1.7  
9/12/2019 20:30,"1,350  ",23.1  ,554  ,7.8  ,26.8  ,5.9  ,69  ,0.40  ,6.9  ,0.17  ,1.7  
9/12/2019 20:45,"1,380  ",23.1  ,556  ,7.8  ,24.8  ,5.9  ,69  ,0.41  ,6.7  ,0.17  ,1.7  
9/12/2019 21:00,"1,340  ",23.1  ,557  ,7.8  ,24.3  ,5.9  ,69  ,0.41  ,6.6  ,0.16  ,1.6  
9/12/2019 21:15,"1,400  ",23.1  ,557  ,7.8  ,24.4  ,5.9  ,69  ,0.42  ,6.9  ,0.20  ,1.7  
9/12/2019 21:30,"1,380  ",23.1  ,557  ,7.8  ,25.1  ,5.9  ,69  ,0.42  ,6.8  ,0.19  ,1.7  
9/12/2019 21:45,"1,410  ",23.1  ,557  ,7.8  ,24.9  ,6.0  ,70  ,0.43  ,6.7  ,0.17  ,1.7  
9/12/2019 22:00,"1,400  ",23.1  ,556  ,7.8  ,24.3  ,6.0  ,70  ,0.43  ,6.6  ,0.17  ,1.6  
9/12/2019 22:15,"1,370  ",23.1  ,555  ,7.8  ,26.6  ,6.0  ,70  ,0.44  ,6.5  ,0.15  ,1.6  
9/12/2019 22:30,"1,380  ",23.1  ,555  ,7.8  ,25.4  ,6.0  ,70  ,0.44  ,6.5  ,0.15  ,1.6  
9/12/2019 22:45,"1,300  ",23.2  ,554  ,7.8  ,26.2  ,6.0  ,70  ,0.44  ,6.6  ,0.18  ,1.6  
9/12/2019 23:00,"1,190  ",23.2  ,554  ,7.8  ,28.2  ,6.0  ,70  ,0.45  ,6.6  ,0.17  ,1.6  
9/12/2019 23:15,"1,120  ",23.1  ,554  ,7.8  ,27.2  ,6.0  ,70  ,0.45  ,6.6  ,0.18  ,1.6  
9/12/2019 23:30,"1,050  ",23.1  ,553  ,7.8  ,27.2  ,5.9  ,69  ,0.45  ,6.5  ,0.17  ,1.6  
9/12/2019 23:45,975  ,23.1  ,554  ,7.8  ,26.6  ,5.9  ,69  ,0.46  ,6.5  ,0.18  ,1.6  
9/13/2019 0:00,770  ,23.0  ,554  ,7.8  ,24.8  ,5.9  ,68  ,0.46  ,6.4  ,0.18  ,1.6  
9/13/2019 0:15,543  ,23.0  ,554  ,7.8  ,22.8  ,5.8  ,68  ,0.46  ,6.8  ,0.16  ,1.7  
9/13/2019 0:30,344  ,23.0  ,554  ,7.8  ,20.6  ,5.8  ,68  ,0.46  ,7.1  ,0.21  ,1.8  
9/13/2019 0:45,-27.7  ,23.0  ,554  ,7.8  ,21.9  ,5.8  ,68  ,0.46  ,6.9  ,0.19  ,1.7  
9/13/2019 1:00,-429  ,23.0  ,554  ,7.8  ,20.1  ,5.8  ,68  ,0.46  ,6.8  ,0.15  ,1.7  
9/13/2019 1:15,-522  ,23.0  ,554  ,7.8  ,20.1  ,5.8  ,68  ,0.46  ,6.7  ,0.15  ,1.7  
9/13/2019 1:30,-737  ,23.0  ,553  ,7.8  ,19.7  ,5.8  ,68  ,0.46  ,6.5  ,0.13  ,1.6  
