"","Year","Order","Region","SamplePeriod","avg"
"1",2014,"Calanoida","Upstream","Before",1387.14270181763
"2",2014,"Calanoida","Upstream","During",1036.04189576195
"3",2014,"Calanoida","Upstream","After",1277.41223163043
"4",2014,"Calanoida","Downstream","Before",1655.56854669654
"5",2014,"Calanoida","Downstream","During",4544.65264846463
"6",2014,"Calanoida","Downstream","After",1185.34860488315
"7",2014,"Cyclopoida","Upstream","Before",92.5757190687716
"8",2014,"Cyclopoida","Upstream","During",80.6630739777644
"9",2014,"Cyclopoida","Upstream","After",897.125422227657
"10",2014,"Cyclopoida","Downstream","Before",18.7017066253646
"11",2014,"Cyclopoida","Downstream","During",50.9570629499284
"12",2014,"Cyclopoida","Downstream","After",128.723486302141
"13",2014,"Diplostraca","Upstream","Before",100.38661391682
"14",2014,"Diplostraca","Upstream","During",140.210719023418
"15",2014,"Diplostraca","Upstream","After",309.927809831208
"16",2014,"Diplostraca","Downstream","Before",35.6041313736794
"17",2014,"Diplostraca","Downstream","During",40.6499723292577
"18",2014,"Diplostraca","Downstream","After",59.8544225849932
"19",2015,"Calanoida","Upstream","Before",635.314124057759
"20",2015,"Calanoida","Upstream","During",317.873075675902
"21",2015,"Calanoida","Upstream","After",943.912813731405
"22",2015,"Calanoida","Downstream","Before",2758.86029556548
"23",2015,"Calanoida","Downstream","During",2710.27442199912
"24",2015,"Calanoida","Downstream","After",2103.42925326039
"25",2015,"Cyclopoida","Upstream","Before",47.8418355716083
"26",2015,"Cyclopoida","Upstream","During",215.397510893938
"27",2015,"Cyclopoida","Upstream","After",364.876581008146
"28",2015,"Cyclopoida","Downstream","Before",21.168079620902
"29",2015,"Cyclopoida","Downstream","During",96.5562560514114
"30",2015,"Cyclopoida","Downstream","After",56.0068818916861
"31",2015,"Diplostraca","Upstream","Before",47.7531519958595
"32",2015,"Diplostraca","Upstream","During",85.8906454842899
"33",2015,"Diplostraca","Upstream","After",115.895493889926
"34",2015,"Diplostraca","Downstream","Before",45.0532890097985
"35",2015,"Diplostraca","Downstream","During",87.7515756858795
"36",2015,"Diplostraca","Downstream","After",101.275311658521
"37",2016,"Calanoida","Upstream","Before",1878.26593836701
"38",2016,"Calanoida","Upstream","During",971.589375558492
"39",2016,"Calanoida","Upstream","After",2062.02973680454
"40",2016,"Calanoida","Downstream","Before",3604.07813994448
"41",2016,"Calanoida","Downstream","During",3411.90137448386
"42",2016,"Calanoida","Downstream","After",2139.64594943848
"43",2016,"Cyclopoida","Upstream","Before",4663.85695720147
"44",2016,"Cyclopoida","Upstream","During",4795.97725429499
"45",2016,"Cyclopoida","Upstream","After",403.085184355096
"46",2016,"Cyclopoida","Downstream","Before",222.591205970404
"47",2016,"Cyclopoida","Downstream","During",597.541669733425
"48",2016,"Cyclopoida","Downstream","After",202.77540996487
"49",2016,"Diplostraca","Upstream","Before",4578.98247174824
"50",2016,"Diplostraca","Upstream","During",381.460390916072
"51",2016,"Diplostraca","Upstream","After",882.199434446287
"52",2016,"Diplostraca","Downstream","Before",1833.85238883149
"53",2016,"Diplostraca","Downstream","During",1463.86562773319
"54",2016,"Diplostraca","Downstream","After",159.148610481815
"55",2017,"Calanoida","Upstream","Before",620.48996030703
"56",2017,"Calanoida","Upstream","During",1160.68613881769
"57",2017,"Calanoida","Upstream","After",1120.81621256162
"58",2017,"Calanoida","Downstream","Before",1329.69175258393
"59",2017,"Calanoida","Downstream","During",1619.48221680719
"60",2017,"Calanoida","Downstream","After",519.984306559004
"61",2017,"Cyclopoida","Upstream","Before",758.194188417097
"62",2017,"Cyclopoida","Upstream","During",303.449053916361
"63",2017,"Cyclopoida","Upstream","After",31.6929534011701
"64",2017,"Cyclopoida","Downstream","Before",60.0708057014367
"65",2017,"Cyclopoida","Downstream","During",35.4049175882483
"66",2017,"Cyclopoida","Downstream","After",57.6626961785258
"67",2017,"Diplostraca","Upstream","Before",475.688660086082
"68",2017,"Diplostraca","Upstream","During",156.227481183874
"69",2017,"Diplostraca","Upstream","After",28.8143999159758
"70",2017,"Diplostraca","Downstream","Before",20.8577011303917
"71",2017,"Diplostraca","Downstream","During",30.485176969496
"72",2017,"Diplostraca","Downstream","After",24.1566696129294
"73",2018,"Calanoida","Upstream","Before",746.648656046112
"74",2018,"Calanoida","Upstream","During",411.653524096877
"75",2018,"Calanoida","Upstream","After",257.523845821404
"76",2018,"Calanoida","Downstream","Before",2210.12665393595
"77",2018,"Calanoida","Downstream","During",1441.75612683008
"78",2018,"Calanoida","Downstream","After",562.183997576378
"79",2018,"Cyclopoida","Upstream","Before",37.3083740362175
"80",2018,"Cyclopoida","Upstream","During",125.634128307729
"81",2018,"Cyclopoida","Upstream","After",171.744270951658
"82",2018,"Cyclopoida","Downstream","Before",199.964992959964
"83",2018,"Cyclopoida","Downstream","During",89.9988924882646
"84",2018,"Cyclopoida","Downstream","After",56.0631722285534
"85",2018,"Diplostraca","Upstream","Before",130.219054863967
"86",2018,"Diplostraca","Upstream","During",96.6749451213519
"87",2018,"Diplostraca","Upstream","After",353.8830861915
"88",2018,"Diplostraca","Downstream","Before",27.1597584688574
"89",2018,"Diplostraca","Downstream","During",32.9656070818936
"90",2018,"Diplostraca","Downstream","After",31.8402948359671
"91",2019,"Calanoida","Upstream","Before",1145.89960436382
"92",2019,"Calanoida","Upstream","During",31.2333414723899
"93",2019,"Calanoida","Upstream","After",190.729077056901
"94",2019,"Calanoida","Downstream","Before",852.907092340177
"95",2019,"Calanoida","Downstream","During",450.833734641359
"96",2019,"Calanoida","Downstream","After",381.649728054341
"97",2019,"Cyclopoida","Upstream","Before",289.838854196942
"98",2019,"Cyclopoida","Upstream","During",69.1659404354558
"99",2019,"Cyclopoida","Upstream","After",370.921373014489
"100",2019,"Cyclopoida","Downstream","Before",11.2527273458655
"101",2019,"Cyclopoida","Downstream","During",14.885700847141
"102",2019,"Cyclopoida","Downstream","After",9.37547252117584
"103",2019,"Diplostraca","Upstream","Before",323.466441323998
"104",2019,"Diplostraca","Upstream","During",62.3707792336341
"105",2019,"Diplostraca","Upstream","After",113.94673979695
"106",2019,"Diplostraca","Downstream","Before",15.8523870643065
"107",2019,"Diplostraca","Downstream","During",14.9128288421106
"108",2019,"Diplostraca","Downstream","After",4.65835950877478
