StationCode,Date,FlowAvg
LIB,10/1/2014,401.26975
LIB,10/2/2014,-73.90033333
LIB,10/3/2014,-352.5704167
LIB,10/4/2014,-478.9305833
LIB,10/5/2014,-695.2778333
LIB,10/6/2014,-914.6839167
LIB,10/7/2014,-942.069875
LIB,10/8/2014,-939.012
LIB,10/9/2014,-848.82825
LIB,10/10/2014,-624.7507083
LIB,10/11/2014,-303.962
LIB,10/12/2014,-54.9025
LIB,10/13/2014,-853.050875
LIB,10/14/2014,-967.698125
LIB,10/15/2014,-185.687125
LIB,10/16/2014,-93.73529167
LIB,10/17/2014,-168.4155417
LIB,10/18/2014,-481.1012083
LIB,10/19/2014,-697.5673333
LIB,10/20/2014,-560.535125
LIB,10/21/2014,-285.6432083
LIB,10/22/2014,-577.9589583
LIB,10/23/2014,-501.851625
LIB,10/24/2014,-755.008875
LIB,10/25/2014,-872.0992083
LIB,10/26/2014,-208.7486667
LIB,10/27/2014,-380.0002083
LIB,10/28/2014,-488.27825
LIB,10/29/2014,-554.2435833
LIB,10/30/2014,-784.5495385
LIB,11/3/2014,-457.8645
LIB,11/4/2014,-670.8648333
LIB,11/5/2014,-900.0175
LIB,11/6/2014,-900.5690417
LIB,11/7/2014,-822.375625
LIB,11/8/2014,-781.37575
LIB,11/9/2014,-989.6840833
LIB,11/10/2014,-1059.568792
LIB,11/11/2014,-736.6647083
LIB,11/12/2014,-525.42125
LIB,11/13/2014,-465.6617917
LIB,11/14/2014,-346.2164583
LIB,11/15/2014,-58.78695833
LIB,7/1/2015,-1995
LIB,7/2/2015,-2049.583333
LIB,7/3/2015,-2042.916667
LIB,7/4/2015,-2282.5
LIB,7/5/2015,-2275.833333
LIB,7/6/2015,-1777.5
LIB,7/7/2015,-1802.5
LIB,7/8/2015,-2052.916667
LIB,7/9/2015,-1987.5
LIB,7/10/2015,-2037.916667
LIB,7/11/2015,-2103.333333
LIB,7/12/2015,-1993.75
LIB,7/13/2015,-1945
LIB,7/14/2015,-1884.166667
LIB,7/15/2015,-1924.166667
LIB,7/16/2015,-1995
LIB,7/17/2015,-1967.5
LIB,7/18/2015,-1761.666667
LIB,7/19/2015,-1355
LIB,7/20/2015,-1647.083333
LIB,7/21/2015,-2010.833333
LIB,7/22/2015,-2170.833333
LIB,7/23/2015,-1724.166667
LIB,7/24/2015,-1573.75
LIB,7/25/2015,-1776.666667
LIB,7/26/2015,-1955.833333
LIB,7/27/2015,-1773.75
LIB,7/28/2015,-1821.25
LIB,7/29/2015,-1961.25
LIB,7/30/2015,-2037.916667
LIB,7/31/2015,-2155.416667
LIB,8/1/2015,-2268.75
LIB,8/2/2015,-2171.666667
LIB,8/3/2015,-1886.25
LIB,8/4/2015,-1479.583333
LIB,8/5/2015,-1624.166667
LIB,8/6/2015,-1977.083333
LIB,8/7/2015,-2058.333333
LIB,8/8/2015,-1814.583333
LIB,8/9/2015,-1814.583333
LIB,8/10/2015,-2092.083333
LIB,8/11/2015,-1891.25
LIB,8/12/2015,-1744.166667
LIB,8/13/2015,-1710.833333
LIB,8/14/2015,-1455.416667
LIB,8/15/2015,-1435.416667
LIB,8/16/2015,-1449.166667
LIB,8/17/2015,-1710.833333
LIB,8/18/2015,-1935.416667
LIB,8/19/2015,-1816.25
LIB,8/20/2015,-1680.416667
LIB,8/21/2015,-1758.333333
LIB,8/22/2015,-1643.333333
LIB,8/23/2015,-1544.166667
LIB,8/24/2015,-1469.583333
LIB,8/25/2015,-1529.583333
LIB,8/26/2015,-1574.166667
LIB,8/27/2015,-1642.5
LIB,8/28/2015,-1937.5
LIB,8/29/2015,-1797.5
LIB,8/30/2015,-1655.416667
LIB,8/31/2015,-1700.833333
LIB,9/1/2015,-1691.25
LIB,9/2/2015,-1703.75
LIB,9/3/2015,-1694.166667
LIB,9/4/2015,-1597.083333
LIB,9/5/2015,-1187.916667
LIB,9/6/2015,-1398.333333
LIB,9/7/2015,-1487.083333
LIB,9/8/2015,-1557.5
LIB,9/9/2015,-1545.833333
LIB,9/10/2015,-1487.083333
LIB,9/11/2015,-1614.166667
LIB,9/12/2015,-1636.25
LIB,9/13/2015,-1736.25
LIB,9/14/2015,-1677.083333
LIB,9/15/2015,-1470.416667
LIB,9/16/2015,-1312.083333
LIB,9/17/2015,-1272.916667
LIB,9/18/2015,-1245.833333
LIB,9/19/2015,-1235.833333
LIB,9/20/2015,-1309.285714
LIB,9/26/2015,-1635
LIB,9/27/2015,-1773.333333
LIB,9/28/2015,-1918.75
LIB,9/29/2015,-1799.166667
LIB,9/30/2015,-1562.916667
LIB,10/1/2015,-1552.5
LIB,10/2/2015,-1598.333333
LIB,10/3/2015,-1841.25
LIB,10/4/2015,-1627.083333
LIB,10/5/2015,-1392.5
LIB,10/6/2015,-1253.75
LIB,10/7/2015,-1409.166667
LIB,10/8/2015,-1444.583333
LIB,10/9/2015,-1429.583333
LIB,10/10/2015,-1493.75
LIB,10/11/2015,-1454.166667
LIB,10/12/2015,-1533.333333
LIB,10/13/2015,-1628.333333
LIB,10/14/2015,-1795.833333
LIB,10/15/2015,-1739.583333
LIB,10/16/2015,-1708.333333
LIB,10/17/2015,-1690.833333
LIB,10/18/2015,-1443.75
LIB,10/19/2015,-1169.166667
LIB,10/20/2015,-1032.75
LIB,10/21/2015,-1354.166667
LIB,10/22/2015,-1472.5
LIB,10/23/2015,-1503.333333
LIB,10/24/2015,-1541.25
LIB,10/25/2015,-1476.666667
LIB,10/26/2015,-1478.75
LIB,10/27/2015,-1686.25
LIB,10/28/2015,-1504.166667
LIB,10/29/2015,-802.5833333
LIB,10/30/2015,-867.375
LIB,10/31/2015,-1238.333333
LIB,11/1/2015,-1115
LIB,11/2/2015,-886.7916667
LIB,11/3/2015,-492
LIB,11/4/2015,-212.0833333
LIB,11/5/2015,-593.7916667
LIB,11/6/2015,-904.75
LIB,11/7/2015,-1182.083333
LIB,11/8/2015,-1398.333333
LIB,11/9/2015,-1310
LIB,11/10/2015,-784.25
LIB,11/11/2015,-817.8333333
LIB,11/12/2015,-1169.583333
LIB,11/13/2015,-1260.416667
LIB,11/14/2015,-1582.916667
LIB,11/15/2015,-1293.041667
LIB,7/1/2016,-1879.166667
LIB,7/2/2016,-1964.166667
LIB,7/3/2016,-1723.333333
LIB,7/4/2016,-1730
