"","s.d","Acanthocyclops vernalis adult","Acanthocyclops vernalis copepodid","Acartia copepodid","Acartiella sinensis","Alona","Alonella","Anchistropus sp.","Arctodiaptomus dorsalis","Baby clam","Baby snail","Barnacles","Bosmina","Calanoid copepodids","Camptocercus","Ceriodaphnia","Chydorus","Cladocera nauplii","Clam","Copepod nauplii","Corophium spp.","Cyclopoid adult","Cyclopoid copepodid","Daphnia","Diacyclops thomasi","Diaphanosoma","Diaptomus copepodid","Diaptomus spp.","Disparalona","Ectocyclops phaleratus copepodid","Ergasilus sp.","Eucyclops agilis","Eucyclops elegans","Eucyclops pectinifer","Eucyclops phaleratus","Eucyclops prionophorus","Eucyclops spp.","Eurycercus","Eurycerus","Eurytemora affinis adult","Eurytemora affinis copepodid","Graptoleberis","Harpacticoids","Ilyocryptus","Insect larvae","Kurzia","Larval Fish","Leptodiaptomus siciloides","Leydigia","Limnoithona copepodid","Limnoithona spp.","Limnoithona tetraspina","Macrocyclops albidus","Macrocyclops spp.","Macrothrix","Mesocyclops edax","Microcyclops","Microcyclops rubellus","Moina","Monospilus","Monospilus dispar","Osphranticum copepodid","Osphranticum labronectum","Ostracods","Other Cyclopoids","Paracyclops chiltoni","Paracyclops fimbriatus","Paracyclops spp.","Picripleuroxus","Pleuroxus","Pseudochydorus globosus","Pseudochydorus sp.","Pseudodiaptomus forbesi adult","Pseudodiaptomus forbesi copepodid","Pseudodiaptomus spp.","Rotifers","Scapholeberis","Sida","Simocephalus","Sinocalanus doerrii adult","Sinocalanus doerrii copepodid","Skistodiaptomus pallidus adult","Tropocyclops prasinus","Tropocyclops sp.","UNIDENTIFIED"
"1","BL5_2014-08-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.9848746081052,NA,NA,NA,NA,NA,NA,11835.4942593946,NA,NA,NA,109.96974921621,NA,109.96974921621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.9848746081052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.2386559560789,NA,NA,NA,NA,NA,NA,NA,NA,54.9848746081052,12536.551410648,NA,742.29580720942,NA,NA,NA,NA,549.848746081052,NA,NA,NA,NA
"2","BL5_2014-09-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.9166888432129,NA,NA,NA,NA,NA,NA,5179.91801943598,NA,84.9166888432129,84.9166888432129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.9166888432129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.9166888432129,NA,NA,NA,NA,NA,NA,NA,NA,764.250199588916,33796.8421595987,NA,NA,NA,NA,NA,NA,339.666755372851,NA,NA,NA,NA
"3","BL5_2014-09-24",NA,NA,NA,NA,18.1591073064717,NA,NA,NA,NA,NA,NA,290.545716903547,NA,NA,163.431965758245,NA,NA,NA,136.193304798538,NA,27.2386609597075,18.1591073064717,99.8750901855942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.3182146129433,NA,NA,NA,NA,NA,NA,NA,NA,72.6364292258867,1725.11519411481,NA,NA,NA,NA,NA,NA,18.1591073064717,NA,NA,NA,NA
"4","BL5_2014-10-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.4690541092814,NA,NA,100.407162327844,33.4690541092814,NA,NA,2761.19696401572,NA,33.4690541092814,66.9381082185629,33.4690541092814,NA,66.9381082185629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.9381082185629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.36726352732036,NA,NA,NA,NA,NA,NA,NA,NA,66.9381082185629,5857.08446912425,NA,142.243479964446,NA,NA,NA,33.4690541092814,301.221486983533,NA,NA,NA,NA
"5","BL5_2014-10-23",NA,NA,NA,NA,31.2590565392124,NA,NA,NA,NA,NA,NA,406.367735009761,NA,NA,125.036226156849,NA,NA,NA,10628.0792233322,NA,NA,NA,NA,NA,31.2590565392124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1813.02527927432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.2590565392124,5657.88923359744,NA,1813.02527927432,NA,NA,NA,NA,593.922074245035,NA,NA,NA,NA
"6","BL5_2015-08-03",NA,NA,NA,NA,4.12696412850077,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.0314260560123,4.12696412850077,NA,NA,70.9837830102132,NA,NA,12.3808923855023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.12696412850077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.8570708626028,NA,NA,NA,NA,NA,NA,NA,NA,37.1426771565069,866.662466985161,NA,6.60314260560123,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","BL5_2015-08-18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.4734619183518,NA,NA,NA,291.685640364378,NA,NA,19.6489746122345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.09795763827968,NA,NA,NA,NA,NA,NA,NA,NA,39.297949224469,2289.10554232532,NA,13.212241549606,NA,19.6489746122345,NA,NA,NA,NA,NA,NA,NA
"8","BL5_2015-09-01",NA,NA,NA,NA,4.94157125012689,NA,NA,NA,NA,NA,NA,24.7078562506344,NA,NA,84.0067112521571,NA,NA,NA,254.490919381535,NA,NA,49.4157125012689,NA,NA,19.7662850005075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.94157125012689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.88314250025377,NA,NA,NA,NA,NA,4.94157125012689,NA,NA,34.5909987508882,1522.00394503908,NA,528.748123763577,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","BL5_2015-09-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.819448177418,4738.51406433866,NA,1310.65282630644,25.2048620443546,NA,NA,1451.80005375482,NA,25.2048620443546,201.638896354837,50.4097240887091,NA,126.024310221773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.2048620443546,NA,NA,NA,NA,NA,25.2048620443546,NA,NA,NA,NA,NA,10.0819448177418,NA,NA,NA,NA,NA,NA,25.2048620443546,NA,176.434034310482,NA,NA,3145.56678313545,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","BL5_2015-10-01",NA,NA,NA,NA,7.38784436407161,NA,NA,NA,NA,NA,NA,51.7149105485013,NA,NA,192.083953465862,7.38784436407161,NA,NA,73.3689371328491,NA,NA,29.5513774562865,NA,NA,14.7756887281432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.38784436407161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.38784436407161,NA,NA,NA,17.3232212674783,NA,NA,NA,NA,NA,NA,NA,NA,66.4905992766445,1957.77875647898,NA,227.239902508686,NA,NA,NA,NA,NA,NA,NA,NA,NA
