Location,Mesh,Cage,Prey.Taxa,mean.count
RVR,large,B,Acanthocyclops sp.,4.8
RVR,large,B,Acanthocyclops sp. copepodid,3.4
RVR,large,B,Acari,0
RVR,large,B,Alona sp.,0
RVR,large,B,Americorophium sp.,0
RVR,large,B,Amphipoda,0
RVR,large,B,Bivalvia,0
RVR,large,B,Bosmina sp.,0
RVR,large,B,Calanoida copepodid,0
RVR,large,B,Ceriodaphnia sp.,0.1
RVR,large,B,Chironomidae,0
RVR,large,B,Chironomidae larva,0.1
RVR,large,B,Chironomidae pupae,0
RVR,large,B,Chydoridae,0
RVR,large,B,Chydorus sp.,0.5
RVR,large,B,Cladocera,4.2
RVR,large,B,Crangonyx sp.,0.1
RVR,large,B,Culicidae larva,0
RVR,large,B,Cyclopoida,0
RVR,large,B,Cyclopoida copepodid,0
RVR,large,B,Daphnia sp.,13.2
RVR,large,B,Daphnia sp. egg,0.1
RVR,large,B,Diacyclops thomasi,0.4
RVR,large,B,Diaptomidae,0.1
RVR,large,B,Diaptomidae copepodid,0
RVR,large,B,empty,0
RVR,large,B,Eucyclops sp.,0.7
RVR,large,B,Eurycercus sp.,0
RVR,large,B,Eurytemora affinis,0
RVR,large,B,Eurytemora affinis copepodid,0
RVR,large,B,Eurytemora affinis nauplius,0
RVR,large,B,Fish eggs,0
RVR,large,B,Halicyclops sp.,0
RVR,large,B,Harpacticoida,0
RVR,large,B,Hemiptera,0
RVR,large,B,Hemiptera nymph,0
RVR,large,B,Hyallela azteca,0
RVR,large,B,Insecta,0.1
RVR,large,B,Insecta larva,0.1
RVR,large,B,Leydigia sp.,0
RVR,large,B,Macrocyclops sp.,0.1
RVR,large,B,Mesocyclops sp.,0
RVR,large,B,Osphranticum labronectum,0.5
RVR,large,B,Ostracoda,0
RVR,large,B,plant matter,0
RVR,large,B,Pseudodiaptomus forbesi,0
RVR,large,B,Scapholeberis sp.,0
RVR,large,B,Sida sp.,0
RVR,large,B,Simocephalus sp.,3
RVR,large,B,Sinocalanus doerrii,0
RVR,large,B,Sinocalanus doerrii copepodid,0
RVR,large,B,Tropocyclops sp.,0
RVR,large,F,Acanthocyclops sp.,2.7
RVR,large,F,Acanthocyclops sp. copepodid,1.7
RVR,large,F,Acari,0
RVR,large,F,Alona sp.,0
RVR,large,F,Americorophium sp.,0
RVR,large,F,Amphipoda,0
RVR,large,F,Bivalvia,0
RVR,large,F,Bosmina sp.,0
RVR,large,F,Calanoida copepodid,0
RVR,large,F,Ceriodaphnia sp.,0.5
RVR,large,F,Chironomidae,0
RVR,large,F,Chironomidae larva,0
RVR,large,F,Chironomidae pupae,0.2
RVR,large,F,Chydoridae,0
RVR,large,F,Chydorus sp.,0.3
RVR,large,F,Cladocera,2.6
RVR,large,F,Crangonyx sp.,0.2
RVR,large,F,Culicidae larva,0.1
RVR,large,F,Cyclopoida,0
RVR,large,F,Cyclopoida copepodid,0
RVR,large,F,Daphnia sp.,17.2
RVR,large,F,Daphnia sp. egg,0
RVR,large,F,Diacyclops thomasi,0.3
RVR,large,F,Diaptomidae,0.3
RVR,large,F,Diaptomidae copepodid,0
RVR,large,F,empty,0
RVR,large,F,Eucyclops sp.,0.2
RVR,large,F,Eurycercus sp.,0
RVR,large,F,Eurytemora affinis,0
RVR,large,F,Eurytemora affinis copepodid,0
RVR,large,F,Eurytemora affinis nauplius,0
RVR,large,F,Fish eggs,0
RVR,large,F,Halicyclops sp.,0
RVR,large,F,Harpacticoida,0
RVR,large,F,Hemiptera,0
RVR,large,F,Hemiptera nymph,0
RVR,large,F,Hyallela azteca,0.2
RVR,large,F,Insecta,0.1
RVR,large,F,Insecta larva,0
RVR,large,F,Leydigia sp.,0
RVR,large,F,Macrocyclops sp.,0
RVR,large,F,Mesocyclops sp.,0
RVR,large,F,Osphranticum labronectum,0.1
RVR,large,F,Ostracoda,0
RVR,large,F,plant matter,0
RVR,large,F,Pseudodiaptomus forbesi,0
RVR,large,F,Scapholeberis sp.,0
RVR,large,F,Sida sp.,0
RVR,large,F,Simocephalus sp.,1
RVR,large,F,Sinocalanus doerrii,0
RVR,large,F,Sinocalanus doerrii copepodid,0
RVR,large,F,Tropocyclops sp.,0
RVR,small,C,Acanthocyclops sp.,4.4
RVR,small,C,Acanthocyclops sp. copepodid,4.6
RVR,small,C,Acari,0
RVR,small,C,Alona sp.,0
RVR,small,C,Americorophium sp.,0
RVR,small,C,Amphipoda,0
RVR,small,C,Bivalvia,0
RVR,small,C,Bosmina sp.,0
RVR,small,C,Calanoida copepodid,0.1
RVR,small,C,Ceriodaphnia sp.,0.9
RVR,small,C,Chironomidae,0
RVR,small,C,Chironomidae larva,0.1
RVR,small,C,Chironomidae pupae,0
RVR,small,C,Chydoridae,0
RVR,small,C,Chydorus sp.,0.2
RVR,small,C,Cladocera,1
RVR,small,C,Crangonyx sp.,0.1
RVR,small,C,Culicidae larva,0
RVR,small,C,Cyclopoida,0
RVR,small,C,Cyclopoida copepodid,0.1
RVR,small,C,Daphnia sp.,10.9
RVR,small,C,Daphnia sp. egg,0
RVR,small,C,Diacyclops thomasi,0.6
RVR,small,C,Diaptomidae,0.3
RVR,small,C,Diaptomidae copepodid,0.2
RVR,small,C,empty,0
RVR,small,C,Eucyclops sp.,1
RVR,small,C,Eurycercus sp.,0
RVR,small,C,Eurytemora affinis,0
RVR,small,C,Eurytemora affinis copepodid,0
RVR,small,C,Eurytemora affinis nauplius,0
RVR,small,C,Fish eggs,0
RVR,small,C,Halicyclops sp.,0
RVR,small,C,Harpacticoida,0
RVR,small,C,Hemiptera,0
RVR,small,C,Hemiptera nymph,0
RVR,small,C,Hyallela azteca,0
RVR,small,C,Insecta,0
RVR,small,C,Insecta larva,0
RVR,small,C,Leydigia sp.,0
RVR,small,C,Macrocyclops sp.,0
RVR,small,C,Mesocyclops sp.,0.1
RVR,small,C,Osphranticum labronectum,0.2
RVR,small,C,Ostracoda,0
RVR,small,C,plant matter,0
RVR,small,C,Pseudodiaptomus forbesi,0
RVR,small,C,Scapholeberis sp.,0
RVR,small,C,Sida sp.,0.1
RVR,small,C,Simocephalus sp.,0.6
RVR,small,C,Sinocalanus doerrii,0
RVR,small,C,Sinocalanus doerrii copepodid,0
RVR,small,C,Tropocyclops sp.,0
RVR,small,D,Acanthocyclops sp.,3.3
RVR,small,D,Acanthocyclops sp. copepodid,4.9
RVR,small,D,Acari,0
RVR,small,D,Alona sp.,0
RVR,small,D,Americorophium sp.,0
RVR,small,D,Amphipoda,0.1
RVR,small,D,Bivalvia,0
RVR,small,D,Bosmina sp.,0.2
RVR,small,D,Calanoida copepodid,0
RVR,small,D,Ceriodaphnia sp.,1
RVR,small,D,Chironomidae,0
RVR,small,D,Chironomidae larva,0
RVR,small,D,Chironomidae pupae,0
RVR,small,D,Chydoridae,0
RVR,small,D,Chydorus sp.,0.1
RVR,small,D,Cladocera,1.6
RVR,small,D,Crangonyx sp.,0
RVR,small,D,Culicidae larva,0
RVR,small,D,Cyclopoida,0
