Date,SamplePeriod,Year,WYType,FlowPulseType,NetFlowDays,Month,StationCode,Region,WaterTemp,Secchi,EC,SpCnd,pH,DO,Turbidity,Classification,Organism,Phylum,Class,Order,Family,Genus,Species,TaxonName,Taxlife,TaxonRank,CommonName,LifeStage,CPUEZoop,BPUE
8/17/2017,Before,2017,W,CA,12,Aug,RCS,Upstream,24.1,0.26,543,553,7.87,5.27,28.2,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Acanthocyclops vernalis adult,Species,Acanthocyclops vernalis,adult,5.567650825,18.70730677
10/28/2015,After,2015,C,NF,42,Oct,I80,Upstream,17.37,0.33,918,1074,8.15,2.41,19.3,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Acanthocyclops vernalis adult,Species,Acanthocyclops vernalis,adult,52.37004737,175.9633592
8/8/2018,Before,2018,BN,MA-Ag,30,Aug,BL5,Downstream,21,0.95,150,163,8.02,7.51,8.5,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Acanthocyclops vernalis adult,Species,Acanthocyclops vernalis,adult,12.54522432,42.15195371
9/17/2019,During,2019,W,MA-Ag,26,Sep,RD22,Upstream,21.6,0.24,488,522,7.65,5.24,28.2,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Acanthocyclops vernalis adult,Species,Acanthocyclops vernalis,adult,30.88104004,103.7602945
8/7/2019,Before,2019,W,MA-Ag,26,Aug,STTD,Transition,24.1,0.4,191,194,8.62,7.87,21.1,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Acanthocyclops vernalis adult,Species,Acanthocyclops vernalis,adult,0.90507018,3.041035804
10/15/2019,After,2019,W,MA-Ag,26,Oct,RCS,Upstream,15.8,0.24,493,598,7.58,6.62,23.6,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Acanthocyclops vernalis adult,Species,Acanthocyclops vernalis,adult,81.09219675,272.4697811
7/8/2016,Before,2016,BN,MA-SR,19,Jul,RCS,Upstream,24.56,0.23,932,940,8.01,4.71,28.4,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Acanthocyclops vernalis adult,Species,Acanthocyclops vernalis,adult,124.5865259,418.610727
9/18/2018,During,2018,BN,MA-Ag,30,Sep,I80,Upstream,20.3,0.35,538,591,7.81,6.19,21,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Acanthocyclops vernalis adult,Species,Acanthocyclops vernalis,adult,36.5236963,122.7196196
10/10/2018,After,2018,BN,MA-Ag,30,Oct,BL5,Downstream,18.1,1.2,167,192,8.42,8.68,5.6,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Acanthocyclops vernalis adult,Species,Acanthocyclops vernalis,adult,5.383632752,18.08900605
11/1/2018,After,2018,BN,MA-Ag,30,Nov,STTD,Transition,15.6,0.65,176,214,8.39,8.53,12,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Acanthocyclops vernalis adult,Species,Acanthocyclops vernalis,adult,6.269673626,21.06610338
8/6/2019,Before,2019,W,MA-Ag,26,Aug,RMB,Upstream,26.6,0.23,588,571,7.64,4.48,28.4,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Acanthocyclops vernalis adult,Species,Acanthocyclops vernalis,adult,5.193921693,17.45157689
9/2/2015,During,2015,C,NF,42,Sep,LIS,Transition,22.99,0.3,653,679,7.62,5.18,34.1,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Acanthocyclops vernalis adult,Species,Acanthocyclops vernalis,adult,110.945982,372.7784994
8/17/2017,Before,2017,W,CA,12,Aug,RD22,Upstream,23.3,0.23,716,740,8.1,6.07,38.2,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Acanthocyclops vernalis adult,Species,Acanthocyclops vernalis,adult,6.546434483,21.99601986
