Phylum,Class,Order,Family,Genus,Species,TaxonName
Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis
Arthropoda,Hexanauplia,Calanoida,Acartiidae,Acartia,NA,Acartia sp.
Arthropoda,Hexanauplia,Calanoida,Acartiidae,Acartiella,sinensis,Acartiella sinensis
Arthropoda,Branchiopoda,Diplostraca,Chydoridae,Alona,NA,Alona sp.
Arthropoda,Branchiopoda,Diplostraca,Chydoridae,Alonella,NA,Alonella sp.
Arthropoda,Hexanauplia,Cyclopoida,Chydoridae,Anchistropus,NA,Anchistropus sp.
Arthropoda,Hexanauplia,Calanoida,Diaptomidae,Arctodiaptomus,dorsalis,Arctodiaptomus dorsalis
Arthropoda,Branchiopoda,Diplostraca,Bosminidae,Bosmina,longirostris,Bosmina longirostris
Arthropoda,Hexanauplia,Calanoida,NA,NA,NA,Calanoida
Arthropoda,Branchiopoda,Diplostraca,Eurycercidae,Camptocercus,NA,Camptocercus sp.
Arthropoda,Branchiopoda,Diplostraca,Daphniidae,Ceriodaphnia,NA,Ceriodaphnia sp.
Arthropoda,Branchiopoda,Diplostraca,Chydoridae,Chydorus,NA,Chydorus sp.
Arthropoda,Hexanauplia,NA,NA,NA,NA,Cirripedia
Arthropoda,Branchiopoda,Diplostraca,NA,NA,NA,Cladocera
Arthropoda,Hexanauplia,NA,NA,NA,NA,Copepoda
Arthropoda,Hexanauplia,Cyclopoida,NA,NA,NA,Cyclopoida
Arthropoda,Branchiopoda,Diplostraca,Daphniidae,Daphnia,NA,Daphnia sp.
Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Diacyclops,thomasi,Diacyclops thomasi
Arthropoda,Branchiopoda,Diplostraca,Sididae,Diaphanosoma,NA,Diaphanosoma sp.
Arthropoda,Hexanauplia,Calanoida,Diaptomidae,Diaptomus,dorsalis,Diaptomus dorsalis
Arthropoda,Hexanauplia,Calanoida,Diaptomidae,Diaptomus,siciloides,Diaptomus siciloides
Arthropoda,Hexanauplia,Calanoida,Diaptomidae,Diaptomus,NA,Diaptomus sp.
Arthropoda,Branchiopoda,Diplostraca,Chydoridae,Disparalona,NA,Disparalona sp.
Arthropoda,Hexanauplia,Cyclopoida,Ergasilidae,Ergasilus,NA,Ergasilus sp.
Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Eucyclops,agilis,Eucyclops agilis
Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Eucyclops,elegans,Eucyclops elegans
Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Eucyclops,pectinifer,Eucyclops pectinifer
