StnCode,Year,Month,Day,SampleTime,Method,Species,FL,MarkCode,MeanTrans,Trans-2yrs,WYtype,WYtype-2yrs,,,,
PCS,1999,11,3,10:00:00 AM,FKTR,CHN,720,None,105,95,5,5,,,,
PCS,1999,11,5,9:10:00 AM,FKTR,CHN,520,None,105,95,5,5,,,,
PCS,1999,11,8,9:30:00 AM,FKTR,CHN,598,None,105,95,5,5,,,WY,
PCS,1999,12,6,12:10:00 PM,FKTR,CHN,880,None,105,95,5,5,,,Critical,1
PCS,1999,12,20,10:30:00 AM,FKTR,CHN,768,None,105,95,5,5,,,Dry,2
PCS,2000,3,31,2:10:00 PM,FKTR,CHN,700,None,110,90,4,5,,,Bel Norm,3
PCS,2000,4,14,10:45:00 AM,FKTR,CHN,682,None,110,90,4,5,,,Abv Norm,4
PCS,2000,4,19,1:00:00 PM,FKTR,CHN,775,None,110,90,4,5,,,Wet,5
PCS,2000,4,21,11:30:00 AM,FKTR,CHN,589,None,110,90,4,5,,,,
PCS,2000,4,26,9:00:00 AM,FKTR,CHN,710,n/p,110,90,4,5,,,,
PCS,2000,10,16,8:40:00 AM,FKTR,CHN,530,None,110,90,4,5,,,,
PCS,2000,10,23,9:00:00 AM,FKTR,CHN,940,None,110,90,4,5,,,,
PCS,2000,10,23,9:00:00 AM,FKTR,CHN,990,None,110,90,4,5,,,,
PCS,2000,10,27,11:50:00 AM,FKTR,CHN,530,None,110,90,4,5,,,,
PCS,2000,11,8,9:56:00 AM,FKTR,CHN,656,None,110,90,4,5,,,,
PCS,2001,2,5,10:30:00 AM,FKTR,CHN,690,None,95,105,2,5,,,,
PCS,2001,2,20,11:57:00 AM,FKTR,RBT,640,None,95,105,2,5,,,,
PCS,2001,3,21,11:00:00 AM,FKTR,CHN,460,None,95,105,2,5,,,,
PCS,2001,3,21,11:00:00 AM,FKTR,CHN,660,None,95,105,2,5,,,,
PCS,2001,3,26,12:20:00 PM,FKTR,CHN,756,None,95,105,2,5,,,,
PCS,2001,4,9,10:53:00 AM,FKTR,CHN,459,None,95,105,2,5,,,,
PCS,2001,4,6,12:50:00 PM,FKTR,RBT,506,None,95,105,2,5,,,,
PCS,2001,10,9,8:50:00 AM,FKTR,CHN,626,n/p,95,105,2,5,,,,
PCS,2001,10,10,9:00:00 AM,FKTR,CHN,850,n/p,95,105,2,5,,,,
PCS,2001,10,24,8:30:00 AM,FKTR,CHN,730,n/p,95,105,2,5,,,,
PCS,2001,10,26,9:20:00 AM,FKTR,CHN,880,n/p,95,105,2,5,,,,
PCS,2001,10,29,8:55:00 AM,FKTR,CHN,745,n/p,95,105,2,5,,,,
PCS,2001,11,5,8:32:00 AM,FKTR,CHN,840,n/p,95,105,2,5,,,,
PCS,2001,11,9,8:25:00 AM,FKTR,CHN,912,n/p,95,105,2,5,,,,
PCS,2001,12,3,11:15:00 AM,FKTR,CHN,856,n/p,95,105,2,5,,,,
PCS,2001,12,5,8:56:00 AM,FKTR,CHN,915,n/p,95,105,2,5,,,,
PCS,2002,1,25,9:20:00 AM,FKTR,CHN,820,O,115,110,2,4,,,,
PCS,2002,2,13,11:21:00 AM,FKTR,CHN,729,n/p,115,110,2,4,,,,
PCS,2002,2,20,11:15:00 AM,FKTR,RBT,593,n/p,115,110,2,4,,,,
PCS,2002,3,26,2:50:00 PM,FKTR,CHN,806,None,115,110,2,4,,,,
