MethodCode,StationCode,LatitudeLocation,LongitudeLocation
BSEIN,AL1,38.5445,-121.586639
BSEIN,AL2,38.52806,-121.588639
BSEIN,AL3,38.5185,-121.588623
BSEIN,AL4,38.49439,-121.588583
BSEIN,BL1,38.46681,-121.590851
BSEIN,BL2,38.43189,-121.607053
BSEIN,BL3,38.38939,-121.626278
BSEIN,BL4,38.35496,-121.6422
BSEIN,BL5,38.27428,-121.664178
BSEIN,BL6,38.282465,-121.663182
BSEIN,LI,38.47621,-121.588541
BSEIN,YB,38.56538,-121.630989
BSEIN,CCS7,38.67592,-121.643436
BSEIN,FW1,38.74979,-121.635232
BSEIN,SB,38.605219,-121.564176
BSEIN,LIHF,38.47417,-121.588083
BSEIN,YBI80,38.56531,-121.638005
FKTR,PCS,38.466958,-121.590934
FKTR,Alt_Fyke,38.436971,-121.604878
RSTR,STTD,38.353383,-121.643181
BSEIN,LIHFS,38.47417,-121.588083
BSEIN,YBI80,38.56531,-121.638005
BSEIN,RD22,38.676367,-121.643972
BSEIN,SB1,38.604167,-121.56625
BSEIN,SB2,38.605219,-121.564176
