OrganismCode,CommonName,Native,Phylum,Class,Order,Family,Genus,Species
AMM,AMMOCOETE LAMPREY,N,NA,NA,NA,PETROMYZONTIDAE,LAMPETRA,NA
AMS,American Shad,I,Chordata,Osteichthyes,Clupeiformes,Clupeidae,Alosa,sapidissima
BAS,Bass Unknown,I,Chordata,Osteichthyes,Perciformes,Centrarchidae,Micropterus,NA
BGS,Bluegill,I,Chordata,Osteichthyes,Perciformes,Centrarchidae,Lepomis,macrochirus
BKB,Black Bullhead,I,Chordata,Osteichthyes,Siluriformes,Ictaluridae,Ameiurus,melas
BKS,Black Crappie,I,Chordata,Osteichthyes,Perciformes,Centrarchidae,Pomoxis,nigromaculatus
BKT,Brook Trout,I,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Salvelinus,fontinalis
BL,Pacific Brook Lamprey,N,Chordata,Cephalaspidomorphi,Petromyzontiformes,Petromyzontidae,Lampetra,pacifica
BRB,Brown Bullhead,I,Chordata,Osteichthyes,Siluriformes,Ictaluridae,Ameiurus,nebulosus
BT,Brown Trout,N,Chordata,Osteichthyes,Salmoniformes,Salmonidae,Salmo,trutta
C,Common Carp,I,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Cyprinus,carpio
CAR,California Roach,N,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Hesperoleucus,symmetricus
CAT,Catfish Unknown,I,Chordata,Osteichthyes,Siluriformes,Ictaluridae,NA,NA
CHC,Channel Catfish,I,Chordata,Osteichthyes,Siluriformes,Ictaluridae,Ictalurus,punctatus
CHN,Chinook Salmon,N,Chordata,Osteichthyes,Salmoniformes,Salmonidae,Oncorhynchus,tshawytscha
CMC,Chinese Mitten Crab,I,Arthropoda,Crustacea,Decapoda,Grapsidae,Eriocheir,sinensis
DSM,Delta Smelt,N,Chordata,Osteichthyes,Salmoniformes,Osmeridae,Hypomesus,transpacificus
FHM,Fathead Minnow,I,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Pimephales,promelas
