Month,Day,Year,Method,Species,FL,Mark
3,31,2000,FKTR,CHN,700,None
4,14,2000,FKTR,CHN,682,None
4,19,2000,FKTR,CHN,775,None
4,21,2000,FKTR,CHN,589,None
4,26,2000,FKTR,CHN,710,n/p
11,3,1999,FKTR,CHN,720,None
11,5,1999,FKTR,CHN,520,None
11,8,1999,FKTR,CHN,598,None
12,6,1999,FKTR,CHN,880,None
12,20,1999,FKTR,CHN,768,None
2,5,2001,FKTR,CHN,690,None
3,21,2001,FKTR,CHN,460,None
3,21,2001,FKTR,CHN,660,None
3,26,2001,FKTR,CHN,756,None
4,9,2001,FKTR,CHN,459,None
10,16,2000,FKTR,CHN,530,None
10,23,2000,FKTR,CHN,940,None
10,23,2000,FKTR,CHN,990,None
10,27,2000,FKTR,CHN,530,None
11,8,2000,FKTR,CHN,656,None
2,20,2001,FKTR,RBT,640,None
4,6,2001,FKTR,RBT,506,None
12,3,2001,FKTR,CHN,856,n/p
12,5,2001,FKTR,CHN,915,n/p
1,25,2002,FKTR,CHN,820,O
2,13,2002,FKTR,CHN,729,n/p
3,26,2002,FKTR,CHN,806,None
10,9,2001,FKTR,CHN,626,n/p
10,10,2001,FKTR,CHN,850,n/p
10,24,2001,FKTR,CHN,730,n/p
10,26,2001,FKTR,CHN,880,n/p
10,29,2001,FKTR,CHN,745,n/p
11,5,2001,FKTR,CHN,840,n/p
11,9,2001,FKTR,CHN,912,n/p
2,20,2002,FKTR,RBT,593,n/p
10,7,2002,FKTR,CHN,655,None
10,11,2002,FKTR,CHN,791,None
10,16,2002,FKTR,CHN,604,None
10,22,2002,FKTR,CHN,555,None
10,22,2002,FKTR,CHN,962,None
12,5,2003,FKTR,CHN,750,n/p
6,22,2004,FKTR,CHN,781,None
10,25,2002,FKTR,CHN,665,None
10,31,2002,FKTR,RBT,418,n/p
11,4,2002,FKTR,CHN,583,None
11,12,2002,FKTR,CHN,864,None
1,15,2003,FKTR,RBT,229,n/p
3,10,2003,FKTR,RBT,480,n/p
1,30,2006,FKTR,CHN,824,None
1,30,2006,FKTR,CHN,770,None
2,3,2006,FKTR,CHN,776,None
2,8,2006,FKTR,CHN,862,None
11,5,2003,FKTR,CHN,975,n/p
11,10,2003,FKTR,CHN,646,n/p
11,10,2003,FKTR,CHN,865,n/p
11,10,2003,FKTR,CHN,875,n/p
11,24,2003,FKTR,CHN,909,n/p
11,21,2003,FKTR,RBT,330,n/p
10,12,2004,FKTR,CHN,560,None
