Year,Annual
2018 *,55884
2017 *,56980
2016 *,48192
2015 *,55853
2014 *,60667
2013 *,112998
2012 *,143326
2011 *,103681
2010 *,51726
2009 *,22703
2008,19100
2007,23641
2006,84883
2005,193411
2004,128275
2003,126763
2002,106001
2001,68709
2000,58361
1999,54444
1998,78918
1997,78888
1996,41960
1995,49249
1994,45622
1993,32807
1992,31249
1991,28611
1990,25725
1989,29468
1988,29305
1987,34210
1986,29367
1985,37410
1984,46433
1983,32985
1982,42077
1981,42455
1980,31397
1979,26360
1978,17441
1977,23226
1976,14858
1975,18201
1974,17120
1973,26515
1972,14081
1971,17075
1970,16144
1969,10684
1968,15657
1967,10303
1966,11326
1965,20571
1964,30860
1963,8325
1962,17510
1961,22465
1960,38771
1959,24076
1958,24214
1957,3920
1956,8995
1955,18000
1954,8000
1953,12000
1952,11000
Notes:
* Indicates annual escapement and mean are not final; data is Preliminary status.
CDFW GrandTab Adult Escapement
California Central Valley Chinook Population Database Report. CDFW GrandTab Adult Escapement. All; All; Sacramento and San Joaquin River Systems. Hatchery Fall Chinook.  (January to December). 1 GrandTab Data Note exists for dataset
Generated 03 Sep 2020 17:07:24 PDT. CDFW GrandTab Adult Escapement www.cbr.washington.edu/sacramento/data/query_adult_grandtab.html.

"Citation. Columbia Basin Research, University of Washington. (2020). SacPAS CDFW GrandTab Adult Escapement. Available from http://www.cbr.washington.edu/sacramento/data/query_adult_grandtab.html."
