Year,Annual
2018 *,2110
2017 *,691
2016 *,1659
2015 *,4440
2014 *,2776
2013 *,4294
2012 *,3738
2011 *,1969
2010 *,1661
2009 *,989
2008,1460
2007,1916
2006,2181
2005,1774
2004,4212
2003,8662
2002,4189
2001,4135
2000,3657
1999,3731
1998,6746
1997,3653
1996,6381
1995,5414
1994,3641
1993,4672
1992,1497
1991,4303
1990,1893
1989,5078
1988,6833
1987,1213
1986,1433
1985,1632
1984,1562
1983,1702
1982,1910
1981,469
1980,269
1979,250
1978,202
1977,185
1976,699
1975,691
1974,198
1973,205
1972,256
1971,481
1970,235
1969,348
1968,208
1967,146
Notes:
* Indicates annual escapement and mean are not final; data is Preliminary status.
CDFW GrandTab Adult Escapement
California Central Valley Chinook Population Database Report. CDFW GrandTab Adult Escapement. All; All; Sacramento and San Joaquin River Systems. Hatchery Spring Chinook.  (January to December). 1 GrandTab Data Note exists for dataset
Generated 03 Sep 2020 17:07:05 PDT. CDFW GrandTab Adult Escapement www.cbr.washington.edu/sacramento/data/query_adult_grandtab.html.

"Citation. Columbia Basin Research, University of Washington. (2020). SacPAS CDFW GrandTab Adult Escapement. Available from http://www.cbr.washington.edu/sacramento/data/query_adult_grandtab.html."
