Year,Annual
2018 *,2774
2017 *,1059
2016 *,6453
2015 *,1195
2014 *,7125
2013 *,19516
2012 *,18688
2011 *,5805
2010 *,2962
2009 *,3457
2008,11927
2007,9228
2006,10725
2005,21319
2004,12938
2003,22035
2002,20854
2001,22528
2000,5587
1999,6369
1998,24903
1997,1540
1996,2702
1995,9824
1994,2546
1993,1404
1992,1547
1991,1623
1990,5790
1989,7085
1988,12100
1987,12675
1986,24263
1985,13589
1984,8037
1983,6256
1982,25980
1981,21636
1980,12195
1979,2866
1978,7924
1977,12545
1976,25141
1975,22887
1974,9053
1973,11225
1972,8588
1971,8800
1970,7437
1969,21030
1968,455
1967,330
1966,427
1965,1788
1964,8021
1963,10817
1962,3642
1961,4327
1960,11068
Notes:
* Indicates annual escapement and mean are not final; data is Preliminary status.
CDFW GrandTab Adult Escapement
California Central Valley Chinook Population Database Report. CDFW GrandTab Adult Escapement. All; All; Sacramento and San Joaquin River Systems. In-River Spring Chinook.  (January to December). 1 GrandTab Data Note exists for dataset
Generated 03 Sep 2020 17:06:56 PDT. CDFW GrandTab Adult Escapement www.cbr.washington.edu/sacramento/data/query_adult_grandtab.html.

"Citation. Columbia Basin Research, University of Washington. (2020). SacPAS CDFW GrandTab Adult Escapement. Available from http://www.cbr.washington.edu/sacramento/data/query_adult_grandtab.html."
