Experiment,Location,Date,Cage.ID,Tag,Contents.Weight,Fullness,Digestion,Prey.Taxa,LH.Stage,Count,Taxa,Comments,
Cage Prototypes,DWSC,3/22/2019,FCCL Control Tank 1,RL25,0.0011,4,4,Americorophium spinicorne,adult,1,Amphipoda,,
Cage Prototypes,DWSC,3/22/2019,FCCL Control Tank 1,RL25,0.0011,4,4,Americorophium sp.,juvenile,2,Amphipoda,,
Cage Prototypes,DWSC,3/22/2019,FCCL Control Tank 1,RL25,0.0011,4,4,Acanthocyclops sp.,adult,1,Cyclopoida,,
Cage Prototypes,DWSC,3/22/2019,FCCL Control Tank 1,RL45,0.0053,5,5,Americorophium spinicorne,adult,2,Amphipoda,,
Cage Prototypes,DWSC,3/22/2019,FCCL Control Tank 2,RC01,0.0007,3,5,Americorophium sp.,juvenile,5,Amphipoda,,
Cage Prototypes,DWSC,3/22/2019,FCCL Control Tank 2,RC01,0.0007,3,5,Pseudodiaptomus forbesi,adult,1,Calanoida,,
Cage Prototypes,DWSC,3/22/2019,FCCL Control Tank 2,RC01,0.0007,3,5,Calanoida,copepodid,1,Calanoida,,
Cage Prototypes,DWSC,3/22/2019,FCCL Control Tank 2,RC01,0.0007,3,5,Macrocyclops sp.,undetermined,1,Cyclopoida,,
Cage Prototypes,DWSC,3/22/2019,FCCL Control Tank 2,RA42,0.0165,6,6,Fish,eggs,37,Other,"These were adhering in a single cluster, see photo",
Cage Prototypes,DWSC,3/22/2019,FCCL Control Tank 2,RC80,0.0037,4,5,Fish,eggs,13,Other,same as above,
Cage Prototypes,DWSC,3/22/2019,FCCL Control Tank 1,RF42,0.0033,4,6,Americorophium spinicorne,adult,2,Amphipoda,,
Cage Prototypes,DWSC,3/22/2019,FCCL Control Tank 1,RF42,0.0033,4,6,Americorophium sp.,juvenile,3,Amphipoda,,
Cage Prototypes,DWSC,3/22/2019,FCCL Control Tank 1,RF42,0.0033,4,6,Pseudodiaptomus forbesi,adult,1,Calanoida,,
Cage Prototypes,DWSC,3/27/2019,F,RK73,0.0014,3,4,Fish,eggs,3,Other,,
Cage Prototypes,DWSC,3/27/2019,F,RK73,0.0014,3,4,Diacyclops thomasi,undetermined,1,Cyclopoida,,
Cage Prototypes,DWSC,3/27/2019,F,RK73,0.0014,3,4,Eucyclops sp.,undetermined,1,Cyclopoida,,
Cage Prototypes,DWSC,3/27/2019,F,RK73,0.0014,3,4,Cyclopoida,copepodid,4,Cyclopoida,,
Cage Prototypes,DWSC,3/27/2019,F,RI08,0.002,4,4,Bosmina sp.,undetermined,1,Cladocera,about half of diet appeared to be detritus--see photo,
Cage Prototypes,DWSC,3/27/2019,F,RI08,0.002,4,4,Chydorus sp.,undetermined,1,Cladocera,,
