Date,Station,TotalConc_Zoop,TotalConc_Water
2017-08-29,SHR,227.198717808011,389.42531168648
2017-09-12,SHR,174.190879445974,396.646319739315
2017-09-19,SHR,137.996065023259,147.01556644492
2017-10-03,SHR,316.696198720302,80.3295743352457
2017-10-17,SHR,427.379436065626,47.9223975521605
2017-11-01,SHR,265.571071149729,97.2959426412214
2018-07-12,SHR,218.848850117202,188.766101826787
2018-07-25,SHR,164.992729959049,262.276530379396
2018-08-09,SHR,413.084218565573,668.976932359728
2018-08-23,SHR,302.753628992284,564.303129555531
2018-09-06,SHR,324.048379160469,317.937546026649
2018-09-20,SHR,270.178040584402,151.466439707515
2018-10-11,SHR,651.371134551965,98.8520576383865
2018-10-26,SHR,0,75.6267844069417
2018-11-09,SHR,359.010118095845,198.172010228597
2019-05-21,SHR,127.908842951659,445.480775785257
2019-06-04,SHR,103.080111228157,215.691363330782
2019-06-18,SHR,419.339464674127,505.859844793697
2019-07-02,SHR,129.369410946241,507.568745084432
2019-07-16,SHR,163.666429579974,374.250625306354
2019-08-05,SHR,322.10232780799,337.9123212472
2019-08-19,SHR,386.214671593414,554.083753166913
2019-09-05,SHR,219.434243851934,423.410950306336
2019-09-16,SHR,246.221006273625,331.931370329339
2019-09-30,SHR,418.094276413578,148.040249332283
2019-10-14,SHR,445.062177708472,70.7696445320797
2019-10-28,SHR,690.507341809165,90.1227497620438
2019-11-13,SHR,378.311722552544,115.527039488075
2019-11-25,SHR,405.884846978024,186.343749304773
2019-12-10,SHR,323.051058539275,558.238093512344
2019-12-27,SHR,326.217955061421,253.962791494376
2017-08-30,STTD,75.1553589964655,NA
2017-09-13,STTD,26.9285152038295,NA
2017-09-20,STTD,73.0509307406349,NA
2017-10-04,STTD,269.000639468458,NA
2017-10-19,STTD,62.2203737037158,NA
2017-11-02,STTD,285.622791194975,NA
2018-07-11,STTD,165.589766839142,NA
2018-07-26,STTD,100.066273161,NA
2018-08-08,STTD,64.420446939997,NA
2018-08-22,STTD,212.967401434022,NA
2018-08-30,STTD,686.837561483617,NA
2018-09-05,STTD,1170.56493976457,NA
2018-09-19,STTD,797.156458183601,NA
2018-10-10,STTD,83.1835026159597,NA
2018-10-25,STTD,99.3319307611857,NA
2018-11-08,STTD,213.587422929527,NA
2019-05-20,STTD,919.344676301147,362.1
2019-06-03,STTD,903.775143383286,1467.6353587313
2019-06-17,STTD,332.828561871293,899.798195890823
2019-07-01,STTD,230.4,607.281148741937
2019-07-15,STTD,125.7,532.993784707007
2019-08-07,STTD,0,347.243976166204
2019-08-21,STTD,89,457.271266810689
2019-09-04,STTD,641.2,2289.24197278348
2019-09-18,STTD,548,2093.83725015545
2019-10-02,STTD,333.9,766.803420258413
2019-10-16,STTD,181.7,347.252951368333
2019-10-28,STTD,315,233.266236722168
2019-11-14,STTD,406.1,164.599631903336
2019-11-26,STTD,413.7,193.536617022106
2019-12-09,STTD,994.5,1714.24731181256
2019-12-26,STTD,373.2,577.11950049174
