physical_data_id,surface_irr,depth1irr,depth2irr,depth3irr,depth4irr,station_code,date,time,water_temp,secchi,ec,sp_cond,p_h,do,turb,year,period,wy_type,action_type,region,md
1421,2205,1657,1104,552,40,SHR,7/18/2017,8:42:00,22.3,1.7,104,110,7.58,8.5,7.6,2017,Before,wet,CA,Middle Sac River,7/18/2023
1422,1916.7,1481,963,490,57.9,SHR,8/1/2017,8:55:00,21.8,NA,98,104,7.79,8.64,8.2,2017,Before,wet,CA,Middle Sac River,8/1/2023
1423,1987.7,1474,997,493,22.71,SHR,8/29/2017,9:05:00,21.2,0.9,111,120,7.77,8.53,8.1,2017,Before,wet,CA,Middle Sac River,8/29/2023
1424,2274,1712,1131,568,75,SHR,8/15/2017,9:36:00,20.6,0.85,102,111,7.52,8.66,8.4,2017,Before,wet,CA,Middle Sac River,8/15/2023
1458,362.3,272,182,90.5,3.67,RCS,9/13/2017,8:24:00,24,0.27,528,531,7.61,5.26,25.4,2017,During,wet,CA,Upstream,9/13/2023
1460,2164,1629,1084,523,21.67,RD22,9/13/2017,10:13:00,24.3,0.26,699,708,7.99,4.66,28.8,2017,During,wet,CA,Upstream,9/13/2023
1462,2218,1660,1190,554,22.1,I80,9/13/2017,11:52:00,24.7,0.2,728,732,8,5.25,47.2,2017,During,wet,CA,Upstream,9/13/2023
1463,2381,1788,1198,589,23.6,LIS,9/13/2017,13:06:00,25.1,0.17,690,688,8.25,6.11,30.2,2017,During,wet,CA,Upstream,9/13/2023
1464,2162,1625,1081,540,22.07,STTD,9/13/2017,10:55:00,24.1,0.2,188,191,7.78,6.95,20.5,2017,During,wet,CA,Upstream,9/13/2023
1465,2350,1769,1168,588,61.5,BL5,9/13/2017,12:09:00,22.4,0.8,151,159,7.88,7.95,9,2017,During,wet,CA,Downstream,9/13/2023
1466,2408,1803,1209,603,381,LIB,9/13/2017,12:43:00,21.9,1,140,149,7.62,8.24,4,2017,During,wet,CA,Downstream,9/13/2023
1467,2431,1804,1264,610,286,RYI,9/13/2017,13:07:00,21.5,NA,136,145,7.61,8.24,4.7,2017,During,wet,CA,Downstream,9/13/2023
1468,2994,2219,1495,748,92.12,SHR,9/12/2017,10:15:00,20.4,NA,117,127,7.54,8.79,4.2,2017,During,wet,CA,Middle Sac River,9/12/2023
1469,2358,1700,1146,583.4,354.6,RVB,9/13/2017,13:45:00,21.7,1.2,137,146,7.57,8.1,5.6,2017,During,wet,CA,Downstream,9/13/2023
