StationCode,Date,Flow
LIB,2014-10-01,401.26975
LIB,2014-10-02,-73.90033333333334
LIB,2014-10-03,-352.5704166666667
LIB,2014-10-04,-478.93058333333335
LIB,2014-10-05,-695.2778333333333
LIB,2014-10-06,-914.6839166666666
LIB,2014-10-07,-942.069875
LIB,2014-10-08,-939.012
LIB,2014-10-09,-848.82825
LIB,2014-10-10,-624.7507083333334
LIB,2014-10-11,-303.962
LIB,2014-10-12,-54.902499999999996
LIB,2014-10-13,-853.050875
LIB,2014-10-14,-967.698125
LIB,2014-10-15,-185.687125
LIB,2014-10-16,-93.73529166666667
LIB,2014-10-17,-168.41554166666666
LIB,2014-10-18,-481.1012083333333
LIB,2014-10-19,-697.5673333333333
LIB,2014-10-20,-560.535125
LIB,2014-10-21,-285.64320833333335
LIB,2014-10-22,-577.9589583333334
LIB,2014-10-23,-501.851625
LIB,2014-10-24,-755.008875
LIB,2014-10-25,-872.0992083333333
LIB,2014-10-26,-208.74866666666668
LIB,2014-10-27,-380.0002083333333
LIB,2014-10-28,-488.27825
LIB,2014-10-29,-554.2435833333333
LIB,2014-10-30,-784.5495384615385
LIB,2014-11-03,-457.8645
LIB,2014-11-04,-670.8648333333333
LIB,2014-11-05,-900.0175
LIB,2014-11-06,-900.5690416666666
LIB,2014-11-07,-822.375625
LIB,2014-11-08,-781.37575
LIB,2015-07-06,-1777.5
LIB,2015-07-07,-1802.5
LIB,2015-07-08,-2052.9166666666665
LIB,2015-07-09,-1987.5
LIB,2015-07-10,-2037.9166666666667
LIB,2015-07-11,-2103.3333333333335
LIB,2015-07-12,-1993.75
LIB,2015-07-13,-1945
LIB,2015-07-14,-1884.1666666666667
LIB,2015-07-15,-1924.1666666666667
LIB,2015-07-16,-1995
LIB,2015-07-17,-1967.5
LIB,2015-07-18,-1761.6666666666667
LIB,2015-07-19,-1355
LIB,2015-07-20,-1647.0833333333333
LIB,2015-07-21,-2010.8333333333333
LIB,2015-07-22,-2170.8333333333335
LIB,2015-07-23,-1724.1666666666667
LIB,2015-07-24,-1573.75
LIB,2015-07-25,-1776.6666666666667
LIB,2015-07-26,-1955.8333333333333
LIB,2015-07-27,-1773.75
LIB,2015-07-28,-1821.25
LIB,2015-07-29,-1961.25
LIB,2015-07-30,-2037.9166666666667
LIB,2015-07-31,-2155.4166666666665
LIB,2015-08-01,-2268.75
LIB,2015-08-02,-2171.6666666666665
LIB,2015-08-03,-1886.25
LIB,2015-08-04,-1479.5833333333333
LIB,2015-08-05,-1624.1666666666667
LIB,2015-08-06,-1977.0833333333333
LIB,2015-08-07,-2058.3333333333335
LIB,2015-08-08,-1814.5833333333333
LIB,2015-08-09,-1814.5833333333333
LIB,2015-08-10,-2092.0833333333335
LIB,2015-08-11,-1891.25
LIB,2015-08-12,-1744.1666666666667
LIB,2015-08-13,-1710.8333333333333
LIB,2015-08-14,-1455.4166666666667
LIB,2015-08-15,-1435.4166666666667
LIB,2015-08-16,-1449.1666666666667
LIB,2015-08-17,-1710.8333333333333
LIB,2015-08-18,-1935.4166666666667
LIB,2015-08-19,-1816.25
LIB,2015-08-20,-1680.4166666666667
LIB,2015-08-21,-1758.3333333333333
LIB,2015-08-22,-1643.3333333333333
LIB,2015-08-23,-1544.1666666666667
LIB,2015-08-24,-1469.5833333333333
LIB,2015-08-25,-1529.5833333333333
LIB,2015-08-26,-1574.1666666666667
LIB,2015-08-27,-1642.5
LIB,2015-08-28,-1937.5
LIB,2015-08-29,-1797.5
LIB,2015-08-30,-1655.4166666666667
LIB,2015-08-31,-1700.8333333333333
LIB,2015-09-01,-1691.25
LIB,2015-09-02,-1703.75
LIB,2015-09-03,-1694.1666666666667
LIB,2015-09-04,-1597.0833333333333
LIB,2015-09-05,-1187.9166666666667
LIB,2015-09-06,-1398.3333333333333
LIB,2015-09-07,-1487.0833333333333
LIB,2015-09-08,-1557.5
LIB,2015-09-09,-1545.8333333333333
LIB,2015-09-10,-1487.0833333333333
LIB,2015-09-11,-1614.1666666666667
LIB,2015-09-12,-1636.25
LIB,2015-09-13,-1736.25
LIB,2015-09-14,-1677.0833333333333
LIB,2015-09-15,-1470.4166666666667
LIB,2015-09-16,-1312.0833333333333
LIB,2015-09-17,-1272.9166666666667
LIB,2015-09-18,-1245.8333333333333
LIB,2015-09-19,-1235.8333333333333
LIB,2015-09-20,-1309.2857142857142
LIB,2015-09-26,-1635
LIB,2015-09-27,-1773.3333333333333
LIB,2015-09-28,-1918.75
LIB,2015-09-29,-1799.1666666666667
LIB,2015-09-30,-1562.9166666666667
LIB,2015-10-01,-1552.5
LIB,2015-10-02,-1598.3333333333333
LIB,2015-10-03,-1841.25
LIB,2015-10-04,-1627.0833333333333
LIB,2015-10-05,-1392.5
LIB,2015-10-06,-1253.75
LIB,2015-10-07,-1409.1666666666667
LIB,2015-10-08,-1444.5833333333333
LIB,2015-10-09,-1429.5833333333333
LIB,2015-10-10,-1493.75
LIB,2015-10-11,-1454.1666666666667
LIB,2015-10-12,-1533.3333333333333
LIB,2015-10-13,-1628.3333333333333
LIB,2015-10-14,-1795.8333333333333
LIB,2015-10-15,-1739.5833333333333
LIB,2015-10-16,-1708.3333333333333
LIB,2015-10-17,-1690.8333333333333
LIB,2015-10-18,-1443.75
LIB,2015-10-19,-1169.1666666666667
LIB,2015-10-20,-1032.75
LIB,2015-10-21,-1354.1666666666667
LIB,2015-10-22,-1472.5
LIB,2015-10-23,-1503.3333333333333
LIB,2015-10-24,-1541.25
LIB,2015-10-25,-1476.6666666666667
LIB,2015-10-26,-1478.75
LIB,2015-10-27,-1686.25
LIB,2015-10-28,-1504.1666666666667
LIB,2015-10-29,-802.5833333333334
LIB,2015-10-30,-867.375
LIB,2015-10-31,-1238.3333333333333
LIB,2015-11-01,-1115
LIB,2015-11-02,-886.7916666666666
LIB,2015-11-03,-492
LIB,2015-11-04,-212.08333333333334
LIB,2015-11-05,-593.7916666666666
LIB,2015-11-06,-904.75
LIB,2015-11-07,-1182.0833333333333
LIB,2015-11-08,-1398.3333333333333
LIB,2015-11-09,-1310
LIB,2015-11-10,-784.25
LIB,2015-11-11,-817.8333333333334
LIB,2015-11-12,-1169.5833333333333
LIB,2015-11-13,-1260.4166666666667
LIB,2015-11-14,-1582.9166666666667
LIB,2015-11-15,-1293.0416666666667
LIB,2015-11-16,-73.65166666666667
LIB,2016-05-29,-1500.4166666666667
LIB,2016-05-30,-1567.0833333333333
LIB,2016-05-31,-1801.6666666666667
LIB,2016-06-01,-1800
LIB,2016-06-02,-1555.4166666666667
LIB,2016-06-03,-1592.9166666666667
LIB,2016-06-04,-1905.4166666666667
LIB,2016-06-05,-2002
LIB,2016-06-16,-1286.875
LIB,2016-06-17,-1417.0833333333333
LIB,2016-06-18,-1159.5833333333333
LIB,2016-06-19,-1400
