StationCode,Year,Week,Flow
LIB,2014,40,-436.59474404761903
LIB,2014,41,-656.0292083333334
LIB,2014,42,-353.2406904761905
LIB,2014,43,-540.5636845238096
LIB,2014,44,-598.4911445783132
LIB,2014,45,-851.0844791666667
LIB,2015,27,-1877.638888888889
LIB,2015,28,-1982.2619047619048
LIB,2015,29,-1843.9880952380952
LIB,2015,30,-1798.095238095238
LIB,2015,31,-1946.25
LIB,2015,32,-1913.154761904762
LIB,2015,33,-1644.7619047619048
LIB,2015,34,-1599.9404761904761
LIB,2015,35,-1732.6785714285713
LIB,2015,36,-1495.4166666666667
LIB,2015,37,-1561.904761904762
LIB,2015,38,-1260.9302325581396
LIB,2015,39,-1758.4
LIB,2015,40,-1524.9404761904761
LIB,2015,41,-1539.9404761904761
LIB,2015,42,-1448.3690476190477
LIB,2015,43,-1523.2738095238096
LIB,2015,44,-802.0238095238095
LIB,2015,45,-998.7202380952381
LIB,2015,46,-1075.922
LIB,2016,22,-1644.9166666666667
LIB,2016,23,-1792.7586206896551
LIB,2016,24,-1286.875
LIB,2016,25,-1475.7142857142858
LIB,2016,26,-1409.2857142857142
LIB,2016,27,-1645.892857142857
LIB,2016,28,-1303.8690476190477
LIB,2016,29,-1450.4761904761904
LIB,2016,30,-1228.154761904762
LIB,2016,31,-1481.9642857142858
LIB,2016,32,-1171.9880952380952
LIB,2016,33,-1171.482142857143
LIB,2016,34,-1359.642857142857
LIB,2016,35,-1291.3095238095239
LIB,2016,36,-1301.4285714285713
LIB,2016,37,-1561.970238095238
LIB,2016,38,-1369.1666666666667
LIB,2017,28,-614.4166666666666
LIB,2017,29,-974.9285714285714
LIB,2017,30,-1084.3095238095239
LIB,2017,31,-1206.672619047619
LIB,2017,32,-1261.25
LIB,2017,33,-1216.4285714285713
LIB,2017,34,-1125.172619047619
LIB,2017,35,-788.797619047619
LIB,2017,36,-1287.047619047619
LIB,2017,37,-1488.2142857142858
LIB,2017,38,-1234.81512605042
LIB,2017,39,-877.4615384615385
LIB,2017,40,-874.9090909090909
LIB,2017,41,-220.50178571428572
LIB,2017,42,-817.7559523809524
LIB,2017,43,-522.9166666666666
LIB,2017,44,-620.8807339449542
LIB,2018,28,-1004.2692307692307
LIB,2018,29,-665.0297619047619
LIB,2018,30,-774.2765957446809
LIB,2018,31,-608.8958333333334
LIB,2018,32,-1025
LIB,2018,33,-1070.7948717948718
LIB,2018,34,-809.2142857142857
LIB,2018,35,-539.625
LIB,2018,36,-603.968992248062
LIB,2018,39,-766.8941176470588
LIB,2018,40,-723.4025974025974
LIB,2018,41,-552.3548387096774
LIB,2018,42,-689
LIB,2018,43,-666.5909090909091
LIB,2018,44,-162
LIB,2019,28,-894.7583333333333
LIB,2019,29,-723.577380952381
LIB,2019,30,-718.9130434782609
LIB,2019,31,-1102.258064516129
LIB,2019,34,-453.7857142857143
LIB,2019,35,-966.5581395348837
LIB,2019,36,-712.5757575757576
LIB,2019,37,-975.4230769230769
LIB,2019,38,-52.48923913043478
LIB,2019,43,-647.1428571428571
LIS,2013,27,-6.4921875
LIS,2013,28,-24.117559523809526
LIS,2013,29,-71.83482142857143
LIS,2013,30,-46.055059523809526
LIS,2013,31,-57.62202380952381
LIS,2013,32,-51.05654761904762
LIS,2013,33,-32.799107142857146
LIS,2013,34,26.276041666666668
LIS,2013,35,100.60565476190476
LIS,2013,36,127.86904761904762
LIS,2013,37,209.76785714285714
LIS,2013,38,133.69142857142856
LIS,2013,39,205.85037878787878
LIS,2013,40,-15.063392857142857
LIS,2013,41,-18.972470238095237
LIS,2013,42,-48.34672619047619
LIS,2013,43,-42.64732142857143
LIS,2013,44,-34.854166666666664
LIS,2013,45,-43.46279761904762
LIS,2013,46,-40.97569444444444
LIS,2014,30,-91.61458333333333
LIS,2014,31,-80.92261904761905
LIS,2014,32,-75.3452380952381
LIS,2014,33,-74.1860119047619
LIS,2014,34,-48.01934523809524
LIS,2014,35,-39.50892857142857
LIS,2014,36,-4.447916666666667
LIS,2014,37,88.61904761904762
LIS,2014,38,89.97886904761904
LIS,2014,39,-21.843154761904763
LIS,2014,40,-40.17857142857143
LIS,2014,41,-80.60119047619048
LIS,2014,42,-51.316964285714285
LIS,2014,43,-57.642857142857146
LIS,2014,44,-33.017857142857146
LIS,2014,45,-21.428571428571427
LIS,2015,27,-75.74652777777777
LIS,2015,28,-91.63988095238095
LIS,2015,29,-88.69047619047619
LIS,2015,30,-102.62946428571429
LIS,2015,31,-89.23214285714286
LIS,2015,32,-70.53616071428571
LIS,2015,33,-23.14151785714286
LIS,2015,34,174.17529761904763
LIS,2015,35,163.45089285714286
LIS,2015,36,286.96875
LIS,2015,37,358.0331325301205
