Station,Term,df,F,p_value
RD22,Year_fct,4.00##,7.37##,< 0.001##
RD22,Flow,1.00##,6.96##,0.010##
RD22,Year_fct:Flow,4.00##,2.38##,0.060##
RD22,s(Week),2.33##,8.92##,< 0.001##
STTD,Year_fct,4.00##,69.3##,< 0.001##
STTD,Flow,1.00##,37.0##,< 0.001##
STTD,Year_fct:Flow,4.00##,5.09##,0.001##
STTD,s(Week),0.342##,0.137##,0.303##
LIB,Year_fct,4.00##,0.648##,0.631##
LIB,Flow,1.00##,0.170##,0.682##
LIB,lag1,1.00##,42.1##,< 0.001##
LIB,lag2,1.00##,2.46##,0.123##
LIB,Year_fct:Flow,4.00##,0.454##,0.769##
LIB,s(Week),0.133##,0.0473##,0.351##
RVB,Year_fct,4.00##,3.52##,0.011##
RVB,Flow,1.00##,2.98##,0.089##
RVB,lag1,1.00##,18.1##,< 0.001##
RVB,Year_fct:Flow,4.00##,2.44##,0.055##
RVB,s(Week),2.24##,3.69##,0.005##
