Station,Term,df,F,p_value
RD22,Year_fct,4.00##,1.94##,0.145##
RD22,Flow,1.00##,2.10##,0.164##
RD22,Year_fct:Flow,4.00##,1.04##,0.413##
RD22,s(Week),2.08##,3.00##,0.020##
STTD,Year_fct,4.00##,6.98##,< 0.001##
STTD,Flow,1.00##,0.666##,0.419##
STTD,Year_fct:Flow,4.00##,0.512##,0.727##
STTD,s(Week),0.331##,0.131##,0.306##
LIB,Year_fct,4.00##,0.901##,0.483##
LIB,Flow,1.00##,0.691##,0.416##
LIB,Year_fct:Flow,4.00##,1.13##,0.372##
LIB,s(Week),8.53e-05##,1.51e-05##,0.600##
RVB,Year_fct,4.00##,3.09##,0.039##
RVB,Flow,1.00##,7.50##,0.013##
RVB,Year_fct:Flow,4.00##,2.58##,0.068##
RVB,s(Week),1.61##,2.46##,0.018##
