Station,Year,Flow_slope,SE,df,t_ratio,p_value
RD22,2014,-0.0603##,0.138##,19.8##,-0.438##,0.666##
RD22,2015,3.67e-03##,2.64e-03##,19.8##,1.39##,0.180##
RD22,2016,-4.00e-03##,4.00e-03##,19.8##,-1.00##,0.329##
RD22,2017,7.91e-03##,0.136##,19.8##,0.0579##,0.954##
RD22,2018,4.99e-03##,2.67e-03##,19.8##,1.87##,0.076##
RD22,2019,5.83e-04##,1.92e-03##,19.8##,0.303##,0.765##
STTD,2014,-3.32e-03##,9.30e-03##,45.8##,-0.357##,0.722##
STTD,2015,2.53e-03##,2.80e-03##,45.8##,0.904##,0.371##
STTD,2016,3.77e-03##,3.96e-03##,45.8##,0.954##,0.345##
STTD,2017,0.0137##,0.0102##,45.8##,1.35##,0.183##
STTD,2018,6.41e-04##,1.73e-03##,45.8##,0.371##,0.712##
STTD,2019,5.53e-04##,1.90e-03##,45.8##,0.291##,0.772##
LIB,2014,3.12e-03##,6.52e-03##,27.0##,0.479##,0.636##
LIB,2015,1.92e-03##,2.14e-03##,27.0##,0.896##,0.378##
LIB,2016,3.35e-03##,2.83e-03##,27.0##,1.18##,0.248##
LIB,2017,7.69e-03##,7.93e-03##,27.0##,0.970##,0.341##
LIB,2018,-2.26e-04##,1.70e-03##,27.0##,-0.133##,0.895##
LIB,2019,-7.25e-04##,1.33e-03##,27.0##,-0.546##,0.589##
RVB,2014,9.25e-03##,7.97e-03##,24.4##,1.16##,0.257##
RVB,2015,6.57e-04##,2.66e-03##,24.4##,0.247##,0.807##
RVB,2016,1.12e-03##,3.85e-03##,24.4##,0.291##,0.774##
RVB,2017,8.53e-04##,9.78e-03##,24.4##,0.0872##,0.931##
RVB,2018,1.82e-03##,2.12e-03##,24.4##,0.858##,0.399##
RVB,2019,1.17e-03##,1.60e-03##,24.4##,0.730##,0.472##
