Station,Contrast,Estimate,SE,df,t_ratio,p_value
RD22,Year_fct2014 - Year_fct2015,-6.49##,9.23##,19.8##,-0.703##,0.979##
RD22,Year_fct2014 - Year_fct2016,-7.11##,9.20##,19.8##,-0.773##,0.969##
RD22,Year_fct2014 - Year_fct2017,-8.32##,14.9##,19.8##,-0.557##,0.993##
RD22,Year_fct2014 - Year_fct2018,-5.72##,9.22##,19.8##,-0.620##,0.988##
RD22,Year_fct2014 - Year_fct2019,-6.50##,9.26##,19.8##,-0.703##,0.979##
RD22,Year_fct2015 - Year_fct2016,-0.621##,0.611##,19.8##,-1.02##,0.907##
RD22,Year_fct2015 - Year_fct2017,-1.83##,13.4##,19.8##,-0.136##,1.000##
RD22,Year_fct2015 - Year_fct2018,0.775##,0.580##,19.8##,1.34##,0.763##
RD22,Year_fct2015 - Year_fct2019,-0.0128##,0.614##,19.8##,-0.0208##,1.000##
RD22,Year_fct2016 - Year_fct2017,-1.20##,13.4##,19.8##,-0.0900##,1.000##
RD22,Year_fct2016 - Year_fct2018,1.40##,0.605##,19.8##,2.31##,0.237##
RD22,Year_fct2016 - Year_fct2019,0.608##,0.654##,19.8##,0.930##,0.934##
RD22,Year_fct2017 - Year_fct2018,2.60##,13.4##,19.8##,0.194##,1.000##
RD22,Year_fct2017 - Year_fct2019,1.81##,13.4##,19.8##,0.135##,1.000##
RD22,Year_fct2018 - Year_fct2019,-0.787##,0.621##,19.8##,-1.27##,0.799##
STTD,Year_fct2014 - Year_fct2015,2.44##,0.766##,45.8##,3.18##,0.029##
STTD,Year_fct2014 - Year_fct2016,-0.278##,0.777##,45.8##,-0.357##,0.999##
STTD,Year_fct2014 - Year_fct2017,0.502##,0.922##,45.8##,0.544##,0.994##
STTD,Year_fct2014 - Year_fct2018,1.95##,0.723##,45.8##,2.70##,0.096##
STTD,Year_fct2014 - Year_fct2019,2.99##,0.857##,45.8##,3.48##,0.013##
STTD,Year_fct2015 - Year_fct2016,-2.72##,0.581##,45.8##,-4.67##,< 0.001##
STTD,Year_fct2015 - Year_fct2017,-1.94##,0.767##,45.8##,-2.52##,0.139##
STTD,Year_fct2015 - Year_fct2018,-0.489##,0.510##,45.8##,-0.959##,0.929##
STTD,Year_fct2015 - Year_fct2019,0.548##,0.688##,45.8##,0.797##,0.967##
STTD,Year_fct2016 - Year_fct2017,0.779##,0.778##,45.8##,1.00##,0.915##
STTD,Year_fct2016 - Year_fct2018,2.23##,0.524##,45.8##,4.24##,0.001##
STTD,Year_fct2016 - Year_fct2019,3.26##,0.699##,45.8##,4.67##,< 0.001##
STTD,Year_fct2017 - Year_fct2018,1.45##,0.725##,45.8##,1.99##,0.361##
STTD,Year_fct2017 - Year_fct2019,2.48##,0.859##,45.8##,2.89##,0.061##
STTD,Year_fct2018 - Year_fct2019,1.04##,0.640##,45.8##,1.62##,0.589##
LIB,Year_fct2014 - Year_fct2015,-0.421##,0.650##,27.0##,-0.648##,0.986##
LIB,Year_fct2014 - Year_fct2016,0.135##,0.650##,27.0##,0.208##,1.000##
LIB,Year_fct2014 - Year_fct2017,0.765##,0.788##,27.0##,0.971##,0.923##
LIB,Year_fct2014 - Year_fct2018,0.206##,0.650##,27.0##,0.316##,1.000##
LIB,Year_fct2014 - Year_fct2019,0.785##,0.677##,27.0##,1.16##,0.852##
LIB,Year_fct2015 - Year_fct2016,0.556##,0.466##,27.0##,1.19##,0.837##
LIB,Year_fct2015 - Year_fct2017,1.19##,0.645##,27.0##,1.84##,0.460##
LIB,Year_fct2015 - Year_fct2018,0.626##,0.466##,27.0##,1.34##,0.759##
LIB,Year_fct2015 - Year_fct2019,1.21##,0.504##,27.0##,2.39##,0.194##
LIB,Year_fct2016 - Year_fct2017,0.630##,0.646##,27.0##,0.976##,0.921##
LIB,Year_fct2016 - Year_fct2018,0.0704##,0.467##,27.0##,0.151##,1.000##
LIB,Year_fct2016 - Year_fct2019,0.650##,0.504##,27.0##,1.29##,0.788##
LIB,Year_fct2017 - Year_fct2018,-0.560##,0.646##,27.0##,-0.867##,0.951##
LIB,Year_fct2017 - Year_fct2019,0.0197##,0.673##,27.0##,0.0292##,1.000##
LIB,Year_fct2018 - Year_fct2019,0.580##,0.504##,27.0##,1.15##,0.856##
RVB,Year_fct2014 - Year_fct2015,0.749##,0.790##,24.4##,0.948##,0.930##
