MethodCode,SampleDate,SampleTime,StationCode,Volume Received (mL),Volume Analyzed (mL),Percent of Sample Counted,Field-of-view (mm²),Slide/ Chamber Area (mm²),Area Counted,Number of Fields Counted,Factor,BSA_TIN,Taxon,Diatom/SoftBody,Genus,Species,Synonym,Unit Abundance,Number of cells per unit,GALD,Colony/Filament/Individual Group Code,BSA#,Taxonomist,Comments,Shape,Biovolume 1,Biovolume 2,Biovolume 3,Biovolume 4,Biovolume 5,Biovolume 6,Biovolume 7,Biovolume 8,Biovolume 9,Biovolume 10,
Phyto,4/3/2017,13:15,C10A,61,2,3.28%,0.0697,314.159,0.348732495,5,450.43,74,cf. Amphora sp.,Diatom,Amphora,sp.,,1,1,18.5,i,BSA.04-01,DK,Obscured by detritus. Moderate sediment. Moderate detritus. Sample contains mucilaginous detritus. Ciliates present.,cymbelloid,332.72,,,,,,,,,,
Phyto,4/3/2017,13:15,C10A,61,2,3.28%,0.0697,314.159,0.348732495,5,450.43,191,Cyclotella spp.,Diatom,Cyclotella,spp.,,7,7,4.6,i,BSA.04-01,DK,Moderate sediment. Moderate detritus. Sample contains mucilaginous detritus. Ciliates present.,cylinder,31.58,,,,,,,,,,
Phyto,4/3/2017,13:15,C10A,61,2,3.28%,0.0697,314.159,0.348732495,5,450.43,895,Skeletonema sp.,Diatom,Skeletonema,sp.,,1,1,9.3,i,BSA.04-01,DK,Moderate sediment. Moderate detritus. Sample contains mucilaginous detritus. Ciliates present.,cylinder + 2 half spheres,99.99,,,,,,,,,,
Phyto,4/3/2017,13:15,C10A,61,2,3.28%,0.0697,314.159,0.348732495,5,450.43,1039,Chlorella vulgaris,Soft Body,Chlorella,vulgaris,,25,25,1.9,i,BSA.04-01,DK,Moderate sediment. Moderate detritus. Sample contains mucilaginous detritus. Ciliates present.,sphere,3.59,,,,,,,,,,
Phyto,4/3/2017,13:15,C10A,61,2,3.28%,0.0697,314.159,0.348732495,5,450.43,1704,Monoraphidium minutum,Soft Body,Monoraphidium,minutum,,3,3,4.6,i,BSA.04-01,DK,Moderate sediment. Moderate detritus. Sample contains mucilaginous detritus. Ciliates present.,2 cones,8.69,,,,,,,,,,
Phyto,4/3/2017,13:15,C10A,61,2,3.28%,0.0697,314.159,0.348732495,5,450.43,1352,Cryptomonas sp.,Soft Body,Cryptomonas,sp.,,2,2,23.1,i,BSA.04-01,DK,Moderate sediment. Moderate detritus. Sample contains mucilaginous detritus. Ciliates present.,prolate spheroid,1490.24,,,,,,,,,,
Phyto,4/3/2017,13:15,C10A,61,2,3.28%,0.0697,314.159,0.348732495,5,450.43,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,4,4,10.2,i,BSA.04-01,DK,Moderate sediment. Moderate detritus. Sample contains mucilaginous detritus. Ciliates present.,cone + half sphere,430.35,,,,,,,,,,
Phyto,4/3/2017,13:15,C10A,61,2,3.28%,0.0697,314.159,0.348732495,5,450.43,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,581,1185,0.65,c,BSA.04-01,DK,Moderate sediment. Moderate detritus. Sample contains mucilaginous detritus. Ciliates present.,sphere,0.27,0.27,0.27,0.27,0.27,0.07,0.07,0.07,0.07,0.07,
Phyto,4/3/2017,13:15,C10A,61,2,3.28%,0.0697,314.159,0.348732495,5,450.43,1526,cf. Synechococcus sp.,Soft Body,Synechococcus,sp.,,69,82,3.7,i,BSA.04-01,DK,Moderate sediment. Moderate detritus. Sample contains mucilaginous detritus. Ciliates present.,sphere,26.52,,,,,,,,,,
Phyto,4/3/2017,13:15,C10A,61,2,3.28%,0.0697,314.159,0.348732495,5,450.43,1611,cf. Gymnodinium sp.,Soft Body,Gymnodinium,sp.,,1,1,33.3,i,BSA.04-01,DK,Obscured by detritus. Moderate sediment. Moderate detritus. Sample contains mucilaginous detritus. Ciliates present.,ellipsoid,9328.51,,,,,,,,,,
