MethodCode,SampleDate,SampleTime,StationCode,Volume Received (mL),Volume Analyzed (mL),Percent of Sample Counted,Field-of-view (mm²),Slide/ Chamber Area (mm²),Area Counted,Number of Fields Counted,Factor,BSA_TIN,Taxon,Diatom/SoftBody,Genus,Species,Synonym,Unit Abundance,Number of cells per unit,GALD,Colony/Filament/Individual Group Code,BSA#,Taxonomist,Comments,Shape,Biovolume 1,Biovolume 2,Biovolume 3,Biovolume 4,Biovolume 5,Biovolume 6,Biovolume 7,Biovolume 8,Biovolume 9,Biovolume 10
Phyto,8/17/2017,12:50,NZS42,57,0.5,0.88%,0.0697,314.159,0.488225493,7,1286.94,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,437,1175,0.75,c,BSA.08-01,KS,,sphere,0.38,0.38,0.38,0.38,0.38,0.11,0.11,0.11,0.11,0.11
Phyto,8/17/2017,12:50,NZS42,57,0.5,0.88%,0.0697,314.159,0.488225493,7,1286.94,1650,cf. Scrippsiella sp.,Soft Body,Scrippsiella,sp.,,1,1,20.4,i,BSA.08-01,KS,Obscured by detritus.,ellipsoid,2978.94,,,,,,,,,
Phyto,8/16/2017,10:30,D8,64,2,3.15%,0.0697,314.159,0.348732495,5,450.43,319,Entomoneis sp.,Diatom,Entomoneis,sp.,,1,1,29.6,i,BSA.08-02,KS,,elliptic prism,3199.82,,,,,,,,,
Phyto,8/16/2017,10:30,D8,64,2,3.15%,0.0697,314.159,0.348732495,5,450.43,749,cf. Nitzschia sp.,Diatom,Nitzschia,sp.,,1,1,9.3,i,BSA.08-02,KS,,prism on parallelogram,16.79,,,,,,,,,
Phyto,8/16/2017,10:30,D8,64,2,3.15%,0.0697,314.159,0.348732495,5,450.43,976,Synedra cf. ulna,Diatom,Synedra,ulna,,1,1,13,i,BSA.08-02,KS,Fragment.,box,108.64,,,,,,,,,
Phyto,8/16/2017,10:30,D8,64,2,3.15%,0.0697,314.159,0.348732495,5,450.43,1324,cf. Ochromonas sp.,Soft Body,Ochromonas,sp.,,1,1,5.6,i,BSA.08-02,KS,,cone + half sphere,91.95,,,,,,,,,
Phyto,8/16/2017,10:30,D8,64,2,3.15%,0.0697,314.159,0.348732495,5,450.43,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,680,1590,0.75,c,BSA.08-02,KS,,sphere,0.38,0.38,0.38,0.38,0.38,0.11,0.11,0.11,0.11,0.11
Phyto,8/21/2017,13:25,NZ002,62,1,1.61%,0.0697,314.159,0.488225493,7,643.47,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,1,1,10,i,BSA.08-03,KS,High sediment and detritus.,cone + half sphere,405.79,,,,,,,,,
Phyto,8/21/2017,13:25,NZ002,62,1,1.61%,0.0697,314.159,0.488225493,7,643.47,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,421,1686,0.75,c,BSA.08-03,KS,High sediment and detritus.,sphere,0.38,0.38,0.38,0.38,0.38,0.11,0.11,0.11,0.11,0.11
Phyto,8/10/2017,8:00,NZ068,63,2,3.17%,0.0697,314.159,0.348732495,5,450.43,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,5,5,7.4,i,BSA.08-04,DTK,Moderate sediment and low detritus. Broken diatoms observed.,cylinder,159.13,,,,,,,,,
Phyto,8/10/2017,8:00,NZ068,63,2,3.17%,0.0697,314.159,0.348732495,5,450.43,749,cf. Nitzschia sp.,Diatom,Nitzschia,sp.,,1,1,9.3,i,BSA.08-04,DTK,Moderate sediment and low detritus. Broken diatoms observed.,prism on parallelogram,24.74,,,,,,,,,
Phyto,8/10/2017,8:00,NZ068,63,2,3.17%,0.0697,314.159,0.348732495,5,450.43,866,Pseudostaurosira brevistriata,Diatom,Pseudostaurosira,brevistriata,,2,2,11.1,c,BSA.08-04,DTK,Moderate sediment and low detritus. Broken diatoms observed.,box,148.38,,,,,,,,,
Phyto,8/10/2017,8:00,NZ068,63,2,3.17%,0.0697,314.159,0.348732495,5,450.43,1039,Chlorella vulgaris,Soft Body,Chlorella,vulgaris,,26,26,2.8,i,BSA.08-04,DTK,Moderate sediment and low detritus. Broken diatoms observed.,sphere,11.49,,,,,,,,,
Phyto,8/10/2017,8:00,NZ068,63,2,3.17%,0.0697,314.159,0.348732495,5,450.43,1134,Monoraphidium contortum,Soft Body,Monoraphidium,contortum,,1,1,14.8,i,BSA.08-04,DTK,Moderate sediment and low detritus. Broken diatoms observed.,2 cones,27.97,,,,,,,,,
Phyto,8/10/2017,8:00,NZ068,63,2,3.17%,0.0697,314.159,0.348732495,5,450.43,1364,cf. Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,5,5,8.3,i,BSA.08-04,DTK,Moderate sediment and low detritus. Broken diatoms observed.,cone + half sphere,216.42,,,,,,,,,
Phyto,8/10/2017,8:00,NZ068,63,2,3.17%,0.0697,314.159,0.348732495,5,450.43,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,389,782,0.65,c,BSA.08-04,DTK,Moderate sediment and low detritus. Broken diatoms observed.,sphere,0.27,0.27,0.27,0.27,0.27,0.07,0.07,0.07,0.07,0.07
Phyto,8/14/2017,11:15,D28A,62,2,3.23%,0.0697,314.159,0.418478994,6,375.36,95,Aulacoseira sp. ,Diatom,Aulacoseira,sp.,,1,1,8.3,i,BSA.08-05,DTK,Fragment. Low sediment and detritus.,cylinder,204.43,,,,,,,,,
Phyto,8/14/2017,11:15,D28A,62,2,3.23%,0.0697,314.159,0.418478994,6,375.36,190,cf. Cyclotella sp.,Diatom,Cyclotella,sp.,,1,1,7.4,i,BSA.08-05,DTK,Low sediment and detritus.,cylinder,197.84,,,,,,,,,
Phyto,8/14/2017,11:15,D28A,62,2,3.23%,0.0697,314.159,0.418478994,6,375.36,1039,Chlorella vulgaris,Soft Body,Chlorella,vulgaris,,52,52,2.8,i,BSA.08-05,DTK,Low sediment and detritus.,sphere,11.49,,,,,,,,,
Phyto,8/14/2017,11:15,D28A,62,2,3.23%,0.0697,314.159,0.418478994,6,375.36,1761,Drepanochloris nannoselene,Soft Body,Drepanochloris,nannoselene,,13,13,2.8,i,BSA.08-05,DTK,Low sediment and detritus.,cylinder + 2 cones,2.07,,,,,,,,,
Phyto,8/14/2017,11:15,D28A,62,2,3.23%,0.0697,314.159,0.418478994,6,375.36,1324,cf. Ochromonas sp.,Soft Body,Ochromonas,sp.,,4,4,5.6,i,BSA.08-05,DTK,Low sediment and detritus.,cone + half sphere,83.74,,,,,,,,,
Phyto,8/14/2017,11:15,D28A,62,2,3.23%,0.0697,314.159,0.418478994,6,375.36,1733,cf. Plagioselmis prolonga,Soft Body,Plagioselmis,prolonga,,4,4,6.4,i,BSA.08-05,DTK,Low sediment and detritus.,cone + half sphere,108.31,,,,,,,,,
Phyto,8/14/2017,11:15,D28A,62,2,3.23%,0.0697,314.159,0.418478994,6,375.36,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,335,688,0.65,c,BSA.08-05,DTK,Low sediment and detritus.,sphere,0.27,0.27,0.27,0.27,0.27,0.07,0.07,0.07,0.07,0.07
Phyto,8/15/2017,9:25,D26,64,2,3.13%,0.0697,314.159,0.348732495,5,450.43,95,Aulacoseira sp. ,Diatom,Aulacoseira,sp.,,2,2,5.6,i,BSA.08-06,DTK,Fragment. Moderate sediment and low detritus.,cylinder,60.21,,,,,,,,,
