MethodCode,SampleDate,SampleTime,StationCode,Volume Received (mL),Volume Analyzed (mL),Percent of Sample Counted,Field-of-view (mm²),Slide/ Chamber Area (mm²),Area Counted,Number of Fields Counted,Factor,BSA_TIN,Taxon,Diatom/SoftBody,Genus,Species,Synonym,Unit Abundance,Number of cells per unit,GALD 1,Colony/Filament/Individual Group Code,BSA#,Taxonomist,Comments,Shape,Biovolume 1,Biovolume 2,Biovolume 3,Biovolume 4,Biovolume 5,Biovolume 6,Biovolume 7,Biovolume 8,Biovolume 9,Biovolume 10
Phyto,8/13/2021,10:10,D16,58,4,6.90%,0.0683,314.159,0.6147,9,127.77,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,2,2,10.1,i,BSA.08-01,AB,Low sediment and detritus.,cylinder,354.71,,,,,,,,,
Phyto,8/13/2021,10:10,D16,58,4,6.90%,0.0683,314.159,0.6147,9,127.77,1761,Drepanochloris nannoselene,Soft Body,Drepanochloris,nannoselene,,3,3,4.2,i,BSA.08-01,AB,Low sediment and detritus.,cylinder + 2 cones,13.75,,,,,,,,,
Phyto,8/13/2021,10:10,D16,58,4,6.90%,0.0683,314.159,0.6147,9,127.77,1733,Plagioselmis prolonga,Soft Body,Plagioselmis,prolonga,,3,3,7.4,i,BSA.08-01,AB,Low sediment and detritus.,cone + half sphere,137.26,,,,,,,,,
Phyto,8/13/2021,10:10,D16,58,4,6.90%,0.0683,314.159,0.6147,9,127.77,1393,Aphanizomenon sp.,Soft Body,Aphanizomenon,sp.,,1,46,5.6,f,BSA.08-01,AB,Low sediment and detritus.,cylinder,60.21,,,,,,,,,
Phyto,8/13/2021,10:10,D16,58,4,6.90%,0.0683,314.159,0.6147,9,127.77,1766,Dolichospermum sp.,Soft Body,Dolichospermum,sp.,,8,10,7.4,f,BSA.08-01,AB,Low sediment and detritus.,sphere,148.25,,,,,,,,,
Phyto,8/13/2021,10:10,D16,58,4,6.90%,0.0683,314.159,0.6147,9,127.77,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,341,683,0.8,c,BSA.08-01,AB,Low sediment and detritus.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,8/13/2021,10:10,D16,58,4,6.90%,0.0683,314.159,0.6147,9,127.77,1477,Microcystis sp.,Soft Body,Microcystis,sp.,,53,64,5.6,c,BSA.08-01,AB,Low sediment and detritus.,sphere,50.96,,,,,,,,,
Phyto,8/13/2021,10:10,D16,58,4,6.90%,0.0683,314.159,0.6147,9,127.77,2064,Pseudanabaena mucicola,Soft Body,Pseudanabaena,mucicola,,2,6,2.2,f,BSA.08-01,AB,Low sediment and detritus.,cylinder,6.24,,,,,,,,,
Phyto,8/13/2021,12:15,D28A,58,4,6.90%,0.0683,314.159,0.6147,9,127.77,145,Cocconeis placentula,Diatom,Cocconeis,placentula,,1,1,16.7,i,BSA.08-02,AB,Poorly preserved. Low sediment and moderate detritus.,elliptic prism,682.04,,,,,,,,,
Phyto,8/13/2021,12:15,D28A,58,4,6.90%,0.0683,314.159,0.6147,9,127.77,749,Nitzschia sp.,Diatom,Nitzschia,sp.,,2,2,13,i,BSA.08-02,AB,Poorly preserved. Low sediment and moderate detritus.,prism on parallelogram,24.57,,,,,,,,,
Phyto,8/13/2021,12:15,D28A,58,4,6.90%,0.0683,314.159,0.6147,9,127.77,1761,Drepanochloris nannoselene,Soft Body,Drepanochloris,nannoselene,,10,10,4.2,i,BSA.08-02,AB,Poorly preserved. Low sediment and moderate detritus.,cylinder + 2 cones,11.71,,,,,,,,,
Phyto,8/13/2021,12:15,D28A,58,4,6.90%,0.0683,314.159,0.6147,9,127.77,1134,Monoraphidium contortum,Soft Body,Monoraphidium,contortum,,3,3,13,i,BSA.08-02,AB,Poorly preserved. Low sediment and moderate detritus.,2 cones,12.72,,,,,,,,,
Phyto,8/13/2021,12:15,D28A,58,4,6.90%,0.0683,314.159,0.6147,9,127.77,1248,Sphaerocystis sp.,Soft Body,Sphaerocystis,sp.,,2,12,5,c,BSA.08-02,AB,Poorly preserved. Low sediment and moderate detritus.,sphere,41.63,,,,,,,,,
Phyto,8/13/2021,12:15,D28A,58,4,6.90%,0.0683,314.159,0.6147,9,127.77,1806,Chrysochromulina sp.,Soft Body,Chrysochromulina,sp.,,2,2,4.5,i,BSA.08-02,AB,Poorly preserved. Low sediment and moderate detritus.,prolate spheroid,30.11,,,,,,,,,
Phyto,8/13/2021,12:15,D28A,58,4,6.90%,0.0683,314.159,0.6147,9,127.77,1733,Plagioselmis prolonga,Soft Body,Plagioselmis,prolonga,,11,11,9.3,i,BSA.08-02,AB,Poorly preserved. Low sediment and moderate detritus.,cone + half sphere,199.39,,,,,,,,,
Phyto,8/13/2021,12:15,D28A,58,4,6.90%,0.0683,314.159,0.6147,9,127.77,1393,Aphanizomenon sp.,Soft Body,Aphanizomenon,sp.,,1,15,5.6,f,BSA.08-02,AB,Poorly preserved. Low sediment and moderate detritus.,cylinder,60.21,,,,,,,,,
