MethodCode,SampleDate,SampleTime,StationCode,Volume Received (mL),Volume Analyzed (mL),Percent of Sample Counted,Field-of-view (mm²),Slide/ Chamber Area (mm²),Area Counted,Number of Fields Counted,Factor,BSA_TIN,Taxon,Diatom/SoftBody,Genus,Species,Synonym,Unit Abundance,Number of cells per unit,GALD,Colony/Filament/Individual Group Code,BSA#,Taxonomist,Comments,Shape,Biovolume 1,Biovolume 2,Biovolume 3,Biovolume 4,Biovolume 5,Biovolume 6,Biovolume 7,Biovolume 8,Biovolume 9,Biovolume 10
Phyto,2/1/2016,14:25,C10A,64,10,15.63%,0.0697,314.159,0.348732495,5,90.09,1839,cf. Adlafia minuscula var. muralis,Diatom,Adlafia,minuscula var. muralis,,1,1,12,i,BSA.02-01,DK,Moderate sediment and detritus. ,elliptic prism,173.42,,,,,,,,,
Phyto,2/1/2016,14:25,C10A,64,10,15.63%,0.0697,314.159,0.348732495,5,90.09,145,Cocconeis placentula,Diatom,Cocconeis,placentula,,1,1,18.5,i,BSA.02-01,DK,Moderate sediment and detritus. ,elliptic prism,322.56,,,,,,,,,
Phyto,2/1/2016,14:25,C10A,64,10,15.63%,0.0697,314.159,0.348732495,5,90.09,147,Cocconeis sp.,Diatom,Cocconeis,sp.,,1,1,13,i,BSA.02-01,DK,Fragment. Moderate sediment and detritus. ,elliptic prism,189.91,,,,,,,,,
Phyto,2/1/2016,14:25,C10A,64,10,15.63%,0.0697,314.159,0.348732495,5,90.09,161,Craticula sp.,Diatom,Craticula,sp.,,3,3,40.7,i,BSA.02-01,DK,Obscured by detritus. Moderate sediment and detritus. ,elliptic prism,2080.97,,,,,,,,,
Phyto,2/1/2016,14:25,C10A,64,10,15.63%,0.0697,314.159,0.348732495,5,90.09,161,Craticula sp.,Diatom,Craticula,sp.,,3,3,16.7,i,BSA.02-01,DK,Girdle view. Moderate sediment and detritus. ,elliptic prism,362.01,,,,,,,,,
Phyto,2/1/2016,14:25,C10A,64,10,15.63%,0.0697,314.159,0.348732495,5,90.09,190,Cyclotella spp.,Diatom,Cyclotella,spp.,,14,14,10.2,i,BSA.02-01,DK,Girdle view. Moderate sediment and detritus. ,cylinder,776.27,,,,,,,,,
Phyto,2/1/2016,14:25,C10A,64,10,15.63%,0.0697,314.159,0.348732495,5,90.09,369,cf. Fallacia pygmaea,Diatom,Fallacia,pygmaea,,1,1,24.1,i,BSA.02-01,DK,Moderate sediment and detritus. ,elliptic prism,700.34,,,,,,,,,
Phyto,2/1/2016,14:25,C10A,64,10,15.63%,0.0697,314.159,0.348732495,5,90.09,496,Hippodonta cf. capitata,Diatom,Hippodonta,capitata,,2,2,24.1,i,BSA.02-01,DK,Moderate sediment and detritus. ,elliptic prism,174.14,,,,,,,,,
Phyto,2/1/2016,14:25,C10A,64,10,15.63%,0.0697,314.159,0.348732495,5,90.09,730,Nitzschia palea,Diatom,Nitzschia,palea,,5,5,26.8,i,BSA.02-01,DK,Moderate sediment and detritus. ,prism on parallelogram,99.16,,,,,,,,,
Phyto,2/1/2016,14:25,C10A,64,10,15.63%,0.0697,314.159,0.348732495,5,90.09,749,Nitzschia sp.,Diatom,Nitzschia,sp.,,1,1,14.8,i,BSA.02-01,DK,Fragment. Moderate sediment and detritus. ,prism on parallelogram,124.32,,,,,,,,,
Phyto,2/1/2016,14:25,C10A,64,10,15.63%,0.0697,314.159,0.348732495,5,90.09,890,Sellaphora pupula,Diatom,Sellaphora,pupula,,1,1,14.8,i,BSA.02-01,DK,Moderate sediment and detritus. ,box,248.64,,,,,,,,,
Phyto,2/1/2016,14:25,C10A,64,10,15.63%,0.0697,314.159,0.348732495,5,90.09,915,Staurosira construens var. venter,Diatom,Staurosira,construens var. venter,,18,18,7.4,c,BSA.02-01,DK,Moderate sediment and detritus. ,elliptic prism,162.73,,,,,,,,,
Phyto,2/1/2016,14:25,C10A,64,10,15.63%,0.0697,314.159,0.348732495,5,90.09,1007,Ulnaria cf. ulna,Diatom,Ulnaria,ulna,,4,4,14.8,i,BSA.02-01,DK,Fragment. Moderate sediment and detritus. ,elliptic prism,302.22,,,,,,,,,
Phyto,2/1/2016,14:25,C10A,64,10,15.63%,0.0697,314.159,0.348732495,5,90.09,1840,cf. Coenochloris fottii,Soft Body,Coenochloris,fottii,,1,16,1.9,c,BSA.02-01,DK,Moderate sediment and detritus. ,sphere,3.59,,,,,,,,,
Phyto,2/1/2016,14:25,C10A,64,10,15.63%,0.0697,314.159,0.348732495,5,90.09,1132,Monoraphidium arcuatum,Soft Body,Monoraphidium,arcuatum,,1,1,25.9,i,BSA.02-01,DK,Moderate sediment and detritus. ,2 cones,48.96,,,,,,,,,
Phyto,2/1/2016,14:25,C10A,64,10,15.63%,0.0697,314.159,0.348732495,5,90.09,1215,Scenedesmus communis,Soft Body,Scenedesmus,communis,,1,3,11.1,c,BSA.02-01,DK,Moderate sediment and detritus. ,prolate spheroid,79.57,,,,,,,,,
Phyto,2/1/2016,14:25,C10A,64,10,15.63%,0.0697,314.159,0.348732495,5,90.09,1269,Tetraedron caudatum,Soft Body,Tetraedron,caudatum,,1,1,9.3,i,BSA.02-01,DK,Moderate sediment and detritus. ,box,463.14,,,,,,,,,
Phyto,2/1/2016,14:25,C10A,64,10,15.63%,0.0697,314.159,0.348732495,5,90.09,1305,Chrysococcus sp.,Soft Body,Chrysococcus,sp.,,4,4,6.5,i,BSA.02-01,DK,Moderate sediment and detritus. ,prolate spheroid,143.79,,,,,,,,,
Phyto,2/1/2016,14:25,C10A,64,10,15.63%,0.0697,314.159,0.348732495,5,90.09,1349,Cryptomonas ovata,Soft Body,Cryptomonas,ovata,,1,1,20.4,i,BSA.02-01,DK,Moderate sediment and detritus. ,prolate spheroid,1111.29,,,,,,,,,
Phyto,2/1/2016,14:25,C10A,64,10,15.63%,0.0697,314.159,0.348732495,5,90.09,1365,Rhodomonas lacustris,Soft Body,Rhodomonas,lacustris,,2,2,10.2,i,BSA.02-01,DK,Moderate sediment and detritus. ,cone + half sphere,479.38,,,,,,,,,
Phyto,2/1/2016,14:25,C10A,64,10,15.63%,0.0697,314.159,0.348732495,5,90.09,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,306,663,0.65,c,BSA.02-01,DK,Moderate sediment and detritus. ,sphere,0.07,0.27,0.07,0.11,0.07,0.11,0.27,0.18,0.27,0.18
Phyto,2/1/2016,14:25,C10A,64,10,15.63%,0.0697,314.159,0.348732495,5,90.09,1508,cf. Pseudanabaena sp.,Soft Body,Pseudanabaena,sp.,,3,26,1.9,f,BSA.02-01,DK,Moderate sediment and detritus. ,cylinder,5.39,,,,,,,,,
Phyto,2/1/2016,14:25,C10A,64,10,15.63%,0.0697,314.159,0.348732495,5,90.09,1678,cf. Synechococcus salinarum,Soft Body,Synechococcus,salinarum,,51,55,3.7,c,BSA.02-01,DK,Moderate sediment and detritus. ,sphere,26.52,,,,,,,,,
Phyto,2/1/2016,10:57,D19,65,2,3.08%,0.0697,314.159,0.348732495,5,450.43,91,Aulacoseira granulata,Diatom,Aulacoseira,granulata,,3,3,11.1,i,BSA.02-02,DK,Fragment. Moderate sediment. Light broken diatoms.,cylinder,273.39,,,,,,,,,
Phyto,2/1/2016,10:57,D19,65,2,3.08%,0.0697,314.159,0.348732495,5,450.43,1707,Navicula cf. antonii,Diatom,Navicula,antonii,,1,1,15.7,i,BSA.02-02,DK,Moderate sediment. Light broken diatoms.,elliptic prism,207.16,,,,,,,,,
Phyto,2/1/2016,10:57,D19,65,2,3.08%,0.0697,314.159,0.348732495,5,450.43,837,Planothidium frequentissimum,Diatom,Planothidium,frequentissimum,,1,1,10.2,i,BSA.02-02,DK,Moderate sediment. Light broken diatoms.,elliptic prism,134.59,,,,,,,,,
Phyto,2/1/2016,10:57,D19,65,2,3.08%,0.0697,314.159,0.348732495,5,450.43,1365,Rhodomonas cf. lacustris,Soft Body,Rhodomonas,lacustris,,1,1,9.3,i,BSA.02-02,DK,Moderate sediment. Light broken diatoms.,cone + half sphere,357.76,,,,,,,,,
Phyto,2/1/2016,10:57,D19,65,2,3.08%,0.0697,314.159,0.348732495,5,450.43,1733,cf. Plagioselmis prolonga,Soft Body,Plagioselmis,prolonga,,2,2,7.4,i,BSA.02-02,DK,Moderate sediment. Light broken diatoms.,cone + half sphere,159.13,,,,,,,,,
Phyto,2/1/2016,10:57,D19,65,2,3.08%,0.0697,314.159,0.348732495,5,450.43,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,432,953,0.65,c,BSA.02-02,DK,Moderate sediment. Light broken diatoms.,sphere,0.07,0.27,0.11,0.18,0.27,0.07,0.18,0.27,0.07,0.11
Phyto,2/1/2016,10:57,D19,65,2,3.08%,0.0697,314.159,0.348732495,5,450.43,1678,cf. Synechococcus salinarum,Soft Body,Synechococcus,salinarum,,110,134,2.8,c,BSA.02-02,DK,Moderate sediment. Light broken diatoms.,sphere,11.49,,,,,,,,,
Phyto,2/2/2016,11:05,D26,64,3,4.69%,0.0697,314.159,0.348732495,5,300.29,30,cf. Achnanthes sp.,Diatom,Achnanthes,sp.,,2,2,14.8,i,BSA.02-03,DK,Girdle view. Moderate sediment and low detritus. ,elliptic prism,215.04,,,,,,,,,
Phyto,2/2/2016,11:05,D26,64,3,4.69%,0.0697,314.159,0.348732495,5,300.29,91,Aulacoseira granulata,Diatom,Aulacoseira,granulata,,3,3,11.1,i,BSA.02-03,DK,Fragment. Moderate sediment and low detritus. ,cylinder,273.39,,,,,,,,,
Phyto,2/2/2016,11:05,D26,64,3,4.69%,0.0697,314.159,0.348732495,5,300.29,1007,Ulnaria ulna,Diatom,Ulnaria,ulna,,1,1,92.6,i,BSA.02-03,DK,Fragment. Moderate sediment and low detritus. ,elliptic prism,4734.58,,,,,,,,,
Phyto,2/2/2016,11:05,D26,64,3,4.69%,0.0697,314.159,0.348732495,5,300.29,1324,cf. Ochromonas sp.,Soft Body,Ochromonas,sp.,,2,2,7.4,i,BSA.02-03,DK,Moderate sediment and low detritus. ,cone + half sphere,212.17,,,,,,,,,
Phyto,2/2/2016,11:05,D26,64,3,4.69%,0.0697,314.159,0.348732495,5,300.29,1365,Rhodomonas lacustris,Soft Body,Rhodomonas,lacustris,,2,2,13,i,BSA.02-03,DK,Moderate sediment and low detritus. ,cone + half sphere,822.94,,,,,,,,,
Phyto,2/2/2016,11:05,D26,64,3,4.69%,0.0697,314.159,0.348732495,5,300.29,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,396,865,0.64,c,BSA.02-03,DK,Moderate sediment and low detritus. ,sphere,0.27,0.07,0.18,0.07,0.07,0.11,0.11,0.27,0.11,0.27
Phyto,2/2/2016,11:05,D26,64,3,4.69%,0.0697,314.159,0.348732495,5,300.29,1678,cf. Synechococcus salinarum,Soft Body,Synechococcus,salinarum,,63,68,5.6,c,BSA.02-03,DK,Moderate sediment and low detritus. ,sphere,91.95,,,,,,,,,
Phyto,2/1/2016,10:55,C3A,63,2,3.17%,0.0697,314.159,0.348732495,5,450.43,1839,cf. Adlafia minuscula var. muralis,Diatom,Adlafia,minuscula var. muralis,,1,1,14.8,i,BSA.02-04,DK,Moderate sediment and low detritus. ,elliptic prism,195.28,,,,,,,,,
Phyto,2/1/2016,10:55,C3A,63,2,3.17%,0.0697,314.159,0.348732495,5,450.43,145,Cocconeis placentula,Diatom,Cocconeis,placentula,,1,1,18.5,i,BSA.02-04,DK,Moderate sediment and low detritus. ,elliptic prism,377.78,,,,,,,,,
Phyto,2/1/2016,10:55,C3A,63,2,3.17%,0.0697,314.159,0.348732495,5,450.43,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,1,1,3.7,i,BSA.02-04,DK,Moderate sediment and low detritus. ,cylinder,11.62,,,,,,,,,
Phyto,2/1/2016,10:55,C3A,63,2,3.17%,0.0697,314.159,0.348732495,5,450.43,272,Diatoma moniliformis,Diatom,Diatoma,moniliformis,,1,1,20.4,i,BSA.02-04,DK,Moderate sediment and low detritus. ,elliptic prism,269.17,,,,,,,,,
Phyto,2/1/2016,10:55,C3A,63,2,3.17%,0.0697,314.159,0.348732495,5,450.43,1782,Halamphora sp.,Diatom,Halamphora,sp.,,1,1,37.9,i,BSA.02-04,DK,Fragment. Moderate sediment and low detritus. ,cymbelloid,212.28,,,,,,,,,
Phyto,2/1/2016,10:55,C3A,63,2,3.17%,0.0697,314.159,0.348732495,5,450.43,537,Melosira lineata,Diatom,Melosira,lineata,,1,1,31.5,i,BSA.02-04,DK,Moderate sediment and low detritus. ,cylinder,8467.27,,,,,,,,,
Phyto,2/1/2016,10:55,C3A,63,2,3.17%,0.0697,314.159,0.348732495,5,450.43,631,Navicula sp.,Diatom,Navicula,sp.,,1,1,22.2,i,BSA.02-04,DK,Girdle view. Moderate sediment and low detritus. ,elliptic prism,322.56,,,,,,,,,
Phyto,2/1/2016,10:55,C3A,63,2,3.17%,0.0697,314.159,0.348732495,5,450.43,730,Nitzschia palea,Diatom,Nitzschia,palea,,2,2,11.1,i,BSA.02-04,DK,Fragment. Moderate sediment and low detritus. ,prism on parallelogram,41.07,,,,,,,,,
Phyto,2/1/2016,10:55,C3A,63,2,3.17%,0.0697,314.159,0.348732495,5,450.43,749,Nitzschia sp.,Diatom,Nitzschia,sp.,,2,2,25.9,i,BSA.02-04,DK,Girdle view. Moderate sediment and low detritus. ,prism on parallelogram,263.53,,,,,,,,,
Phyto,2/1/2016,10:55,C3A,63,2,3.17%,0.0697,314.159,0.348732495,5,450.43,1007,Ulnaria ulna,Diatom,Ulnaria,ulna,,2,2,59.3,i,BSA.02-04,DK,Fragment. Moderate sediment and low detritus. ,elliptic prism,2319.39,,,,,,,,,
Phyto,2/1/2016,10:55,C3A,63,2,3.17%,0.0697,314.159,0.348732495,5,450.43,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,310,657,0.65,c,BSA.02-04,DK,Moderate sediment and low detritus. ,sphere,0.27,0.18,0.07,0.27,0.27,0.07,0.11,0.11,0.18,0.07
Phyto,2/1/2016,10:55,C3A,63,2,3.17%,0.0697,314.159,0.348732495,5,450.43,1500,cf. Planktolyngbya limnetica,Soft Body,Planktolyngbya,limnetica,,1,11,3.7,f,BSA.02-04,DK,Moderate sediment and low detritus. ,cylinder,2.35,,,,,,,,,
Phyto,2/1/2016,10:55,C3A,63,2,3.17%,0.0697,314.159,0.348732495,5,450.43,1678,cf. Synechococcus salinarum,Soft Body,Synechococcus,salinarum,,105,133,2.8,c,BSA.02-04,DK,Moderate sediment and low detritus. ,sphere,11.49,,,,,,,,,
Phyto,2/1/2016,11:56,D28A,62,2,3.23%,0.0697,314.159,0.348732495,5,450.43,74,Amphora sp.,Diatom,Amphora,sp.,,2,2,22.2,i,BSA.02-05,DK,High sediment and low detritus.,cymbelloid,68.10,,,,,,,,,
Phyto,2/1/2016,11:56,D28A,62,2,3.23%,0.0697,314.159,0.348732495,5,450.43,91,Aulacoseira granulata,Diatom,Aulacoseira,granulata,,4,4,16.7,i,BSA.02-05,DK,Fragment. High sediment and low detritus.,cylinder,718.24,,,,,,,,,
Phyto,2/1/2016,11:56,D28A,62,2,3.23%,0.0697,314.159,0.348732495,5,450.43,91,Aulacoseira granulata,Diatom,Aulacoseira,granulata,,3,3,36.1,c,BSA.02-05,DK,High sediment and low detritus.,cylinder,3493.35,,,,,,,,,
Phyto,2/1/2016,11:56,D28A,62,2,3.23%,0.0697,314.159,0.348732495,5,450.43,145,Cocconeis placentula,Diatom,Cocconeis,placentula,,12,12,23.1,i,BSA.02-05,DK,High sediment and low detritus.,elliptic prism,504.37,,,,,,,,,
Phyto,2/1/2016,11:56,D28A,62,2,3.23%,0.0697,314.159,0.348732495,5,450.43,190,cf. Cyclotella sp.,Diatom,Cyclotella,sp.,,8,8,6.5,i,BSA.02-05,DK,High sediment and low detritus.,cylinder,99.55,,,,,,,,,
Phyto,2/1/2016,11:56,D28A,62,2,3.23%,0.0697,314.159,0.348732495,5,450.43,713,Nitzschia inconspicua,Diatom,Nitzschia,inconspicua,,2,2,11.1,i,BSA.02-05,DK,High sediment and low detritus.,prism on parallelogram,31.08,,,,,,,,,
Phyto,2/1/2016,11:56,D28A,62,2,3.23%,0.0697,314.159,0.348732495,5,450.43,730,Nitzschia palea,Diatom,Nitzschia,palea,,1,1,24.1,i,BSA.02-05,DK,High sediment and low detritus.,prism on parallelogram,89.17,,,,,,,,,
Phyto,2/1/2016,11:56,D28A,62,2,3.23%,0.0697,314.159,0.348732495,5,450.43,1007,Ulnaria cf. ulna,Diatom,Ulnaria,ulna,,4,4,9.3,i,BSA.02-05,DK,Fragment. High sediment and low detritus.,elliptic prism,189.91,,,,,,,,,
