MethodCode,SampleDate,SampleTime,StationCode,Volume Received (mL),Volume Analyzed (mL),Percent of Sample Counted,Field-of-view (mm²),Slide/ Chamber Area (mm²),Area Counted,Number of Fields Counted,Factor,BSA_TIN,Taxon,Diatom/SoftBody,Genus,Species,Synonym,Unit Abundance,Number of cells per unit,GALD,Colony/Filament/Individual Group Code,BSA#,Taxonomist,Comments,Shape,Biovolume 1,Biovolume 2,Biovolume 3,Biovolume 4,Biovolume 5,Biovolume 6,Biovolume 7,Biovolume 8,Biovolume 9,Biovolume 10
Phyto,1/3/2017,13:00,C10A,62,4,6.45%,0.0697,314.159,0.418478994,6,187.68,44,Achnanthidium minutissimum,Diatom,Achnanthidium,minutissimum,,1,1,7.4,i,BSA.01-01,DK,Low detritus.,elliptic prism,80.20,,,,,,,,,
Phyto,1/3/2017,13:00,C10A,62,4,6.45%,0.0697,314.159,0.418478994,6,187.68,653,Navicula rostellata,Diatom,Navicula,rostellata,,1,1,37.9,i,BSA.01-01,DK,Low detritus.,elliptic prism,1937.80,,,,,,,,,
Phyto,1/3/2017,13:00,C10A,62,4,6.45%,0.0697,314.159,0.418478994,6,187.68,1324,cf. Ochromonas sp.,Soft Body,Ochromonas,sp.,,8,8,6.5,i,BSA.01-01,DK,Low detritus.,cone + half sphere,122.78,,,,,,,,,
Phyto,1/3/2017,13:00,C10A,62,4,6.45%,0.0697,314.159,0.418478994,6,187.68,1365,Rhodomonas lacustris,Soft Body,Rhodomonas,lacustris,,1,1,13,i,BSA.01-01,DK,Low detritus.,cone + half sphere,902.58,,,,,,,,,
Phyto,1/3/2017,13:00,C10A,62,4,6.45%,0.0697,314.159,0.418478994,6,187.68,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,402,837,0.65,c,BSA.01-01,DK,Low detritus.,sphere,0.27,0.27,0.27,0.27,0.27,0.07,0.07,0.07,0.07,0.07
Phyto,1/3/2017,13:00,C10A,62,4,6.45%,0.0697,314.159,0.418478994,6,187.68,1420,Chroococcus minimus,Soft Body,Chroococcus,minimus,,2,4,1.9,c,BSA.01-01,DK,Low detritus.,sphere,3.59,,,,,,,,,
Phyto,1/3/2017,13:00,C10A,62,4,6.45%,0.0697,314.159,0.418478994,6,187.68,1500,cf. Planktolyngbya limnetica,Soft Body,Planktolyngbya,limnetica,,2,14,1.9,f,BSA.01-01,DK,Low detritus.,cylinder,1.21,,,,,,,,,
Phyto,1/6/2017,8:00,D16,60,2,3.33%,0.0697,314.159,0.348732495,5,450.43,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,2,2,6.5,i,BSA.01-02,DK,Low detritus. Many broken diatoms.,cylinder,92.91,,,,,,,,,
Phyto,1/6/2017,8:00,D16,60,2,3.33%,0.0697,314.159,0.348732495,5,450.43,749,Nitzschia sp.,Diatom,Nitzschia,sp.,,3,3,13,i,BSA.01-02,DK,Fragment. Low detritus. Many broken diatoms.,prism on parallelogram,110.63,,,,,,,,,
Phyto,1/6/2017,8:00,D16,60,2,3.33%,0.0697,314.159,0.348732495,5,450.43,1357,cf. Hemiselmis sp.,Soft Body,Hemiselmis,sp.,,1,1,5.6,i,BSA.01-02,DK,Low detritus. Many broken diatoms.,prolate spheroid,40.14,,,,,,,,,
Phyto,1/6/2017,8:00,D16,60,2,3.33%,0.0697,314.159,0.348732495,5,450.43,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,554,1162,0.65,c,BSA.01-02,DK,Low detritus. Many broken diatoms.,sphere,0.27,0.27,0.27,0.27,0.27,0.07,0.07,0.07,0.07,0.07
Phyto,1/6/2017,8:00,D16,60,2,3.33%,0.0697,314.159,0.348732495,5,450.43,1420,Chroococcus minimus,Soft Body,Chroococcus,minimus,,2,4,1.9,c,BSA.01-02,DK,Low detritus. Many broken diatoms.,sphere,3.59,,,,,,,,,
Phyto,1/9/2017,11:15,D8,64,0.5,0.78%,0.0697,314.159,0.348732495,5,1801.72,976,Synedra cf. ulna,Diatom,Synedra,ulna,,1,1,5.6,i,BSA.01-03,KS,Fragment.,box,63.33,,,,,,,,,
Phyto,1/9/2017,11:15,D8,64,0.5,0.78%,0.0697,314.159,0.348732495,5,1801.72,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,469,965,0.65,c,BSA.01-03,KS,,sphere,0.27,0.27,0.27,0.27,0.27,0.07,0.07,0.07,0.07,0.07
Phyto,1/9/2017,11:15,D8,64,0.5,0.78%,0.0697,314.159,0.348732495,5,1801.72,1709,cf. Planktolyngbya sp.,Soft Body,Planktolyngbya,sp.,,1,10,1.9,f,BSA.01-03,KS,,cylinder,0.96,,,,,,,,,
Phyto,1/9/2017,13:00,EZ6,65,0.3,0.46%,0.0697,314.159,0.348732495,5,3002.87,713,Nitzschia inconspicua,Diatom,Nitzschia,inconspicua,,1,1,9.3,i,BSA.01-04,KS,,prism on parallelogram,24.74,,,,,,,,,
Phyto,1/9/2017,13:00,EZ6,65,0.3,0.46%,0.0697,314.159,0.348732495,5,3002.87,987,cf. Thalassiosira sp.,Diatom,Thalassiosira,sp.,,1,1,5.6,i,BSA.01-04,KS,,cylinder,91.13,,,,,,,,,
Phyto,1/9/2017,13:00,EZ6,65,0.3,0.46%,0.0697,314.159,0.348732495,5,3002.87,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,777,1831,0.65,c,BSA.01-04,KS,,sphere,0.27,0.27,0.27,0.27,0.27,0.07,0.07,0.07,0.07,0.07
Phyto,1/4/2017,10:45,C3A,62,2,3.23%,0.0697,314.159,0.348732495,5,450.43,749,Nitzschia sp.,Diatom,Nitzschia,sp.,,2,2,10.2,i,BSA.01-05,DK,Fragment. Low detritus.,prism on parallelogram,52.84,,,,,,,,,
Phyto,1/4/2017,10:45,C3A,62,2,3.23%,0.0697,314.159,0.348732495,5,450.43,1039,Chlorella vulgaris,Soft Body,Chlorella,vulgaris,,13,13,2.8,i,BSA.01-05,DK,Low detritus.,sphere,11.49,,,,,,,,,
Phyto,1/4/2017,10:45,C3A,62,2,3.23%,0.0697,314.159,0.348732495,5,450.43,1364,cf. Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,1,1,7.4,i,BSA.01-05,DK,Low detritus.,cone + half sphere,186.37,,,,,,,,,
Phyto,1/4/2017,10:45,C3A,62,2,3.23%,0.0697,314.159,0.348732495,5,450.43,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,824,1723,0.65,c,BSA.01-05,DK,Low detritus.,sphere,0.27,0.27,0.27,0.27,0.27,0.07,0.07,0.07,0.07,0.07
Phyto,1/4/2017,10:45,C3A,62,2,3.23%,0.0697,314.159,0.348732495,5,450.43,1759,cf. Glaucospira sp.,Soft Body,Glaucospira,sp.,,1,9,0.9,f,BSA.01-05,DK,Low detritus.,cylinder,0.18,,,,,,,,,
Phyto,1/4/2017,10:45,C3A,62,2,3.23%,0.0697,314.159,0.348732495,5,450.43,1500,cf. Planktolyngbya limnetica,Soft Body,Planktolyngbya,limnetica,,3,37,1.9,f,BSA.01-05,DK,Low detritus.,cylinder,1.21,,,,,,,,,
Phyto,1/9/2017,13:30,D22,65,0.5,0.77%,0.0683,314.159,0.3415,5,1839.88,749,Nitzschia sp.,Diatom,Nitzschia,sp.,,1,1,29.6,i,BSA.01-06,CT,Girdle view.,prism on parallelogram,306.66,,,,,,,,,
Phyto,1/9/2017,13:30,D22,65,0.5,0.77%,0.0683,314.159,0.3415,5,1839.88,749,cf. Nitzschia sp.,Diatom,Nitzschia,sp.,,1,1,9.3,i,BSA.01-06,CT,Girdle view.,prism on parallelogram,48.17,,,,,,,,,
Phyto,1/9/2017,13:30,D22,65,0.5,0.77%,0.0683,314.159,0.3415,5,1839.88,1039,Chlorella vulgaris,Soft Body,Chlorella,vulgaris,,1,1,2.8,i,BSA.01-06,CT,,sphere,11.49,,,,,,,,,
