MethodCode,SampleDate,SampleTime,StationCode,Volume Received (mL),Volume Analyzed (mL),Percent of Sample Counted,Field-of-view (mm²),Slide/ Chamber Area (mm²),Area Counted,Number of Fields Counted,Factor,BSA_TIN,Taxon,Diatom/SoftBody,Genus,Species,Synonym,Unit Abundance,Number of cells per unit,GALD 1,Colony/Filament/Individual Group Code,BSA#,Taxonomist,Comments,Shape,Biovolume 1,Biovolume 2,Biovolume 3,Biovolume 4,Biovolume 5,Biovolume 6,Biovolume 7,Biovolume 8,Biovolume 9,Biovolume 10
Phyto,1/19/2019,10:00,C9,59.0,3,5.08%,0.0697,314.159,0.3485,5,300.49,874,Rhoicosphenia abbreviata,Diatom,Rhoicosphenia,abbreviata,,1,1,8,i,BSA.01-01,BB,Moderate sediment. ,gomphonemoid,199.93,,,,,,,,,
Phyto,1/19/2019,10:00,C9,59.0,3,5.08%,0.0697,314.159,0.3485,5,300.49,1037,cf. Chlorella sp.,Soft Body,Chlorella,sp.,,2,2,1.9,i,BSA.01-01,BB,Moderate sediment. ,sphere,3.59,,,,,,,,,
Phyto,1/19/2019,10:00,C9,59.0,3,5.08%,0.0697,314.159,0.3485,5,300.49,1908,Coccomyxa sp.,Soft Body,Coccomyxa,sp.,,1,1,9.3,i,BSA.01-01,BB,Moderate sediment. ,prolate spheroid,17.58,,,,,,,,,
Phyto,1/19/2019,10:00,C9,59.0,3,5.08%,0.0697,314.159,0.3485,5,300.49,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,417,836,0.8,c,BSA.01-01,BB,Moderate sediment. ,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,1/19/2019,10:00,C9,59.0,3,5.08%,0.0697,314.159,0.3485,5,300.49,1477,cf. Microcystis sp.,Soft Body,Microcystis,sp.,,1,1,3.7,i,BSA.01-01,BB,Moderate sediment. ,sphere,26.52,,,,,,,,,
Phyto,1/9/2019,8:15,C3A,64.0,0.5,0.78%,0.0697,314.159,0.4182,6,1502.43,1908,Coccomyxa sp.,Soft Body,Coccomyxa,sp.,,3,3,7.4,i,BSA.01-02,BB,High sediment.,prolate spheroid,13.23,,,,,,,,,
Phyto,1/9/2019,8:15,C3A,64.0,0.5,0.78%,0.0697,314.159,0.4182,6,1502.43,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,432,876,0.8,c,BSA.01-02,BB,High sediment.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,1/9/2019,11:30,C10A,62.0,2,3.23%,0.0697,314.159,0.6273,9,250.41,95,Aulacoseira sp. ,Diatom,Aulacoseira,sp.,,1,3,18.5,c,BSA.01-03,BB,,cylinder,268.66,,,,,,,,,
Phyto,1/9/2019,11:30,C10A,62.0,2,3.23%,0.0697,314.159,0.6273,9,250.41,182,Cyclotella meneghiniana,Diatom,Cyclotella,meneghiniana,,2,2,9.3,i,BSA.01-03,BB,,cylinder,312.47,,,,,,,,,
Phyto,1/9/2019,11:30,C10A,62.0,2,3.23%,0.0697,314.159,0.6273,9,250.41,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,4,4,8,i,BSA.01-03,BB,,cylinder,117.74,,,,,,,,,
Phyto,1/9/2019,11:30,C10A,62.0,2,3.23%,0.0697,314.159,0.6273,9,250.41,586,Navicula gregaria,Diatom,Navicula,gregaria,,3,3,26.6,i,BSA.01-03,BB,,elliptic prism,362.68,,,,,,,,,
Phyto,1/9/2019,11:30,C10A,62.0,2,3.23%,0.0697,314.159,0.6273,9,250.41,595,Navicula lanceolata,Diatom,Navicula,lanceolata,,1,1,28.7,i,BSA.01-03,BB,,elliptic prism,829.51,,,,,,,,,
