MethodCode,SampleDate,SampleTime,StationCode,Volume Received (mL),Volume Analyzed (mL),Percent of Sample Counted,Field-of-view (mm²),Slide/ Chamber Area (mm²),Area Counted,Number of Fields Counted,Factor,BSA_TIN,Taxon,Diatom/SoftBody,Genus,Species,Synonym,Unit Abundance,Number of cells per unit,GALD 1,Colony/Filament/Individual Group Code,BSA#,Taxonomist,Comments,Shape,Biovolume 1,Biovolume 2,Biovolume 3,Biovolume 4,Biovolume 5,Biovolume 6,Biovolume 7,Biovolume 8,Biovolume 9,Biovolume 10
Phyto,7/18/2018,8:25,D22,61.0,2,3.28%,0.0697,314.159,0.348732495,5,450.43,190,cf. Cyclotella sp.,Diatom,Cyclotella,sp.,,2,2,5.6,i,BSA.07-01,KS,,cylinder,91.13,,,,,,,,,
Phyto,7/18/2018,8:25,D22,61.0,2,3.28%,0.0697,314.159,0.348732495,5,450.43,749,Nitzschia sp.,Diatom,Nitzschia,sp.,,3,3,13,i,BSA.07-01,KS,,prism on parallelogram,26.00,,,,,,,,,
Phyto,7/18/2018,8:25,D22,61.0,2,3.28%,0.0697,314.159,0.348732495,5,450.43,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,527,1054,0.8,c,BSA.07-01,KS,,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,7/18/2018,9:15,NZ068,63.5,1,1.57%,0.0697,314.159,1.046197485,15,300.29,147,Cocconeis sp.,Diatom,Cocconeis,sp.,,1,1,14.8,i,BSA.07-02,KS,,elliptic prism,367.55,,,,,,,,,
Phyto,7/18/2018,9:15,NZ068,63.5,1,1.57%,0.0697,314.159,1.046197485,15,300.29,749,Nitzschia spp.,Diatom,Nitzschia,sp.,,2,2,16.7,i,BSA.07-02,KS,,prism on parallelogram,33.40,,,,,,,,,
Phyto,7/18/2018,9:15,NZ068,63.5,1,1.57%,0.0697,314.159,1.046197485,15,300.29,1005,Ulnaria sp.,Diatom,Ulnaria,sp.,,2,2,9.3,i,BSA.07-02,KS,Fragment.,elliptic prism,99.99,,,,,,,,,
Phyto,7/18/2018,9:15,NZ068,63.5,1,1.57%,0.0697,314.159,1.046197485,15,300.29,1037,cf. Chlorella sp.,Soft Body,Chlorella,sp.,,3,3,2,i,BSA.07-02,KS,,sphere,4.19,,,,,,,,,
Phyto,7/18/2018,9:15,NZ068,63.5,1,1.57%,0.0697,314.159,1.046197485,15,300.29,1733,Plagioselmis prolonga,Soft Body,Plagioselmis,prolonga,,1,1,7.4,i,BSA.07-02,KS,,cone + half sphere,159.13,,,,,,,,,
Phyto,7/18/2018,9:15,NZ068,63.5,1,1.57%,0.0697,314.159,1.046197485,15,300.29,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,407,899,0.8,c,BSA.07-02,KS,,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,7/19/2018,10:40,D19,63.0,2,3.17%,0.0697,314.159,0.488225493,7,321.74,1037,cf. Chlorella sp.,Soft Body,Chlorella,sp.,,15,15,2,i,BSA.07-03,KS,,sphere,4.19,,,,,,,,,
Phyto,7/19/2018,10:40,D19,63.0,2,3.17%,0.0697,314.159,0.488225493,7,321.74,1393,cf. Aphanizomenon sp.,Soft Body,Aphanizomenon,sp.,,1,4,5.6,f,BSA.07-03,KS,,cylinder,60.21,,,,,,,,,
Phyto,7/19/2018,10:40,D19,63.0,2,3.17%,0.0697,314.159,0.488225493,7,321.74,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,417,853,0.8,c,BSA.07-03,KS,,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,7/19/2018,10:40,D19,63.0,2,3.17%,0.0697,314.159,0.488225493,7,321.74,1468,Merismopedia sp.,Soft Body,Merismopedia,sp.,,1,4,1,c,BSA.07-03,KS,,cube,1.00,,,,,,,,,
Phyto,7/19/2018,10:40,D19,63.0,2,3.17%,0.0697,314.159,0.488225493,7,321.74,1477,Microcystis sp.,Soft Body,Microcystis,sp.,,5,5,9.3,i,BSA.07-03,KS,,sphere,421.16,,,,,,,,,
Phyto,7/19/2018,9:00,D12,62.5,2,3.20%,0.0697,314.159,0.348732495,5,450.43,190,cf. Cyclotella sp.,Diatom,Cyclotella,sp.,,1,1,6.5,i,BSA.07-04,KS,,cylinder,122.78,,,,,,,,,
Phyto,7/19/2018,9:00,D12,62.5,2,3.20%,0.0697,314.159,0.348732495,5,450.43,1005,Ulnaria sp.,Diatom,Ulnaria,sp.,,1,1,7.4,i,BSA.07-04,KS,Fragment.,elliptic prism,51.61,,,,,,,,,
Phyto,7/19/2018,9:00,D12,62.5,2,3.20%,0.0697,314.159,0.348732495,5,450.43,1037,cf. Chlorella sp.,Soft Body,Chlorella,sp.,,11,11,2,i,BSA.07-04,KS,,sphere,4.19,,,,,,,,,
Phyto,7/19/2018,9:00,D12,62.5,2,3.20%,0.0697,314.159,0.348732495,5,450.43,1761,Drepanochloris nannoselene,Soft Body,Drepanochloris,nannoselene,,1,1,7.4,i,BSA.07-04,KS,,cylinder + 2 cones,26.39,,,,,,,,,
Phyto,7/19/2018,9:00,D12,62.5,2,3.20%,0.0697,314.159,0.348732495,5,450.43,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,389,797,0.8,c,BSA.07-04,KS,,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,7/9/2018,12:10,D16 Twitchell,61.0,2,3.28%,0.0697,314.159,0.418478994,6,375.36,1037,cf. Chlorella sp.,Soft Body,Chlorella,sp.,,6,6,2,i,BSA.07-05,KS,,sphere,4.19,,,,,,,,,
Phyto,7/9/2018,12:10,D16 Twitchell,61.0,2,3.28%,0.0697,314.159,0.418478994,6,375.36,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,1,1,9.3,i,BSA.07-05,KS,,cone + half sphere,314.74,,,,,,,,,
Phyto,7/9/2018,12:10,D16 Twitchell,61.0,2,3.28%,0.0697,314.159,0.418478994,6,375.36,1393,cf. Aphanizomenon sp.,Soft Body,Aphanizomenon,sp.,,2,42,3.7,f,BSA.07-05,KS,,cylinder,39.78,,,,,,,,,
Phyto,7/9/2018,12:10,D16 Twitchell,61.0,2,3.28%,0.0697,314.159,0.418478994,6,375.36,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,403,812,0.8,c,BSA.07-05,KS,,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,7/9/2018,12:10,D16 Twitchell,61.0,2,3.28%,0.0697,314.159,0.418478994,6,375.36,1477,cf. Microcystis sp.,Soft Body,Microcystis,sp.,,3,3,4.6,i,BSA.07-05,KS,,sphere,50.96,,,,,,,,,
