MethodCode,SampleDate,SampleTime,StationCode,Volume Received (mL),Volume Analyzed (mL),Percent of Sample Counted,Field-of-view (mm²),Slide/ Chamber Area (mm²),Area Counted,Number of Fields Counted,Factor,BSA_TIN,Taxon,Diatom/SoftBody,Genus,Species,Synonym,Unit Abundance,Number of cells per unit,GALD,Colony/Filament/Individual Group Code,BSA#,Taxonomist,Comments,Shape,Biovolume 1,Biovolume 2,Biovolume 3,Biovolume 4,Biovolume 5,Biovolume 6,Biovolume 7,Biovolume 8,Biovolume 9,Biovolume 10
Phyto,6/21/2017,11:30,D41,61,2,3.28%,0.0697,314.159,0.418478994,6,375.36,44,Achnanthidium minutissimum,Diatom,Achnanthidium,minutissimum,,1,1,14.5,i,BSA.06-01,DTK,Low detritus.,elliptic prism,86.55,,,,,,,,,
Phyto,6/21/2017,11:30,D41,61,2,3.28%,0.0697,314.159,0.418478994,6,375.36,988,Thalassiosira spp.,Diatom,Thalassiosira,spp.,,6,6,16.7,i,BSA.06-01,DTK,Obscured by detritus. Low detritus.,cylinder,1620.89,,,,,,,,,
Phyto,6/21/2017,11:30,D41,61,2,3.28%,0.0697,314.159,0.418478994,6,375.36,1039,Chlorella vulgaris,Soft Body,Chlorella,vulgaris,,13,13,5.6,i,BSA.06-01,DTK,Low detritus.,sphere,91.95,,,,,,,,,
Phyto,6/21/2017,11:30,D41,61,2,3.28%,0.0697,314.159,0.418478994,6,375.36,1761,Drepanochloris nannoselene,Soft Body,Drepanochloris,nannoselene,,12,12,3.7,i,BSA.06-01,DTK,Low detritus.,cylinder + 2 cones,1.52,,,,,,,,,
Phyto,6/21/2017,11:30,D41,61,2,3.28%,0.0697,314.159,0.418478994,6,375.36,1364,cf. Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,4,4,8.3,i,BSA.06-01,DTK,Low detritus.,cone + half sphere,252.49,,,,,,,,,
Phyto,6/21/2017,11:30,D41,61,2,3.28%,0.0697,314.159,0.418478994,6,375.36,1733,cf. Plagioselmis prolonga,Soft Body,Plagioselmis,prolonga,,3,3,5.6,i,BSA.06-01,DTK,Low detritus.,cone + half sphere,74.71,,,,,,,,,
Phyto,6/21/2017,11:30,D41,61,2,3.28%,0.0697,314.159,0.418478994,6,375.36,1657,Teleaulax sp.,Soft Body,Teleaulax,sp.,,2,2,14.8,i,BSA.06-01,DTK,Low detritus.,cone + half sphere,1060.87,,,,,,,,,
Phyto,6/21/2017,11:30,D41,61,2,3.28%,0.0697,314.159,0.418478994,6,375.36,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,365,742,0.65,c,BSA.06-01,DTK,Low detritus.,sphere,0.27,0.27,0.27,0.27,0.27,0.07,0.07,0.07,0.07,0.07
Phyto,6/21/2017,11:30,D41,61,2,3.28%,0.0697,314.159,0.418478994,6,375.36,1709,Planktolyngbya sp.,Soft Body,Planktolyngbya,sp.,,1,13,1.1,f,BSA.06-01,DTK,Low detritus.,cylinder,0.31,,,,,,,,,
Phyto,6/16/2017,10:40,P8,61,1,1.64%,0.0697,314.159,0.627718491,9,500.48,749,Nitzschia sp.,Diatom,Nitzschia,sp.,,1,1,16.7,i,BSA.06-02,KS,,prism on parallelogram,30.14,,,,,,,,,
