MethodCode,SampleDate,SampleTime,StationCode,Volume Received (mL),Volume Analyzed (mL),Percent of Sample Counted,Field-of-view (mm²),Slide/ Chamber Area (mm²),Area Counted,Number of Fields Counted,Factor,BSA_TIN,Taxon,Diatom/SoftBody,Genus,Species,Synonym,Unit Abundance,Number of cells per unit,GALD 1,Colony/Filament/Individual Group Code,BSA#,Taxonomist,Comments,Shape,Biovolume 1,Biovolume 2,Biovolume 3,Biovolume 4,Biovolume 5,Biovolume 6,Biovolume 7,Biovolume 8,Biovolume 9,Biovolume 10
Phyto,6/10/2019,9:10,D26,58.0,3,5.17%,0.0697,314.159,0.3485,5,300.49,713,Nitzschia inconspicua,Diatom,Nitzschia,inconspicua,,1,1,7.4,i,BSA.06-01,BB,,prism on parallelogram,37.00,,,,,,,,,
Phyto,6/10/2019,9:10,D26,58.0,3,5.17%,0.0697,314.159,0.3485,5,300.49,987,Thalassiosira sp.,Diatom,Thalassiosira,sp.,,1,1,33.3,i,BSA.06-01,BB,,cylinder,12889.61,,,,,,,,,
Phyto,6/10/2019,9:10,D26,58.0,3,5.17%,0.0697,314.159,0.3485,5,300.49,1037,Chlorella sp.,Soft Body,Chlorella,sp.,,8,8,1.9,i,BSA.06-01,BB,,sphere,3.59,,,,,,,,,
Phyto,6/10/2019,9:10,D26,58.0,3,5.17%,0.0697,314.159,0.3485,5,300.49,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,417,848,0.8,c,BSA.06-01,BB,,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,6/11/2019,9:45,EZ6,59.0,0.5,0.85%,0.0697,314.159,0.6273,9,1001.62,895,Skeletonema sp.,Diatom,Skeletonema,sp.,,1,1,7.4,i,BSA.06-02,BB,,cylinder + 2 half spheres,79.57,,,,,,,,,
Phyto,6/11/2019,9:45,EZ6,59.0,0.5,0.85%,0.0697,314.159,0.6273,9,1001.62,1037,Chlorella sp.,Soft Body,Chlorella,sp.,,6,6,1.9,i,BSA.06-02,BB,,sphere,3.59,,,,,,,,,
Phyto,6/11/2019,9:45,EZ6,59.0,0.5,0.85%,0.0697,314.159,0.6273,9,1001.62,1135,Monoraphidium convolutum,Soft Body,Monoraphidium,convolutum,,1,1,11.1,i,BSA.06-02,BB,,2 cones,9.82,,,,,,,,,
Phyto,6/11/2019,9:45,EZ6,59.0,0.5,0.85%,0.0697,314.159,0.6273,9,1001.62,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,428,864,0.8,c,BSA.06-02,BB,,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,6/11/2019,10:25,EZ2,57.0,1,1.75%,0.0697,314.159,0.3485,5,901.46,190,cf. Cyclotella sp.,Diatom,Cyclotella,sp.,,1,1,5.6,i,BSA.06-03,BB,,cylinder,68.96,,,,,,,,,
Phyto,6/11/2019,10:25,EZ2,57.0,1,1.75%,0.0697,314.159,0.3485,5,901.46,1031,cf. Chlamydomonas sp.,Soft Body,Chlamydomonas,sp.,,1,1,5.6,i,BSA.06-03,BB,,sphere,91.95,,,,,,,,,
Phyto,6/11/2019,10:25,EZ2,57.0,1,1.75%,0.0697,314.159,0.3485,5,901.46,1037,Chlorella sp.,Soft Body,Chlorella,sp.,,11,11,1.9,i,BSA.06-03,BB,,sphere,3.59,,,,,,,,,
