MethodCode,SampleDate,SampleTime,StationCode,Volume Received (mL),Volume Analyzed (mL),Percent of Sample Counted,Field-of-view (mm²),Slide/ Chamber Area (mm²),Area Counted,Number of Fields Counted,Factor,BSA_TIN,Taxon,Diatom/SoftBody,Genus,Species,Synonym,Unit Abundance,Number of cells per unit,GALD 1,Colony/Filament/Individual Group Code,BSA#,Taxonomist,Comments,Shape,Biovolume 1,Biovolume 2,Biovolume 3,Biovolume 4,Biovolume 5,Biovolume 6,Biovolume 7,Biovolume 8,Biovolume 9,Biovolume 10
Phyto,3/28/2019,12:30,NZS42,63,0.5,0.79%,0.0697,314.159,0.4879,7,1287.8,1037,cf. Chlorella sp.,Soft Body,Chlorella,sp.,,14,14,1.9,i,BSA.03-01,BB,,sphere,3.59,,,,,,,,,
Phyto,3/28/2019,12:30,NZS42,63,0.5,0.79%,0.0697,314.159,0.4879,7,1287.8,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,389,790,0.8,c,BSA.03-01,BB,,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,3/19/2019,11:30,NZ325,63,0.5,0.79%,0.0697,314.159,1.1849,17,530.27,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,1,1,5.6,i,BSA.03-02,BB,Low sediment and detritus.,cylinder,68.96,,,,,,,,,
Phyto,3/19/2019,11:30,NZ325,63,0.5,0.79%,0.0697,314.159,1.1849,17,530.27,1037,cf. Chlorella sp.,Soft Body,Chlorella,sp.,,16,16,1.9,i,BSA.03-02,BB,Low sediment and detritus.,sphere,3.59,,,,,,,,,
Phyto,3/19/2019,11:30,NZ325,63,0.5,0.79%,0.0697,314.159,1.1849,17,530.27,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,391,796,0.8,c,BSA.03-02,BB,Low sediment and detritus.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,3/18/2019,13:35,NZ032,62,0.5,0.81%,0.0697,314.159,0.3485,5,1802.92,1037,cf. Chlorella sp.,Soft Body,Chlorella,sp.,,10,10,1.9,i,BSA.03-03,BB,,sphere,3.59,,,,,,,,,
Phyto,3/18/2019,13:35,NZ032,62,0.5,0.81%,0.0697,314.159,0.3485,5,1802.92,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,432,878,0.8,c,BSA.03-03,BB,,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,3/19/2019,12:50,NZ004,63,0.5,0.79%,0.0697,314.159,0.5576,8,1126.83,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,1,1,5.6,i,BSA.03-04,BB,Moderate sediment and detritus.,cylinder,73.89,,,,,,,,,
Phyto,3/19/2019,12:50,NZ004,63,0.5,0.79%,0.0697,314.159,0.5576,8,1126.83,684,Nitzschia capitellata,Diatom,Nitzschia,capitellata,,1,1,16.7,i,BSA.03-04,BB,Moderate sediment and detritus.,prism on parallelogram,44.42,,,,,,,,,
Phyto,3/19/2019,12:50,NZ004,63,0.5,0.79%,0.0697,314.159,0.5576,8,1126.83,1037,cf. Chlorella sp.,Soft Body,Chlorella,sp.,,6,6,1.9,i,BSA.03-04,BB,Moderate sediment and detritus.,sphere,3.59,,,,,,,,,
Phyto,3/19/2019,12:50,NZ004,63,0.5,0.79%,0.0697,314.159,0.5576,8,1126.83,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,413,834,0.8,c,BSA.03-04,BB,Moderate sediment and detritus.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,3/19/2019,12:10,NZ002,62,0.5,0.81%,0.0697,314.159,0.9061,13,693.43,749,Nitzschia sp.,Diatom,Nitzschia,sp.,,1,1,18.5,i,BSA.03-05,BB,,prism on parallelogram,54.48,,,,,,,,,
Phyto,3/19/2019,12:10,NZ002,62,0.5,0.81%,0.0697,314.159,0.9061,13,693.43,1037,cf. Chlorella sp.,Soft Body,Chlorella,sp.,,3,3,1.9,i,BSA.03-05,BB,,sphere,3.59,,,,,,,,,
Phyto,3/19/2019,12:10,NZ002,62,0.5,0.81%,0.0697,314.159,0.9061,13,693.43,1037,Chlorella sp.,Soft Body,Chlorella,sp.,,2,2,1.9,i,BSA.03-05,BB,,sphere,3.59,,,,,,,,,
Phyto,3/19/2019,12:10,NZ002,62,0.5,0.81%,0.0697,314.159,0.9061,13,693.43,1134,Monoraphidium contortum,Soft Body,Monoraphidium,contortum,,1,1,13,i,BSA.03-05,BB,,2 cones,11.5,,,,,,,,,
Phyto,3/19/2019,12:10,NZ002,62,0.5,0.81%,0.0697,314.159,0.9061,13,693.43,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,426,858,0.8,c,BSA.03-05,BB,,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,3/15/2019,9:55,EZ6,60,0.5,0.83%,0.0697,314.159,1.394,20,450.73,749,Nitzschia sp.,Diatom,Nitzschia,sp.,,1,1,16.7,i,BSA.03-06,BB,,prism on parallelogram,26.05,,,,,,,,,
Phyto,3/15/2019,9:55,EZ6,60,0.5,0.83%,0.0697,314.159,1.394,20,450.73,866,Pseudostaurosira brevistriata,Diatom,Pseudostaurosira,brevistriata,,1,1,18.5,i,BSA.03-06,BB,,box,698.89,,,,,,,,,
Phyto,3/15/2019,9:55,EZ6,60,0.5,0.83%,0.0697,314.159,1.394,20,450.73,1037,cf. Chlorella sp.,Soft Body,Chlorella,sp.,,8,8,1.9,i,BSA.03-06,BB,,sphere,3.59,,,,,,,,,
