MethodCode,SampleDate,SampleTime,StationCode,Volume Received (mL),Volume Analyzed (mL),Percent of Sample Counted,Field-of-view (mm²),Slide/ Chamber Area (mm²),Area Counted,Number of Fields Counted,Factor,BSA_TIN,Taxon,Diatom/SoftBody,Genus,Species,Synonym,Unit Abundance,Number of cells per unit,GALD,Colony/Filament/Individual Group Code,BSA#,Taxonomist,Comments,Shape,Biovolume 1,Biovolume 2,Biovolume 3,Biovolume 4,Biovolume 5,Biovolume 6,Biovolume 7,Biovolume 8,Biovolume 9,Biovolume 10
Phyto,5/27/15,11:10,C10A,61.5,8,13.01%,0.0697,314.159,0.69746499,10,56.30,74,Amphora sp.,Diatom,Amphora,sp.,,2,2,24,i,BSA.05-01,JW,Low sediment and moderate detritus.,cymbelloid,300.03,,,,,,,,,
Phyto,5/27/15,11:10,C10A,61.5,8,13.01%,0.0697,314.159,0.69746499,10,56.30,99,Bacillaria paxillifera,Diatom,Bacillaria,paxillifera,,1,1,90,i,BSA.05-01,JW,Low sediment and moderate detritus.,box,2016.00,,,,,,,,,
Phyto,5/27/15,11:10,C10A,61.5,8,13.01%,0.0697,314.159,0.69746499,10,56.30,182,Cyclotella meneghiniana,Diatom,Cyclotella,meneghiniana,,5,5,17,i,BSA.05-01,JW,Low sediment and moderate detritus.,cylinder,1815.84,,,,,,,,,
Phyto,5/27/15,11:10,C10A,61.5,8,13.01%,0.0697,314.159,0.69746499,10,56.30,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,6,6,7.5,i,BSA.05-01,JW,Low sediment and moderate detritus.,cylinder,163.46,,,,,,,,,
Phyto,5/27/15,11:10,C10A,61.5,8,13.01%,0.0697,314.159,0.69746499,10,56.30,412,Geissleria decussis,Diatom,Geissleria,decussis,,2,2,24.3,i,BSA.05-01,JW,Low sediment and moderate detritus.,elliptic prism,532.48,,,,,,,,,
Phyto,5/27/15,11:10,C10A,61.5,8,13.01%,0.0697,314.159,0.69746499,10,56.30,586,Navicula gregaria,Diatom,Navicula,gregaria,,2,2,43,i,BSA.05-01,JW,Low sediment and moderate detritus.,elliptic prism,1283.34,,,,,,,,,
Phyto,5/27/15,11:10,C10A,61.5,8,13.01%,0.0697,314.159,0.69746499,10,56.30,631,Navicula sp.,Diatom,Navicula,sp.,,2,2,43,i,BSA.05-01,JW,Low sediment and moderate detritus.,elliptic prism,1256.32,,,,,,,,,
Phyto,5/27/15,11:10,C10A,61.5,8,13.01%,0.0697,314.159,0.69746499,10,56.30,1677,Nitzschia incerta,Diatom,Nitzschia,incerta,,10,10,79,i,BSA.05-01,JW,Low sediment and moderate detritus.,prism on parallelogram,158.00,,,,,,,,,
Phyto,5/27/15,11:10,C10A,61.5,8,13.01%,0.0697,314.159,0.69746499,10,56.30,720,Nitzschia linearis,Diatom,Nitzschia,linearis,,1,1,105,i,BSA.05-01,JW,Low sediment and moderate detritus.,prism on parallelogram,1176.00,,,,,,,,,
Phyto,5/27/15,11:10,C10A,61.5,8,13.01%,0.0697,314.159,0.69746499,10,56.30,866,Pseudostaurosira brevistriata,Diatom,Pseudostaurosira,brevistriata,,4,4,11,i,BSA.05-01,JW,Low sediment and moderate detritus.,box,127.86,,,,,,,,,
Phyto,5/27/15,11:10,C10A,61.5,8,13.01%,0.0697,314.159,0.69746499,10,56.30,890,Sellaphora pupula,Diatom,Sellaphora,pupula,,7,7,26.2,i,BSA.05-01,JW,Low sediment and moderate detritus.,box,982.50,,,,,,,,,
Phyto,5/27/15,11:10,C10A,61.5,8,13.01%,0.0697,314.159,0.69746499,10,56.30,911,Staurosira construens,Diatom,Staurosira,construens,,12,12,13,i,BSA.05-01,JW,Low sediment and moderate detritus.,elliptic prism,287.93,,,,,,,,,
Phyto,5/27/15,11:10,C10A,61.5,8,13.01%,0.0697,314.159,0.69746499,10,56.30,1039,Chlorella vulgaris,Soft Body,Chlorella,vulgaris,,79,79,3.7,i,BSA.05-01,JW,Low sediment and moderate detritus.,sphere,26.52,,,,,,,,,
Phyto,5/27/15,11:10,C10A,61.5,8,13.01%,0.0697,314.159,0.69746499,10,56.30,1119,Lagerheimia genevensis,Soft Body,Lagerheimia,genevensis,,1,1,5.6,i,BSA.05-01,JW,Low sediment and moderate detritus.,ellipsoid,10.85,,,,,,,,,
Phyto,5/27/15,11:10,C10A,61.5,8,13.01%,0.0697,314.159,0.69746499,10,56.30,1132,Monoraphidium arcuatum,Soft Body,Monoraphidium,arcuatum,,4,4,26,i,BSA.05-01,JW,Low sediment and moderate detritus.,2 cones,49.14,,,,,,,,,
Phyto,5/27/15,11:10,C10A,61.5,8,13.01%,0.0697,314.159,0.69746499,10,56.30,1134,Monoraphidium contortum,Soft Body,Monoraphidium,contortum,,1,1,7.5,i,BSA.05-01,JW,Low sediment and moderate detritus.,2 cones,15.71,,,,,,,,,
Phyto,5/27/15,11:10,C10A,61.5,8,13.01%,0.0697,314.159,0.69746499,10,56.30,1135,Monoraphidium convolutum,Soft Body,Monoraphidium,convolutum,,6,6,5.6,i,BSA.05-01,JW,Low sediment and moderate detritus.,2 cones,2.93,,,,,,,,,
Phyto,5/27/15,11:10,C10A,61.5,8,13.01%,0.0697,314.159,0.69746499,10,56.30,1200,Scenedesmus abundans,Soft Body,Scenedesmus,abundans,,2,8,11,c,BSA.05-01,JW,Low sediment and moderate detritus.,prolate spheroid,78.85,,,,,,,,,
Phyto,5/27/15,11:10,C10A,61.5,8,13.01%,0.0697,314.159,0.69746499,10,56.30,1227,Scenedesmus opoliensis,Soft Body,Scenedesmus,opoliensis,,1,4,18.7,c,BSA.05-01,JW,Low sediment and moderate detritus.,prolate spheroid,9.79,,,,,,,,,
Phyto,5/27/15,11:10,C10A,61.5,8,13.01%,0.0697,314.159,0.69746499,10,56.30,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,5,5,6,i,BSA.05-01,JW,Low sediment and moderate detritus.,cone + half sphere,100.85,,,,,,,,,
Phyto,5/27/15,11:10,C10A,61.5,8,13.01%,0.0697,314.159,0.69746499,10,56.30,1365,Rhodomonas lacustris,Soft Body,Rhodomonas,lacustris,,8,8,7,i,BSA.05-01,JW,Low sediment and moderate detritus.,cone + half sphere,161.63,,,,,,,,,
Phyto,5/27/15,11:10,C10A,61.5,8,13.01%,0.0697,314.159,0.69746499,10,56.30,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,323,561,0.65,c,BSA.05-01,JW,Low sediment and moderate detritus.,sphere,0.27,0.27,0.27,0.27,0.27,0.07,0.07,0.07,0.07,0.07
Phyto,5/27/15,11:10,C10A,61.5,8,13.01%,0.0697,314.159,0.69746499,10,56.30,1423,Chroococcus sp.,Soft Body,Chroococcus,sp.,,1,2,3.7,c,BSA.05-01,JW,Low sediment and moderate detritus.,sphere,26.52,,,,,,,,,
Phyto,5/27/15,11:10,C10A,61.5,8,13.01%,0.0697,314.159,0.69746499,10,56.30,1488,Oscillatoria tenuis,Soft Body,Oscillatoria,tenuis,,2,101,7.5,c,BSA.05-01,JW,Low sediment and moderate detritus.,cylinder,123.70,,,,,,,,,
Phyto,5/27/15,11:10,C10A,61.5,8,13.01%,0.0697,314.159,0.69746499,10,56.30,1508,Pseudanabaena sp.,Soft Body,Pseudanabaena,sp.,,1,12,3.7,c,BSA.05-01,JW,Low sediment and moderate detritus.,cylinder,11.62,,,,,,,,,
Phyto,5/27/15,11:10,C10A,61.5,8,13.01%,0.0697,314.159,0.69746499,10,56.30,1689,cf. Synechocystis aquatilis,Soft Body,Synechocystis,aquatilis,,10,20,2,c,BSA.05-01,JW,Low sediment and moderate detritus.,sphere,4.19,,,,,,,,,
Phyto,5/11/15,10:15,D28A,60.5,6,9.92%,0.0697,314.159,0.557971992,8,93.84,145,Cocconeis placentula,Diatom,Cocconeis,placentula,,3,3,21,i,BSA.05-02,JW,Moderate sediment and detritus.,elliptic prism,428.83,,,,,,,,,
Phyto,5/11/15,10:15,D28A,60.5,6,9.92%,0.0697,314.159,0.557971992,8,93.84,852,Pleurosira laevis,Diatom,Pleurosira,laevis,,1,1,93.5,i,BSA.05-02,JW,Moderate sediment and detritus.,elliptic prism,8518.42,,,,,,,,,
Phyto,5/11/15,10:15,D28A,60.5,6,9.92%,0.0697,314.159,0.557971992,8,93.84,1039,Chlorella vulgaris,Soft Body,Chlorella,vulgaris,,7,7,3.7,i,BSA.05-02,JW,Moderate sediment and detritus.,sphere,26.52,,,,,,,,,
Phyto,5/11/15,10:15,D28A,60.5,6,9.92%,0.0697,314.159,0.557971992,8,93.84,1132,Monoraphidium arcuatum,Soft Body,Monoraphidium,arcuatum,,3,3,18.7,i,BSA.05-02,JW,Moderate sediment and detritus.,2 cones,9.79,,,,,,,,,
Phyto,5/11/15,10:15,D28A,60.5,6,9.92%,0.0697,314.159,0.557971992,8,93.84,1134,Monoraphidium contortum,Soft Body,Monoraphidium,contortum,,7,7,7.5,i,BSA.05-02,JW,Moderate sediment and detritus.,2 cones,8.84,,,,,,,,,
Phyto,5/11/15,10:15,D28A,60.5,6,9.92%,0.0697,314.159,0.557971992,8,93.84,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,1,1,6,i,BSA.05-02,JW,Moderate sediment and detritus.,cone + half sphere,91.42,,,,,,,,,
