MethodCode,SampleDate,SampleTime,StationCode,Volume Received (mL),Volume Analyzed (mL),Percent of Sample Counted,Field-of-view (mm²),Slide/ Chamber Area (mm²),Area Counted,Number of Fields Counted,Factor,BSA_TIN,Taxon,Diatom/SoftBody,Genus,Species,Synonym,Unit Abundance,Number of cells per unit,GALD,Colony/Filament/Individual Group Code,BSA#,Taxonomist,Comments,Shape,Biovolume 1,Biovolume 2,Biovolume 3,Biovolume 4,Biovolume 5,Biovolume 6,Biovolume 7,Biovolume 8,Biovolume 9,Biovolume 10
Phyto,11/14/2014,12:05,EZ2SAC,65,3,4.62%,0.0697,314.159,0.488225493,7,214.49,96,Aulacoseira spp. ,Diatom,Aulacoseira,spp.,,2,2,18.7,i,BSA.11-01,KS,Degraded. Low sediment and moderate detritus. Many fragmented diatoms. ,cylinder,826.14,,,,,,,,,
Phyto,11/14/2014,12:05,EZ2SAC,65,3,4.62%,0.0697,314.159,0.488225493,7,214.49,749,Nitzschia sp.,Diatom,Nitzschia,sp.,,1,1,16.8,i,BSA.11-01,KS,Degraded. Low sediment and moderate detritus. Many fragmented diatoms. ,prism on parallelogram,115,,,,,,,,,
Phyto,11/14/2014,12:05,EZ2SAC,65,3,4.62%,0.0697,314.159,0.488225493,7,214.49,1357,Hemiselmis sp.,Soft Body,Hemiselmis,sp.,,3,3,5.6,i,BSA.11-01,KS,Low sediment and moderate detritus. Many fragmented diatoms. ,prolate spheroid,40.14,,,,,,,,,
Phyto,11/14/2014,12:05,EZ2SAC,65,3,4.62%,0.0697,314.159,0.488225493,7,214.49,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,240,734,0.85,c,BSA.11-01,KS,Low sediment and moderate detritus. Many fragmented diatoms. ,sphere,0.27,0.27,0.27,0.27,0.27,0.38,0.38,0.38,0.38,0.38
Phyto,11/14/2014,12:05,EZ2SAC,65,3,4.62%,0.0697,314.159,0.488225493,7,214.49,1420,Chroococcus minimus,Soft Body,Chroococcus,minimus,,1,4,2.2,c,BSA.11-01,KS,Low sediment and moderate detritus. Many fragmented diatoms. ,sphere,5.58,,,,,,,,,
Phyto,11/14/2014,12:05,EZ2SAC,65,3,4.62%,0.0697,314.159,0.488225493,7,214.49,1678,cf. Synechococcus salinarum,Soft Body,Synechococcus,salinarum,,188,188,6.4,i,BSA.11-01,KS,Low sediment and moderate detritus. Many fragmented diatoms. ,sphere,91.95,91.95,91.95,91.95,91.95,91.95,220.89,220.89,220.89,220.89
Phyto,11/14/2014,11:25,EZ6SAC,64,3,4.69%,0.0697,314.159,0.418478994,6,250.24,749,Nitzschia sp.,Diatom,Nitzschia,sp.,,1,1,13.1,i,BSA.11-02,KS,Fragment. Moderate sediment and detritus.,prism on parallelogram,89.67,,,,,,,,,
Phyto,11/14/2014,11:25,EZ6SAC,64,3,4.69%,0.0697,314.159,0.418478994,6,250.24,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,351,953,0.85,c,BSA.11-02,KS,Moderate sediment and detritus.,sphere,0.27,0.27,0.27,0.27,0.27,0.38,0.38,0.38,0.38,0.38
Phyto,11/14/2014,11:25,EZ6SAC,64,3,4.69%,0.0697,314.159,0.418478994,6,250.24,1681,Chroococcus planctonicus,Soft Body,Chroococcus,planctonicus,,2,3,3.7,c,BSA.11-02,KS,Moderate sediment and detritus.,sphere,26.52,,,,,,,,,
Phyto,11/14/2014,11:25,EZ6SAC,64,3,4.69%,0.0697,314.159,0.418478994,6,250.24,1678,cf. Synechococcus salinarum,Soft Body,Synechococcus,salinarum,,51,51,5.6,i,BSA.11-02,KS,Moderate sediment and detritus.,sphere,91.95,,,,,,,,,
