MethodCode,SampleDate,SampleTime,StationCode,Volume Received (mL),Volume Analyzed (mL),Percent of Sample Counted,Field-of-view (mm²),Slide/ Chamber Area (mm²),Area Counted,Number of Fields Counted,Factor,BSA_TIN,Taxon,Diatom/SoftBody,Genus,Species,Synonym,Unit Abundance,Number of cells per unit,GALD 1,Colony/Filament/Individual Group Code,BSA#,Taxonomist,Comments,Shape,Biovolume 1,Biovolume 2,Biovolume 3,Biovolume 4,Biovolume 5,Biovolume 6,Biovolume 7,Biovolume 8,Biovolume 9,Biovolume 10
Phyto,11/19/2018,14:15,D22,63.0,3,4.76%,0.0697,314.159,0.7667,11,136.58,147,Cocconeis sp.,Diatom,Cocconeis,sp.,,1,1,13,i,BSA.11-01,BB,,elliptic prism,279.55,,,,,,,,,
Phyto,11/19/2018,14:15,D22,63.0,3,4.76%,0.0697,314.159,0.7667,11,136.58,1691,Thalassiosira tenera,Diatom,Thalassiosira,tenera,,1,1,16.7,i,BSA.11-01,BB,,cylinder,1752.32,,,,,,,,,
Phyto,11/19/2018,14:15,D22,63.0,3,4.76%,0.0697,314.159,0.7667,11,136.58,1037,cf. Chlorella sp.,Soft Body,Chlorella,sp.,,8,8,2.8,i,BSA.11-01,BB,,sphere,2.14,,,,,,,,,
Phyto,11/19/2018,14:15,D22,63.0,3,4.76%,0.0697,314.159,0.7667,11,136.58,1908,Coccomyxa sp.,Soft Body,Coccomyxa,sp.,,9,9,7.4,i,BSA.11-01,BB,,prolate spheroid,11.91,,,,,,,,,
Phyto,11/19/2018,14:15,D22,63.0,3,4.76%,0.0697,314.159,0.7667,11,136.58,1357,Hemiselmis sp.,Soft Body,Hemiselmis,sp.,,1,1,4.6,i,BSA.11-01,BB,,prolate spheroid,18.88,,,,,,,,,
Phyto,11/19/2018,14:15,D22,63.0,3,4.76%,0.0697,314.159,0.7667,11,136.58,1365,Plagioselmis lacustris,Soft Body,Plagioselmis,lacustris,,1,1,11.1,i,BSA.11-01,BB,,cone + half sphere,554.81,,,,,,,,,
Phyto,11/19/2018,14:15,D22,63.0,3,4.76%,0.0697,314.159,0.7667,11,136.58,1733,Plagioselmis prolonga,Soft Body,Plagioselmis,prolonga,,1,1,5.6,i,BSA.11-01,BB,,cone + half sphere,76.35,,,,,,,,,
Phyto,11/19/2018,14:15,D22,63.0,3,4.76%,0.0697,314.159,0.7667,11,136.58,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,379,758,0.8,c,BSA.11-01,BB,,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,11/20/2018,15:00,EZ6,62.5,3,4.80%,0.0697,314.159,0.5576,8,187.80,319,Entomoneis sp.,Diatom,Entomoneis,sp.,,1,1,25.9,i,BSA.11-02,BB,Moderate sediment and high detritus. ,elliptic prism,2513.84,,,,,,,,,
Phyto,11/20/2018,15:00,EZ6,62.5,3,4.80%,0.0697,314.159,0.5576,8,187.80,681,Nitzschia brevissima,Diatom,Nitzschia,brevissima,,1,1,18.5,i,BSA.11-02,BB,Moderate sediment and high detritus. ,prism on parallelogram,145.04,,,,,,,,,
Phyto,11/20/2018,15:00,EZ6,62.5,3,4.80%,0.0697,314.159,0.5576,8,187.80,836,Planothidium dubium,Diatom,Planothidium,dubium,,1,1,11.1,i,BSA.11-02,BB,Moderate sediment and high detritus. ,elliptic prism,122.05,,,,,,,,,
Phyto,11/20/2018,15:00,EZ6,62.5,3,4.80%,0.0697,314.159,0.5576,8,187.80,1675,Thalassiosira eccentrica,Diatom,Thalassiosira,eccentrica,,1,1,23.1,i,BSA.11-02,BB,Moderate sediment and high detritus. ,cylinder,4861.51,,,,,,,,,
Phyto,11/20/2018,15:00,EZ6,62.5,3,4.80%,0.0697,314.159,0.5576,8,187.80,1037,cf. Chlorella sp.,Soft Body,Chlorella,sp.,,2,2,1.9,i,BSA.11-02,BB,Moderate sediment and high detritus. ,sphere,3.59,,,,,,,,,
Phyto,11/20/2018,15:00,EZ6,62.5,3,4.80%,0.0697,314.159,0.5576,8,187.80,1908,Coccomyxa sp.,Soft Body,Coccomyxa,sp.,,6,6,9.3,i,BSA.11-02,BB,Moderate sediment and high detritus. ,prolate spheroid,25.13,,,,,,,,,
Phyto,11/20/2018,15:00,EZ6,62.5,3,4.80%,0.0697,314.159,0.5576,8,187.80,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,398,814,0.8,c,BSA.11-02,BB,Moderate sediment and high detritus. ,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,11/20/2018,15:00,EZ6,62.5,3,4.80%,0.0697,314.159,0.5576,8,187.80,1477,cf. Microcystis sp.,Soft Body,Microcystis,sp.,,1,1,3.7,i,BSA.11-02,BB,Moderate sediment and high detritus. ,sphere,26.52,,,,,,,,,
Phyto,11/28/2018,7:30,D7,61.5,3,4.88%,0.0697,314.159,0.9061,13,115.57,1908,Coccomyxa sp.,Soft Body,Coccomyxa,sp.,,13,13,6.5,i,BSA.11-03,BB,,prolate spheroid,7.07,,,,,,,,,
Phyto,11/28/2018,7:30,D7,61.5,3,4.88%,0.0697,314.159,0.9061,13,115.57,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,402,810,0.8,c,BSA.11-03,BB,,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
