MethodCode,SampleDate,SampleTime,StationCode,Volume Received (mL),Volume Analyzed (mL),Percent of Sample Counted,Field-of-view (mm²),Slide/ Chamber Area (mm²),Area Counted,Number of Fields Counted,Factor,BSA_TIN,Taxon,Diatom/SoftBody,Genus,Species,Synonym,Unit Abundance,Number of cells per unit,GALD,Colony/Filament/Individual Group Code,BSA#,Taxonomist,Comments,Shape,Biovolume 1,Biovolume 2,Biovolume 3,Biovolume 4,Biovolume 5,Biovolume 6,Biovolume 7,Biovolume 8,Biovolume 9,Biovolume 10
Phyto,9/13/2017,9:45,D26,64,2,3.13%,0.0697,314.159,0.488225493,7,321.74,147,Cocconeis sp.,Diatom,Cocconeis,sp.,,1,1,9.3,i,BSA.09-01,DK,Fragment. Low detritus.,elliptic prism,115.19,,,,,,,,,
Phyto,9/13/2017,9:45,D26,64,2,3.13%,0.0697,314.159,0.488225493,7,321.74,749,cf. Nitzschia sp.,Diatom,Nitzschia,sp.,,2,2,9.3,i,BSA.09-01,DK,Obscured by detritus. Low detritus.,prism on parallelogram,16.79,,,,,,,,,
Phyto,9/13/2017,9:45,D26,64,2,3.13%,0.0697,314.159,0.488225493,7,321.74,987,cf. Thalassiosira sp.,Diatom,Thalassiosira,sp.,,1,1,10.2,i,BSA.09-01,DK,Low detritus.,cylinder,375.88,,,,,,,,,
Phyto,9/13/2017,9:45,D26,64,2,3.13%,0.0697,314.159,0.488225493,7,321.74,1039,Chlorella vulgaris,Soft Body,Chlorella,vulgaris,,15,15,2.8,i,BSA.09-01,DK,Low detritus.,sphere,11.49,,,,,,,,,
Phyto,9/13/2017,9:45,D26,64,2,3.13%,0.0697,314.159,0.488225493,7,321.74,1324,cf. Ochromonas sp.,Soft Body,Ochromonas,sp.,,1,1,3.7,i,BSA.09-01,DK,Low detritus.,cone + half sphere,26.52,,,,,,,,,
Phyto,9/13/2017,9:45,D26,64,2,3.13%,0.0697,314.159,0.488225493,7,321.74,1365,Rhodomonas lacustris,Soft Body,Rhodomonas,lacustris,,2,2,11.1,i,BSA.09-01,DK,Low detritus.,cone + half sphere,596.74,,,,,,,,,
Phyto,9/13/2017,9:45,D26,64,2,3.13%,0.0697,314.159,0.488225493,7,321.74,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,385,780,0.65,c,BSA.09-01,DK,Low detritus.,sphere,0.27,0.27,0.27,0.27,0.27,0.07,0.07,0.07,0.07,0.07
Phyto,9/11/2017,8:15,D4,55,1,1.83%,0.0697,314.159,0.348732495,5,900.86,190,cf. Cyclotella sp.,Diatom,Cyclotella,sp.,,2,2,7.4,i,BSA.09-02,DK,Low sediment and detritus. Sample contains mucilaginous detritus.,cylinder,159.13,,,,,,,,,
Phyto,9/11/2017,8:15,D4,55,1,1.83%,0.0697,314.159,0.348732495,5,900.86,895,Skeletonema sp.,Diatom,Skeletonema,sp.,,2,2,5.6,c,BSA.09-02,DK,Low sediment and detritus. Sample contains mucilaginous detritus.,cylinder + 2 half spheres,34.48,,,,,,,,,
Phyto,9/11/2017,8:15,D4,55,1,1.83%,0.0697,314.159,0.348732495,5,900.86,976,Synedra cf. ulna,Diatom,Synedra,ulna,,1,1,8.3,i,BSA.09-02,DK,Fragment. Low sediment and detritus. Sample contains mucilaginous detritus.,box,83.96,,,,,,,,,
Phyto,9/11/2017,8:15,D4,55,1,1.83%,0.0697,314.159,0.348732495,5,900.86,987,cf. Thalassiosira sp.,Diatom,Thalassiosira,sp.,,7,7,4,i,BSA.09-02,DK,Low sediment and detritus. Sample contains mucilaginous detritus.,cylinder,35.19,,,,,,,,,
Phyto,9/11/2017,8:15,D4,55,1,1.83%,0.0697,314.159,0.348732495,5,900.86,1039,Chlorella vulgaris,Soft Body,Chlorella,vulgaris,,23,23,2.8,i,BSA.09-02,DK,Low sediment and detritus. Sample contains mucilaginous detritus.,sphere,11.49,,,,,,,,,
Phyto,9/11/2017,8:15,D4,55,1,1.83%,0.0697,314.159,0.348732495,5,900.86,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,415,836,0.65,c,BSA.09-02,DK,Low sediment and detritus. Sample contains mucilaginous detritus.,sphere,0.27,0.27,0.27,0.27,0.27,0.07,0.07,0.07,0.07,0.07
Phyto,9/11/2017,12:00,C10A,62,3,4.84%,0.0697,314.159,0.348732495,5,300.29,46,Achnanthidium sp.,Diatom,Achnanthidium,sp.,,1,1,9.3,i,BSA.09-03,KS,High sediment.,elliptic prism,54.05,,,,,,,,,
Phyto,9/11/2017,12:00,C10A,62,3,4.84%,0.0697,314.159,0.348732495,5,300.29,145,Cocconeis placentula,Diatom,Cocconeis,placentula,,1,1,31.5,i,BSA.09-03,KS,High sediment.,elliptic prism,1693.45,,,,,,,,,
Phyto,9/11/2017,12:00,C10A,62,3,4.84%,0.0697,314.159,0.348732495,5,300.29,182,Cyclotella meneghiniana,Diatom,Cyclotella,meneghiniana,,1,1,15,i,BSA.09-03,KS,High sediment.,cylinder,989.60,,,,,,,,,
Phyto,9/11/2017,12:00,C10A,62,3,4.84%,0.0697,314.159,0.348732495,5,300.29,182,Cyclotella meneghiniana,Diatom,Cyclotella,meneghiniana,,2,2,9.3,i,BSA.09-03,KS,Fragment. High sediment.,cylinder,251.34,,,,,,,,,
Phyto,9/11/2017,12:00,C10A,62,3,4.84%,0.0697,314.159,0.348732495,5,300.29,190,cf. Cyclotella sp.,Diatom,Cyclotella,sp.,,3,3,5.6,i,BSA.09-03,KS,High sediment.,cylinder,60.21,,,,,,,,,
Phyto,9/11/2017,12:00,C10A,62,3,4.84%,0.0697,314.159,0.348732495,5,300.29,289,Diploneis sp.,Diatom,Diploneis,sp.,,1,1,22,i,BSA.09-03,KS,Fragment. High sediment.,elliptic prism,562.42,,,,,,,,,
Phyto,9/11/2017,12:00,C10A,62,3,4.84%,0.0697,314.159,0.348732495,5,300.29,631,cf. Navicula sp.,Diatom,Navicula,sp.,,2,2,16.7,i,BSA.09-03,KS,Girdle view. High sediment.,elliptic prism,411.32,,,,,,,,,
Phyto,9/11/2017,12:00,C10A,62,3,4.84%,0.0697,314.159,0.348732495,5,300.29,1677,Nitzschia incerta,Diatom,Nitzschia,incerta,,1,1,111,i,BSA.09-03,KS,High sediment.,prism on parallelogram,1149.96,,,,,,,,,
Phyto,9/11/2017,12:00,C10A,62,3,4.84%,0.0697,314.159,0.348732495,5,300.29,749,Nitzschia sp.,Diatom,Nitzschia,sp.,,3,3,16.7,i,BSA.09-03,KS,High sediment.,prism on parallelogram,46.76,,,,,,,,,
Phyto,9/11/2017,12:00,C10A,62,3,4.84%,0.0697,314.159,0.348732495,5,300.29,1860,Skeletonema cf. potamos,Diatom,Skeletonema,potamos,,4,4,10.2,i,BSA.09-03,KS,High sediment.,cylinder + 2 half spheres,109.67,,,,,,,,,
Phyto,9/11/2017,12:00,C10A,62,3,4.84%,0.0697,314.159,0.348732495,5,300.29,1643,Tabellaria sp.,Diatom,Tabellaria,sp.,,1,1,24,i,BSA.09-03,KS,Fragment. High sediment.,box,328.56,,,,,,,,,
Phyto,9/11/2017,12:00,C10A,62,3,4.84%,0.0697,314.159,0.348732495,5,300.29,1031,cf. Chlamydomonas sp.,Soft Body,Chlamydomonas,sp.,,1,1,9.3,i,BSA.09-03,KS,Obscured by detritus. High sediment.,sphere,421.16,,,,,,,,,
Phyto,9/11/2017,12:00,C10A,62,3,4.84%,0.0697,314.159,0.348732495,5,300.29,1037,cf. Chlorella sp.,Soft Body,Chlorella,sp.,,1,1,3.4,i,BSA.09-03,KS,High sediment.,sphere,20.58,,,,,,,,,
Phyto,9/11/2017,12:00,C10A,62,3,4.84%,0.0697,314.159,0.348732495,5,300.29,1761,Drepanochloris nannoselene,Soft Body,Drepanochloris,nannoselene,,2,2,7.4,i,BSA.09-03,KS,High sediment.,cylinder + 2 cones,13.96,,,,,,,,,
Phyto,9/11/2017,12:00,C10A,62,3,4.84%,0.0697,314.159,0.348732495,5,300.29,1132,Monoraphidium arcuatum,Soft Body,Monoraphidium,arcuatum,,1,1,50,i,BSA.09-03,KS,High sediment.,2 cones,104.72,,,,,,,,,
Phyto,9/11/2017,12:00,C10A,62,3,4.84%,0.0697,314.159,0.348732495,5,300.29,1352,Cryptomonas sp.,Soft Body,Cryptomonas,sp.,,3,3,15,i,BSA.09-03,KS,High sediment.,prolate spheroid,430.08,,,,,,,,,
Phyto,9/11/2017,12:00,C10A,62,3,4.84%,0.0697,314.159,0.348732495,5,300.29,1842,Plagioselmis sp.,Soft Body,Plagioselmis,sp.,,1,1,8.3,i,BSA.09-03,KS,High sediment.,cone + half sphere,248.89,,,,,,,,,
Phyto,9/11/2017,12:00,C10A,62,3,4.84%,0.0697,314.159,0.348732495,5,300.29,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,478,1212,0.65,c,BSA.09-03,KS,High sediment.,sphere,0.27,0.27,0.27,0.27,0.27,0.07,0.07,0.07,0.07,0.07
Phyto,9/11/2017,12:00,C10A,62,3,4.84%,0.0697,314.159,0.348732495,5,300.29,1423,Chroococcus sp.,Soft Body,Chroococcus,sp.,,2,4,2.5,c,BSA.09-03,KS,High sediment.,sphere,8.18,,,,,,,,,
Phyto,9/11/2017,12:00,C10A,62,3,4.84%,0.0697,314.159,0.348732495,5,300.29,1766,Dolichospermum sp.,Soft Body,Dolichospermum,sp.,,1,5,5.6,f,BSA.09-03,KS,High sediment.,sphere,91.95,,,,,,,,,
Phyto,9/11/2017,12:00,C10A,62,3,4.84%,0.0697,314.159,0.348732495,5,300.29,1477,cf. Microcystis sp.,Soft Body,Microcystis,sp.,,4,4,4.3,i,BSA.09-03,KS,High sediment.,sphere,41.63,,,,,,,,,
Phyto,9/11/2017,12:00,C10A,62,3,4.84%,0.0697,314.159,0.348732495,5,300.29,1503,Planktothrix sp.,Soft Body,Planktothrix,sp.,,1,40,2.8,f,BSA.09-03,KS,High sediment.,cylinder,14.16,,,,,,,,,
Phyto,9/11/2017,12:00,C10A,62,3,4.84%,0.0697,314.159,0.348732495,5,300.29,1611,cf. Gymnodinium sp.,Soft Body,Gymnodinium,sp.,,1,1,8.3,i,BSA.09-03,KS,High sediment.,ellipsoid,237.98,,,,,,,,,
Phyto,9/18/2017,11:45,D41,63,2,3.17%,0.0697,314.159,0.418478994,6,375.36,749,Nitzschia sp.,Diatom,Nitzschia,sp.,,3,3,13,i,BSA.09-04,DK,Moderate detritus. Sample contains mucilaginous detritus.,prism on parallelogram,34.58,,,,,,,,,
Phyto,9/18/2017,11:45,D41,63,2,3.17%,0.0697,314.159,0.418478994,6,375.36,987,cf. Thalassiosira sp.,Diatom,Thalassiosira,sp.,,8,8,7.4,i,BSA.09-04,DK,Moderate detritus. Sample contains mucilaginous detritus.,cylinder,159.13,,,,,,,,,
Phyto,9/18/2017,11:45,D41,63,2,3.17%,0.0697,314.159,0.418478994,6,375.36,1039,Chlorella vulgaris,Soft Body,Chlorella,vulgaris,,17,17,3.7,i,BSA.09-04,DK,Moderate detritus. Sample contains mucilaginous detritus.,sphere,26.52,,,,,,,,,
