MethodCode,SampleDate,SampleTime,StationCode,Volume Received (mL),Volume Analyzed (mL),Percent of Sample Counted,Field-of-view (mm²),Slide/ Chamber Area (mm²),Area Counted,Number of Fields Counted,Factor,BSA_TIN,Taxon,Diatom/SoftBody,Genus,Species,Synonym,Unit Abundance,Number of cells per unit,GALD,Colony/Filament/Individual Group Code,BSA#,Taxonomist,Comments,Shape,Biovolume 1,Biovolume 2,Biovolume 3,Biovolume 4,Biovolume 5,Biovolume 6,Biovolume 7,Biovolume 8,Biovolume 9,Biovolume 10
Phyto,8/3/2015,10:55,STTD,64,1,1.56%,0.0697,314.159,0.488225493,7,643.47,145,Cocconeis placentula,Diatom,Cocconeis,placentula,,1,1,24,i,BSA.YOLO-01,JW,High detritus. Sample contains mucilaginous detritus.,elliptic prism,629.57,,,,,,,,,
Phyto,8/3/2015,10:55,STTD,64,1,1.56%,0.0697,314.159,0.488225493,7,643.47,749,Nitzschia sp.,Diatom,Nitzschia,sp.,,2,2,18.5,i,BSA.YOLO-01,JW,High detritus. Sample contains mucilaginous detritus.,prism on parallelogram,68.45,,,,,,,,,
Phyto,8/3/2015,10:55,STTD,64,1,1.56%,0.0697,314.159,0.488225493,7,643.47,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,1,1,7.4,i,BSA.YOLO-01,JW,High detritus. Sample contains mucilaginous detritus.,cone + half sphere,174.90,,,,,,,,,
Phyto,8/3/2015,10:55,STTD,64,1,1.56%,0.0697,314.159,0.488225493,7,643.47,1731,Aphanizomenon cf. klebahnii ,Soft Body,Aphanizomenon,klebahnii,,2,22,5.6,f,BSA.YOLO-01,JW,High detritus. Sample contains mucilaginous detritus.,cylinder,60.21,,,,,,,,,
Phyto,8/3/2015,10:55,STTD,64,1,1.56%,0.0697,314.159,0.488225493,7,643.47,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,415,994,0.65,c,BSA.YOLO-01,JW,High detritus. Sample contains mucilaginous detritus.,sphere,0.27,0.27,0.27,0.27,0.27,0.07,0.07,0.07,0.07,0.07
Phyto,8/3/2015,10:55,STTD,64,1,1.56%,0.0697,314.159,0.488225493,7,643.47,1421,Chroococcus minutus,Soft Body,Chroococcus,minutus,,6,7,5.6,c,BSA.YOLO-01,JW,High detritus. Sample contains mucilaginous detritus.,sphere,91.95,,,,,,,,,
Phyto,8/3/2015,11:40,BL5,65,1,1.54%,0.0697,314.159,0.348732495,5,900.86,749,Nitzschia sp.,Diatom,Nitzschia,sp.,,1,1,14.8,i,BSA.YOLO-02,KS,Fragment. Moderate sediment. Many broken diatoms.,prism on parallelogram,78.74,,,,,,,,,
Phyto,8/3/2015,11:40,BL5,65,1,1.54%,0.0697,314.159,0.348732495,5,900.86,1037,cf. Chlorella sp.,Soft Body,Chlorella,sp.,,3,3,1.9,i,BSA.YOLO-02,KS,Moderate sediment. Many broken diatoms.,sphere,3.59,,,,,,,,,
Phyto,8/3/2015,11:40,BL5,65,1,1.54%,0.0697,314.159,0.348732495,5,900.86,1774,Desmodesmus sp.,Soft Body,Desmodesmus,sp.,,1,2,5.6,c,BSA.YOLO-02,KS,Obscured by detritus. Moderate sediment. Many broken diatoms.,prolate spheroid,10.59,,,,,,,,,
Phyto,8/3/2015,11:40,BL5,65,1,1.54%,0.0697,314.159,0.348732495,5,900.86,1704,Monoraphidium minutum,Soft Body,Monoraphidium,minutum,,1,1,6.5,i,BSA.YOLO-02,KS,Moderate sediment. Many broken diatoms.,2 cones,12.29,,,,,,,,,
Phyto,8/3/2015,11:40,BL5,65,1,1.54%,0.0697,314.159,0.348732495,5,900.86,1731,Aphanizomenon cf. klebahnii ,Soft Body,Aphanizomenon,klebahnii,,2,66,7.4,f,BSA.YOLO-02,KS,Moderate sediment. Many broken diatoms.,cylinder,79.57,,,,,,,,,
Phyto,8/3/2015,11:40,BL5,65,1,1.54%,0.0697,314.159,0.348732495,5,900.86,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,335,807,0.65,c,BSA.YOLO-02,KS,Moderate sediment. Many broken diatoms.,sphere,0.27,0.27,0.27,0.27,0.27,0.07,0.07,0.07,0.07,0.07
Phyto,8/3/2015,11:40,BL5,65,1,1.54%,0.0697,314.159,0.348732495,5,900.86,1421,Chroococcus minutus,Soft Body,Chroococcus,minutus,,4,4,5.6,i,BSA.YOLO-02,KS,Moderate sediment. Many broken diatoms.,sphere,91.95,,,,,,,,,
Phyto,8/3/2015,11:40,BL5,65,1,1.54%,0.0697,314.159,0.348732495,5,900.86,1678,cf. Synechococcus salinarum,Soft Body,Synechococcus,salinarum,,2,2,5.6,i,BSA.YOLO-02,KS,Moderate sediment. Many broken diatoms.,sphere,91.95,,,,,,,,,
Phyto,8/3/2015,12:45,RYI,63,10,15.87%,0.0697,314.159,0.348732495,5,90.09,44,Achnanthidium minutissimum,Diatom,Achnanthidium,minutissimum,,1,1,20.4,i,BSA.YOLO-03,JW,Moderate sediment and high detritus. ,elliptic prism,89.72,,,,,,,,,
Phyto,8/3/2015,12:45,RYI,63,10,15.87%,0.0697,314.159,0.348732495,5,90.09,99,Bacillaria paxillifera,Diatom,Bacillaria,paxillifera,,1,1,105.6,i,BSA.YOLO-03,JW,Moderate sediment and high detritus. ,box,1774.08,,,,,,,,,
Phyto,8/3/2015,12:45,RYI,63,10,15.87%,0.0697,314.159,0.348732495,5,90.09,145,Cocconeis placentula,Diatom,Cocconeis,placentula,,2,2,29.6,i,BSA.YOLO-03,JW,Moderate sediment and high detritus. ,elliptic prism,948.51,,,,,,,,,
Phyto,8/3/2015,12:45,RYI,63,10,15.87%,0.0697,314.159,0.348732495,5,90.09,190,cf. Cyclotella sp.,Diatom,Cyclotella,sp.,,1,1,4.6,i,BSA.YOLO-03,JW,Moderate sediment and high detritus. ,cylinder,76.45,,,,,,,,,
Phyto,8/3/2015,12:45,RYI,63,10,15.87%,0.0697,314.159,0.348732495,5,90.09,374,Fragilaria capucina ,Diatom,Fragilaria,capucina,,3,3,29.6,c,BSA.YOLO-03,JW,Moderate sediment and high detritus. ,elliptic prism,318.26,,,,,,,,,
Phyto,8/3/2015,12:45,RYI,63,10,15.87%,0.0697,314.159,0.348732495,5,90.09,631,Navicula sp.,Diatom,Navicula,sp.,,1,1,16.7,i,BSA.YOLO-03,JW,Moderate sediment and high detritus. ,elliptic prism,220.35,,,,,,,,,
Phyto,8/3/2015,12:45,RYI,63,10,15.87%,0.0697,314.159,0.348732495,5,90.09,1037,cf. Chlorella sp.,Soft Body,Chlorella,sp.,,16,16,3.7,i,BSA.YOLO-03,JW,Moderate sediment and high detritus. ,sphere,26.52,,,,,,,,,
Phyto,8/3/2015,12:45,RYI,63,10,15.87%,0.0697,314.159,0.348732495,5,90.09,1731,Aphanizomenon cf. klebahnii ,Soft Body,Aphanizomenon,klebahnii,,2,28,5.6,f,BSA.YOLO-03,JW,Moderate sediment and high detritus. ,cylinder,93.07,,,,,,,,,
Phyto,8/3/2015,12:45,RYI,63,10,15.87%,0.0697,314.159,0.348732495,5,90.09,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,682,1502,0.65,c,BSA.YOLO-03,JW,Moderate sediment and high detritus. ,sphere,0.27,0.27,0.27,0.27,0.27,0.07,0.07,0.07,0.07,0.07
Phyto,8/3/2015,12:45,RYI,63,10,15.87%,0.0697,314.159,0.348732495,5,90.09,1421,Chroococcus minutus,Soft Body,Chroococcus,minutus,,11,15,5.6,c,BSA.YOLO-03,JW,Moderate sediment and high detritus. ,sphere,91.95,,,,,,,,,
Phyto,8/3/2015,12:45,RYI,63,10,15.87%,0.0697,314.159,0.348732495,5,90.09,1647,Goniochloris mutica,Soft Body,Goniochloris,mutica,,2,2,9.3,i,BSA.YOLO-03,JW,Moderate sediment and high detritus. ,prism on triangle,68.82,,,,,,,,,
Phyto,8/3/2015,13:20,SRV,62,5,8.06%,0.0697,314.159,0.836957988,12,75.07,44,Achnanthidium minutissimum,Diatom,Achnanthidium,minutissimum,,2,2,13,i,BSA.YOLO-04,JW,Moderate sediment and detritus.,elliptic prism,40.84,,,,,,,,,
Phyto,8/3/2015,13:20,SRV,62,5,8.06%,0.0697,314.159,0.836957988,12,75.07,95,cf. Aulacoseira sp. ,Diatom,Aulacoseira,sp.,,2,2,26,i,BSA.YOLO-04,JW,Moderate sediment and detritus.,cylinder,81.68,,,,,,,,,
Phyto,8/3/2015,13:20,SRV,62,5,8.06%,0.0697,314.159,0.836957988,12,75.07,145,Cocconeis placentula,Diatom,Cocconeis,placentula,,2,2,16.7,i,BSA.YOLO-04,JW,Moderate sediment and detritus.,elliptic prism,807.95,,,,,,,,,
Phyto,8/3/2015,13:20,SRV,62,5,8.06%,0.0697,314.159,0.836957988,12,75.07,685,Nitzschia clausii,Diatom,Nitzschia,clausii,,1,1,31.5,i,BSA.YOLO-04,JW,Moderate sediment and detritus.,prism on parallelogram,326.34,,,,,,,,,
Phyto,8/3/2015,13:20,SRV,62,5,8.06%,0.0697,314.159,0.836957988,12,75.07,744,Nitzschia cf. sigma,Diatom,Nitzschia,sigma,,1,1,102,i,BSA.YOLO-04,JW,Moderate sediment and detritus.,prism on parallelogram,1132.20,,,,,,,,,
Phyto,8/3/2015,13:20,SRV,62,5,8.06%,0.0697,314.159,0.836957988,12,75.07,874,Rhoicosphenia abbreviata,Diatom,Rhoicosphenia,abbreviata,,1,1,11,i,BSA.YOLO-04,JW,Moderate sediment and detritus.,gomphonemoid,166.64,,,,,,,,,
Phyto,8/3/2015,13:20,SRV,62,5,8.06%,0.0697,314.159,0.836957988,12,75.07,987,Thalassiosira sp.,Diatom,Thalassiosira,sp.,,1,1,14.8,i,BSA.YOLO-04,JW,Moderate sediment and detritus.,cylinder,1548.30,,,,,,,,,
Phyto,8/3/2015,13:20,SRV,62,5,8.06%,0.0697,314.159,0.836957988,12,75.07,1007,cf. Ulnaria ulna,Diatom,Ulnaria,ulna,,1,1,40.7,i,BSA.YOLO-04,JW,Fragment. Moderate sediment and detritus.,elliptic prism,716.03,,,,,,,,,
Phyto,8/3/2015,13:20,SRV,62,5,8.06%,0.0697,314.159,0.836957988,12,75.07,1038,cf. Chlorella spp.,Soft Body,Chlorella,spp.,,17,17,3.7,i,BSA.YOLO-04,JW,Moderate sediment and detritus.,sphere,26.52,,,,,,,,,
Phyto,8/3/2015,13:20,SRV,62,5,8.06%,0.0697,314.159,0.836957988,12,75.07,1800,cf. Stichococcus sp.,Soft Body,Stichococcus,sp.,,1,4,5.6,c,BSA.YOLO-04,JW,Moderate sediment and detritus.,ellipsoid,11.73,,,,,,,,,
Phyto,8/3/2015,13:20,SRV,62,5,8.06%,0.0697,314.159,0.836957988,12,75.07,1774,Desmodesmus sp.,Soft Body,Desmodesmus,sp.,,1,4,7.4,c,BSA.YOLO-04,JW,Moderate sediment and detritus.,prolate spheroid,15.50,,,,,,,,,
Phyto,8/3/2015,13:20,SRV,62,5,8.06%,0.0697,314.159,0.836957988,12,75.07,1287,Tetrastrum glabrum,Soft Body,Tetrastrum,glabrum,,1,4,3.7,c,BSA.YOLO-04,JW,Moderate sediment and detritus.,sphere,26.52,,,,,,,,,
Phyto,8/3/2015,13:20,SRV,62,5,8.06%,0.0697,314.159,0.836957988,12,75.07,1324,Ochromonas sp.,Soft Body,Ochromonas,sp.,,2,2,5.6,i,BSA.YOLO-04,JW,Moderate sediment and detritus.,cone + half sphere,70.61,,,,,,,,,
Phyto,8/3/2015,13:20,SRV,62,5,8.06%,0.0697,314.159,0.836957988,12,75.07,1733,cf. Plagioselmis prolonga,Soft Body,Plagioselmis,prolonga,,1,1,5.6,i,BSA.YOLO-04,JW,Moderate sediment and detritus.,cone + half sphere,76.35,,,,,,,,,
Phyto,8/3/2015,13:20,SRV,62,5,8.06%,0.0697,314.159,0.836957988,12,75.07,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,386,848,0.65,c,BSA.YOLO-04,JW,Moderate sediment and detritus.,sphere,0.27,0.27,0.27,0.27,0.27,0.07,0.07,0.07,0.07,0.07
Phyto,8/3/2015,13:20,SRV,62,5,8.06%,0.0697,314.159,0.836957988,12,75.07,1555,Lepocinclis sp.,Soft Body,Lepocinclis,sp.,,1,1,52,i,BSA.YOLO-04,JW,Moderate sediment and detritus.,2 cones,435.63,,,,,,,,,
Phyto,8/13/2015,10:49,RD22,64,1,1.56%,0.0697,314.159,0.488225493,7,643.47,1677,Nitzschia incerta,Diatom,Nitzschia,incerta,,2,2,80,i,BSA.YOLO-05,JW,Moderate sediment and detritus. ,prism on parallelogram,448.00,,,,,,,,,
Phyto,8/13/2015,10:49,RD22,64,1,1.56%,0.0697,314.159,0.488225493,7,643.47,1038,cf. Chlorella spp.,Soft Body,Chlorella,spp.,,27,27,3.7,i,BSA.YOLO-05,JW,Moderate sediment and detritus. ,sphere,26.52,,,,,,,,,
Phyto,8/13/2015,10:49,RD22,64,1,1.56%,0.0697,314.159,0.488225493,7,643.47,1072,Crucigenia crucifera,Soft Body,Crucigenia,crucifera,,1,8,2,c,BSA.YOLO-05,JW,Moderate sediment and detritus. ,cube,8.00,,,,,,,,,
Phyto,8/13/2015,10:49,RD22,64,1,1.56%,0.0697,314.159,0.488225493,7,643.47,1774,Desmodesmus sp.,Soft Body,Desmodesmus,sp.,,1,4,7.4,c,BSA.YOLO-05,JW,Moderate sediment and detritus. ,prolate spheroid,15.50,,,,,,,,,
Phyto,8/13/2015,10:49,RD22,64,1,1.56%,0.0697,314.159,0.488225493,7,643.47,1134,Monoraphidium contortum,Soft Body,Monoraphidium,contortum,,4,4,16.7,i,BSA.YOLO-05,JW,Moderate sediment and detritus. ,2 cones,34.98,,,,,,,,,
Phyto,8/13/2015,10:49,RD22,64,1,1.56%,0.0697,314.159,0.488225493,7,643.47,1135,Monoraphidium convolutum,Soft Body,Monoraphidium,convolutum,,9,9,5.6,i,BSA.YOLO-05,JW,Moderate sediment and detritus. ,2 cones,11.73,,,,,,,,,
Phyto,8/13/2015,10:49,RD22,64,1,1.56%,0.0697,314.159,0.488225493,7,643.47,1136,Monoraphidium griffithii,Soft Body,Monoraphidium,griffithii,,1,1,46.3,i,BSA.YOLO-05,JW,Moderate sediment and detritus. ,2 cones,96.97,,,,,,,,,
Phyto,8/13/2015,10:49,RD22,64,1,1.56%,0.0697,314.159,0.488225493,7,643.47,1393,Aphanizomenon sp.,Soft Body,Aphanizomenon,sp.,,2,40,5.6,f,BSA.YOLO-05,JW,Moderate sediment and detritus. ,cylinder,60.21,,,,,,,,,
Phyto,8/13/2015,10:49,RD22,64,1,1.56%,0.0697,314.159,0.488225493,7,643.47,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,396,876,0.65,c,BSA.YOLO-05,JW,Moderate sediment and detritus. ,sphere,0.27,0.27,0.27,0.27,0.27,0.07,0.07,0.07,0.07,0.07
Phyto,8/13/2015,10:49,RD22,64,1,1.56%,0.0697,314.159,0.488225493,7,643.47,1586,Trachelomonas cf. rugulosa,Soft Body,Trachelomonas,rugulosa,,1,1,9.3,i,BSA.YOLO-05,JW,Moderate sediment and detritus. ,ellipsoid,407.57,,,,,,,,,
Phyto,8/13/2015,10:49,RD22,64,1,1.56%,0.0697,314.159,0.488225493,7,643.47,1750,cf. Karlodinium sp.,Soft Body,Karlodinium,sp.,,1,1,21,i,BSA.YOLO-05,JW,Moderate sediment and detritus. ,ellipsoid,3763.23,,,,,,,,,
Phyto,8/3/2015,13:55,RVB,64,3,4.69%,0.0697,314.159,0.627718491,9,166.83,95,Aulacoseira sp. ,Diatom,Aulacoseira,sp.,,1,1,7.4,i,BSA.YOLO-06,KS,Fragment. Moderate sediment and detritus.,cylinder,318.26,,,,,,,,,
Phyto,8/3/2015,13:55,RVB,64,3,4.69%,0.0697,314.159,0.627718491,9,166.83,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,4,4,8.3,i,BSA.YOLO-06,KS,Moderate sediment and detritus.,cylinder,302.99,,,,,,,,,
Phyto,8/3/2015,13:55,RVB,64,3,4.69%,0.0697,314.159,0.627718491,9,166.83,1782,cf. Halamphora sp.,Diatom,Halamphora,sp.,,1,1,29.6,i,BSA.YOLO-06,KS,Moderate sediment and detritus.,cymbelloid,204.46,,,,,,,,,
Phyto,8/3/2015,13:55,RVB,64,3,4.69%,0.0697,314.159,0.627718491,9,166.83,519,cf. Luticola goeppertiana,Diatom,Luticola,goeppertiana,,1,1,11.1,i,BSA.YOLO-06,KS,Moderate sediment and detritus.,elliptic prism,76.19,,,,,,,,,
Phyto,8/3/2015,13:55,RVB,64,3,4.69%,0.0697,314.159,0.627718491,9,166.83,1007,Ulnaria cf. ulna,Diatom,Ulnaria,ulna,,1,1,5.6,i,BSA.YOLO-06,KS,Fragment. Moderate sediment and detritus.,elliptic prism,74.86,,,,,,,,,
Phyto,8/3/2015,13:55,RVB,64,3,4.69%,0.0697,314.159,0.627718491,9,166.83,1031,cf. Chlamydomonas sp.,Soft Body,Chlamydomonas,sp.,,3,3,6.5,i,BSA.YOLO-06,KS,Moderate sediment and detritus.,sphere,143.79,,,,,,,,,
