MethodCode,SampleDate,SampleTime,StationCode,Volume Received (mL),Volume Analyzed (mL),Percent of Sample Counted,Field-of-view (mm²),Slide/ Chamber Area (mm²),Area Counted,Number of Fields Counted,Factor,BSA_TIN,Taxon,Diatom/SoftBody,Genus,Species,Synonym,Unit Abundance,Number of cells per unit,GALD,Colony/Filament/Individual Group Code,BSA#,Taxonomist,Comments,Shape,Biovolume 1,Biovolume 2,Biovolume 3,Biovolume 4,Biovolume 5,Biovolume 6,Biovolume 7,Biovolume 8,Biovolume 9,Biovolume 10
Phyto,8/21/2017,11:58,RYI,65.0,3,4.62%,0.0697,314.159,0.348732495,5,300.29,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,5,5,7.4,i,BSA.YOLO-1,DK,Moderate sediment and low detritus.,cylinder,197.84,,,,,,,,,
Phyto,8/21/2017,11:58,RYI,65.0,3,4.62%,0.0697,314.159,0.348732495,5,300.29,540,Melosira varians,Diatom,Melosira,varians,,2,2,25.9,c,BSA.YOLO-1,DK,Moderate sediment and low detritus.,cylinder,12697.15,,,,,,,,,
Phyto,8/21/2017,11:58,RYI,65.0,3,4.62%,0.0697,314.159,0.348732495,5,300.29,749,Nitzschia sp.,Diatom,Nitzschia,sp.,,2,2,14.8,i,BSA.YOLO-1,DK,Moderate sediment and low detritus.,prism on parallelogram,39.37,,,,,,,,,
Phyto,8/21/2017,11:58,RYI,65.0,3,4.62%,0.0697,314.159,0.348732495,5,300.29,1037,Chlorella sp.,Soft Body,Chlorella,sp.,,6,6,3.7,i,BSA.YOLO-1,DK,Moderate sediment and low detritus.,sphere,26.52,,,,,,,,,
Phyto,8/21/2017,11:58,RYI,65.0,3,4.62%,0.0697,314.159,0.348732495,5,300.29,1761,Drepanochloris nannoselene,Soft Body,Drepanochloris,nannoselene,,1,1,4.6,i,BSA.YOLO-1,DK,Moderate sediment and low detritus.,cylinder + 2 cones,3.21,,,,,,,,,
Phyto,8/21/2017,11:58,RYI,65.0,3,4.62%,0.0697,314.159,0.348732495,5,300.29,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,449,916,0.65,c,BSA.YOLO-1,DK,Moderate sediment and low detritus.,sphere,0.27,0.27,0.27,0.27,0.27,0.07,0.07,0.07,0.07,0.07
Phyto,8/21/2017,11:58,RYI 3M,62.0,3,4.84%,0.0697,314.159,0.348732495,5,300.29,44,Achnanthidium minutissimum,Diatom,Achnanthidium,minutissimum,,2,2,14.8,i,BSA.YOLO-2,DK,Moderate sediment and detritus.,elliptic prism,41.96,,,,,,,,,
Phyto,8/21/2017,11:58,RYI 3M,62.0,3,4.84%,0.0697,314.159,0.348732495,5,300.29,481,cf. Gyrosigma sp.,Diatom,Gyrosigma,sp.,,1,1,85.2,i,BSA.YOLO-2,DK,Fragment. Moderate sediment and detritus.,prism on parallelogram,2931.73,,,,,,,,,
Phyto,8/21/2017,11:58,RYI 3M,62.0,3,4.84%,0.0697,314.159,0.348732495,5,300.29,1037,Chlorella sp.,Soft Body,Chlorella,sp.,,11,11,2.8,i,BSA.YOLO-2,DK,Moderate sediment and detritus.,sphere,11.49,,,,,,,,,
Phyto,8/21/2017,11:58,RYI 3M,62.0,3,4.84%,0.0697,314.159,0.348732495,5,300.29,1761,Drepanochloris nannoselene,Soft Body,Drepanochloris,nannoselene,,4,4,3.7,i,BSA.YOLO-2,DK,Moderate sediment and detritus.,cylinder + 2 cones,2.64,,,,,,,,,
Phyto,8/21/2017,11:58,RYI 3M,62.0,3,4.84%,0.0697,314.159,0.348732495,5,300.29,1134,Monoraphidium contortum,Soft Body,Monoraphidium,contortum,,1,1,20.4,i,BSA.YOLO-2,DK,Moderate sediment and detritus.,2 cones,38.56,,,,,,,,,
Phyto,8/21/2017,11:58,RYI 3M,62.0,3,4.84%,0.0697,314.159,0.348732495,5,300.29,1299,cf. Westella botryoides,Soft Body,Westella,botryoides,,1,8,3.7,c,BSA.YOLO-2,DK,Moderate sediment and detritus.,sphere,26.52,,,,,,,,,
Phyto,8/21/2017,11:58,RYI 3M,62.0,3,4.84%,0.0697,314.159,0.348732495,5,300.29,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,484,990,0.65,c,BSA.YOLO-2,DK,Moderate sediment and detritus.,sphere,0.27,0.27,0.27,0.27,0.27,0.07,0.07,0.07,0.07,0.07
Phyto,8/21/2017,12:21,LIB,64.5,2,3.10%,0.0697,314.159,0.836957988,12,187.68,750,Nitzschia spp.,Diatom,Nitzschia,spp.,,2,2,15,i,BSA.YOLO-3,KS,,prism on parallelogram,30.00,,,,,,,,,
Phyto,8/21/2017,12:21,LIB,64.5,2,3.10%,0.0697,314.159,0.836957988,12,187.68,935,Stephanodiscus binderanus,Diatom,Stephanodiscus,binderanus,,1,1,9.3,i,BSA.YOLO-3,KS,,cylinder,399.98,,,,,,,,,
Phyto,8/21/2017,12:21,LIB,64.5,2,3.10%,0.0697,314.159,0.836957988,12,187.68,1007,cf. Ulnaria ulna,Diatom,Ulnaria,ulna,,2,2,7.4,i,BSA.YOLO-3,KS,Fragment.,elliptic prism,120.42,,,,,,,,,
Phyto,8/21/2017,12:21,LIB,64.5,2,3.10%,0.0697,314.159,0.836957988,12,187.68,1037,Chlorella sp.,Soft Body,Chlorella,sp.,,20,20,2.4,i,BSA.YOLO-3,KS,,sphere,7.24,,,,,,,,,
Phyto,8/21/2017,12:21,LIB,64.5,2,3.10%,0.0697,314.159,0.836957988,12,187.68,1115,cf. Kirchneriella sp.,Soft Body,Kirchneriella,sp.,,1,1,11.1,i,BSA.YOLO-3,KS,,2 cones,45.57,,,,,,,,,
Phyto,8/21/2017,12:21,LIB,64.5,2,3.10%,0.0697,314.159,0.836957988,12,187.68,1235,Scenedesmus sp.,Soft Body,Scenedesmus,sp.,,1,2,4.6,c,BSA.YOLO-3,KS,,prolate spheroid,9.63,,,,,,,,,
Phyto,8/21/2017,12:21,LIB,64.5,2,3.10%,0.0697,314.159,0.836957988,12,187.68,1733,cf. Plagioselmis prolonga,Soft Body,Plagioselmis,prolonga,,1,1,7.4,i,BSA.YOLO-3,KS,,cone + half sphere,172.03,,,,,,,,,
Phyto,8/21/2017,12:21,LIB,64.5,2,3.10%,0.0697,314.159,0.836957988,12,187.68,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,370,877,0.65,c,BSA.YOLO-3,KS,,sphere,0.27,0.27,0.27,0.27,0.27,0.07,0.07,0.07,0.07,0.07
Phyto,8/21/2017,12:21,LIB,64.5,2,3.10%,0.0697,314.159,0.836957988,12,187.68,1420,Chroococcus minimus,Soft Body,Chroococcus,minimus,,1,2,2.2,c,BSA.YOLO-3,KS,,sphere,5.58,,,,,,,,,
Phyto,8/21/2017,12:21,LIB,64.5,2,3.10%,0.0697,314.159,0.836957988,12,187.68,1471,Merismopedia tenuissima,Soft Body,Merismopedia,tenuissima,,1,4,1.1,c,BSA.YOLO-3,KS,,cube,1.33,,,,,,,,,
Phyto,8/21/2017,12:21,LIB,64.5,2,3.10%,0.0697,314.159,0.836957988,12,187.68,1519,Snowella sp.,Soft Body,Snowella,sp.,,3,14,0.9,c,BSA.YOLO-3,KS,,sphere,0.38,,,,,,,,,
Phyto,8/21/2017,12:21,LIB,64.5,2,3.10%,0.0697,314.159,0.836957988,12,187.68,1526,cf. Synechococcus sp.,Soft Body,Synechococcus,sp.,,1,2,1.8,c,BSA.YOLO-3,KS,,sphere,3.05,,,,,,,,,
