MethodCode,SampleDate,SampleTime,StationCode,Depth (m),Volume Received (mL),Volume Analyzed (mL),Percent of Sample Counted,Field-of-view (mm²),Slide/ Chamber Area (mm²),Area Counted,Number of Fields Counted,Factor,BSA_TIN,Taxon,Diatom/SoftBody,Genus,Species,Synonym,Unit Abundance,Number of cells per unit,GALD 1,GALD 2,GALD 3,Colony/Filament/Individual Group Code,BSA#,Taxonomist,Comments,Shape,Biovolume 1,Biovolume 2,Biovolume 3,Biovolume 4,Biovolume 5,Biovolume 6,Biovolume 7,Biovolume 8,Biovolume 9,Biovolume 10,Dimension,Measurement average,Measurement 1,Measurement 2,Measurement 3,Measurement 4,Measurement 5,Measurement 6,Measurement 7,Measurement 8,Measurement 9,Measurement 10,Measurement 11,Measurement 12,Measurement 13,Measurement 14,Measurement 15,Measurement 16,Measurement 17,Measurement 18,Measurement 19,Measurement 20,Measurement 21,Measurement 22,Measurement 23,Measurement 24,Measurement 25
Phyto,9/30/2019,9:23,SHR,1,62.0,1,1.61%,0.0683,314.159,3.0735,45,102.22,42,Achnanthidium gracillimum,Diatom,Achnanthidium,gracillimum,,1,1,16.7,,,i,BSA.YOLO-01,CT,,elliptic prism,179.56,,,,,,,,,,Length,16.7,16.7,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,3.7,3.7,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,3.7,3.7,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,9/30/2019,9:23,SHR,1,62.0,1,1.61%,0.0683,314.159,3.0735,45,102.22,44,Achnanthidium minutissimum,Diatom,Achnanthidium,minutissimum,,1,1,14.8,,,i,BSA.YOLO-01,CT,,elliptic prism,159.13,,,,,,,,,,Length,14.8,14.8,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,3.7,3.7,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,3.7,3.7,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,9/30/2019,9:23,SHR,1,62.0,1,1.61%,0.0683,314.159,3.0735,45,102.22,190,cf. Cyclotella sp.,Diatom,Cyclotella,sp.,,3,3,9.3,,,i,BSA.YOLO-01,CT,,cylinder,266.65,,,,,,,,,,Length,6.2,7.4,7.4,3.7,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,7.4,9.3,9.3,3.7,,,,,,,,,,,,,,,,,,,,,,
Phyto,9/30/2019,9:23,SHR,1,62.0,1,1.61%,0.0683,314.159,3.0735,45,102.22,310,Encyonema sp.,Diatom,Encyonema,sp.,,1,1,14.8,,,i,BSA.YOLO-01,CT,,cymbelloid,102.23,,,,,,,,,,Length,14.8,14.8,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,5.6,5.6,,,,,,,,,,,,,,,,,,,,,,,,
