SampleID,Genus,BV.Density,,Year,Month,StationCode,Region,WYType,FlowPulseType,FlowPulseCategory,ActionPhase
STTD.2014.08.05,Chlorella,5101.096,,2014,Aug,STTD,Upstream,C,NF,Low,Before
STTD.2014.08.05,Cyclotella,128294.166,,2014,Aug,STTD,Upstream,C,NF,Low,Before
STTD.2014.08.05,Drepanochloris,442.442,,2014,Aug,STTD,Upstream,C,NF,Low,Before
STTD.2014.08.05,Epithemia,31928.897,,2014,Aug,STTD,Upstream,C,NF,Low,Before
STTD.2014.08.05,Eucapsis,37129.092,,2014,Aug,STTD,Upstream,C,NF,Low,Before
STTD.2014.08.05,Navicula,167255.088,,2014,Aug,STTD,Upstream,C,NF,Low,Before
STTD.2014.08.05,Nitzschia,95200.105,,2014,Aug,STTD,Upstream,C,NF,Low,Before
STTD.2014.08.05,Sellaphora,19289.27,,2014,Aug,STTD,Upstream,C,NF,Low,Before
LIS.2014.08.05,Aulacoseira,81298.6206,,2014,Aug,LIS,Upstream,C,NF,Low,Before
LIS.2014.08.05,Cyclotella,123979.946,,2014,Aug,LIS,Upstream,C,NF,Low,Before
LIS.2014.08.05,Eucapsis,85416.7006,,2014,Aug,LIS,Upstream,C,NF,Low,Before
LIS.2014.08.05,Nitzschia,34530.1008,,2014,Aug,LIS,Upstream,C,NF,Low,Before
LIS.2014.08.05,Thalassiosira,123978.6591,,2014,Aug,LIS,Upstream,C,NF,Low,Before
STTD.2014.08.14,Amphora,182372.7906,,2014,Aug,STTD,Upstream,C,NF,Low,Before
STTD.2014.08.14,Aulacoseira,1438339.102,,2014,Aug,STTD,Upstream,C,NF,Low,Before
STTD.2014.08.14,Cyclotella,73437.7644,,2014,Aug,STTD,Upstream,C,NF,Low,Before
STTD.2014.08.14,Diploneis,441307.6668,,2014,Aug,STTD,Upstream,C,NF,Low,Before
STTD.2014.08.14,Epithemia,982307.1258,,2014,Aug,STTD,Upstream,C,NF,Low,Before
STTD.2014.08.14,Eucapsis,18749.5308,,2014,Aug,STTD,Upstream,C,NF,Low,Before
STTD.2014.08.14,Melosira,7443300.665,,2014,Aug,STTD,Upstream,C,NF,Low,Before
STTD.2014.08.14,Nitzschia,240648.408,,2014,Aug,STTD,Upstream,C,NF,Low,Before
STTD.2014.08.14,Pleurosigma,272297.025,,2014,Aug,STTD,Upstream,C,NF,Low,Before
LIS.2014.08.14,Cyclotella,26625.5226,,2014,Aug,LIS,Upstream,C,NF,Low,Before
LIS.2014.08.14,Eucapsis,40033.774,,2014,Aug,LIS,Upstream,C,NF,Low,Before
LIS.2014.08.14,Sphaerospermopsis,88622.0196,,2014,Aug,LIS,Upstream,C,NF,Low,Before
STTD.2014.08.21,Chlorella,14931.8208,,2014,Aug,STTD,Upstream,C,NF,Low,Before
