MethodCode,SampleDate,SampleTime,StationCode,Volume Received (mL),Volume Analyzed (mL),Percent of Sample Counted,Field-of-view (mm²),Slide/ Chamber Area (mm²),Area Counted,Number of Fields Counted,Factor,BSA_TIN,Taxon,Diatom/SoftBody,Genus,Species,Synonym,Unit Abundance,Number of cells per unit,GALD,Colony/Filament/Individual Group Code,BSA#,Taxonomist,Comments,Shape,Biovolume 1,Biovolume 2,Biovolume 3,Biovolume 4,Biovolume 5,Biovolume 6,Biovolume 7,Biovolume 8,Biovolume 9,Biovolume 10,
Phyto,1/8/2016,13:20,D6,64,3,4.69%,0.0697,314.159,0.836957988,12,125.12,175,Cyclotella atomus,Diatom,Cyclotella,atomus,,1,1,7.4,i,BSA.01-01,JW,Low sediment and moderate detritus.,cylinder,172.03,,,,,,,,,,
Phyto,1/8/2016,13:20,D6,64,3,4.69%,0.0697,314.159,0.836957988,12,125.12,987,Thalassiosira sp.,Diatom,Thalassiosira,sp.,,1,1,31.5,i,BSA.01-01,JW,Low sediment and moderate detritus.,cylinder,11689.66,,,,,,,,,,
Phyto,1/8/2016,13:20,D6,64,3,4.69%,0.0697,314.159,0.836957988,12,125.12,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,2,2,9.3,i,BSA.01-01,JW,Low sediment and moderate detritus.,cone + half sphere,337.38,,,,,,,,,,
Phyto,1/8/2016,13:20,D6,64,3,4.69%,0.0697,314.159,0.836957988,12,125.12,1649,Rhodomonas salina,Soft Body,Rhodomonas,salina,,1,1,14.8,i,BSA.01-01,JW,Low sediment and moderate detritus.,cone + half sphere,1273.05,,,,,,,,,,
Phyto,1/8/2016,13:20,D6,64,3,4.69%,0.0697,314.159,0.836957988,12,125.12,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,424,919,0.65,c,BSA.01-01,JW,Low sediment and moderate detritus.,sphere,0.27,0.27,0.27,0.27,0.27,0.07,0.07,0.07,0.07,0.07,
Phyto,1/8/2016,9:55,D41A,65,3,4.62%,0.0697,314.159,0.976450986,14,107.25,1038,cf. Chlorella spp.,Soft Body,Chlorella,spp.,,2,2,2.8,i,BSA.01-02,JW,Low sediment and moderate detritus.,sphere,11.49,,,,,,,,,,
Phyto,1/8/2016,9:55,D41A,65,3,4.62%,0.0697,314.159,0.976450986,14,107.25,1346,Cryptomonas erosa,Soft Body,Cryptomonas,erosa,,1,1,16.7,i,BSA.01-02,JW,Low sediment and moderate detritus.,prolate spheroid,478.83,,,,,,,,,,
Phyto,1/8/2016,9:55,D41A,65,3,4.62%,0.0697,314.159,0.976450986,14,107.25,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,1,1,9.3,i,BSA.01-02,JW,Low sediment and moderate detritus.,cone + half sphere,337.38,,,,,,,,,,
Phyto,1/8/2016,9:55,D41A,65,3,4.62%,0.0697,314.159,0.976450986,14,107.25,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,416,989,0.65,c,BSA.01-02,JW,Low sediment and moderate detritus.,sphere,0.27,0.27,0.27,0.27,0.27,0.07,0.07,0.07,0.07,0.07,
Phyto,1/8/2016,10:50,D41,65,6,9.23%,0.0697,314.159,0.976450986,14,53.62,766,Paralia sulcata,Diatom,Paralia,sulcata,,2,2,13,c,BSA.01-03,JW,Moderate detritus.,cylinder,1234.41,,,,,,,,,,
