MethodCode,SampleDate,SampleTime,StationCode,Volume Received (mL),Volume Analyzed (mL),Percent of Sample Counted,Field-of-view (mm²),Slide/ Chamber Area (mm²),Area Counted,Number of Fields Counted,Factor,BSA_TIN,Taxon,Diatom/SoftBody,Genus,Species,Synonym,Unit Abundance,Number of cells per unit,GALD,Colony/Filament/Individual Group Code,BSA#,Taxonomist,Comments,Shape,Biovolume 1,Biovolume 2,Biovolume 3,Biovolume 4,Biovolume 5,Biovolume 6,Biovolume 7,Biovolume 8,Biovolume 9,Biovolume 10
Phyto,7/15/2016,10:10,D41,63,6,9.52%,0.0697,314.159,0.488225493,7,107.25,1032,Chlamydomonas spp.,Soft Body,Chlamydomonas,spp.,,3,3,5.6,i,BSA.07-01,KS,Moderate sediment and detritus.,sphere,91.95,,,,,,,,,
Phyto,7/15/2016,10:10,D41,63,6,9.52%,0.0697,314.159,0.488225493,7,107.25,1037,Chlorella sp.,Soft Body,Chlorella,sp.,,3,3,3.7,i,BSA.07-01,KS,Moderate sediment and detritus.,sphere,26.52,,,,,,,,,
Phyto,7/15/2016,10:10,D41,63,6,9.52%,0.0697,314.159,0.488225493,7,107.25,1352,Cryptomonas sp.,Soft Body,Cryptomonas,sp.,,1,1,16.7,i,BSA.07-01,KS,Moderate sediment and detritus.,prolate spheroid,1077.36,,,,,,,,,
Phyto,7/15/2016,10:10,D41,63,6,9.52%,0.0697,314.159,0.488225493,7,107.25,1357,cf. Hemiselmis sp.,Soft Body,Hemiselmis,sp.,,3,3,4.6,i,BSA.07-01,KS,Moderate sediment and detritus.,prolate spheroid,26.23,,,,,,,,,
Phyto,7/15/2016,10:10,D41,63,6,9.52%,0.0697,314.159,0.488225493,7,107.25,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,6,6,7.4,i,BSA.07-01,KS,Moderate sediment and detritus.,cone + half sphere,184.94,,,,,,,,,
Phyto,7/15/2016,10:10,D41,63,6,9.52%,0.0697,314.159,0.488225493,7,107.25,1365,Rhodomonas lacustris,Soft Body,Rhodomonas,lacustris,,4,4,16.5,i,BSA.07-01,KS,Moderate sediment and detritus.,cone + half sphere,1305.20,,,,,,,,,
Phyto,7/15/2016,10:10,D41,63,6,9.52%,0.0697,314.159,0.488225493,7,107.25,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,430,999,0.65,c,BSA.07-01,KS,Moderate sediment and detritus.,sphere,0.27,0.27,0.27,0.27,0.27,0.07,0.07,0.07,0.07,0.07
Phyto,7/15/2016,10:10,D41,63,6,9.52%,0.0697,314.159,0.488225493,7,107.25,1477,cf. Microcystis sp.,Soft Body,Microcystis,sp.,,1,1,3.7,i,BSA.07-01,KS,Moderate sediment and detritus.,sphere,26.52,,,,,,,,,
Phyto,7/15/2016,10:10,D41,63,6,9.52%,0.0697,314.159,0.488225493,7,107.25,1709,Planktolyngbya sp.,Soft Body,Planktolyngbya,sp.,,2,35,1.9,f,BSA.07-01,KS,Moderate sediment and detritus.,cylinder,0.96,,,,,,,,,
Phyto,7/15/2016,10:10,D41,63,6,9.52%,0.0697,314.159,0.488225493,7,107.25,1519,Snowella sp.,Soft Body,Snowella,sp.,,1,6,0.9,c,BSA.07-01,KS,Moderate sediment and detritus.,sphere,0.38,,,,,,,,,
Phyto,7/15/2016,10:10,D41,63,6,9.52%,0.0697,314.159,0.488225493,7,107.25,1678,cf. Synechococcus salinarum,Soft Body,Synechococcus,salinarum,,27,27,1.9,i,BSA.07-01,KS,Moderate sediment and detritus.,sphere,3.59,,,,,,,,,
Phyto,7/13/2016,11:50,EZ6,66,1,1.52%,0.0697,314.159,0.418478994,6,750.72,750,Nitzschia spp.,Diatom,Nitzschia,spp.,,2,2,13,i,BSA.07-02,KS,,prism on parallelogram,45.70,,,,,,,,,
Phyto,7/13/2016,11:50,EZ6,66,1,1.52%,0.0697,314.159,0.418478994,6,750.72,1037,Chlorella sp.,Soft Body,Chlorella,sp.,,2,2,2.8,i,BSA.07-02,KS,,sphere,11.49,,,,,,,,,
Phyto,7/13/2016,11:50,EZ6,66,1,1.52%,0.0697,314.159,0.418478994,6,750.72,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,354,870,0.65,c,BSA.07-02,KS,,sphere,0.27,0.27,0.27,0.27,0.27,0.07,0.07,0.07,0.07,0.07
Phyto,7/13/2016,11:50,EZ6,66,1,1.52%,0.0697,314.159,0.418478994,6,750.72,1709,Planktolyngbya sp.,Soft Body,Planktolyngbya,sp.,,1,5,1.9,f,BSA.07-02,KS,,cylinder,0.96,,,,,,,,,
Phyto,7/13/2016,11:50,EZ6,66,1,1.52%,0.0697,314.159,0.418478994,6,750.72,1519,Snowella sp.,Soft Body,Snowella,sp.,,3,22,0.9,c,BSA.07-02,KS,,sphere,0.38,,,,,,,,,
Phyto,7/13/2016,11:50,EZ6,66,1,1.52%,0.0697,314.159,0.418478994,6,750.72,1526,cf. Synechococcus sp.,Soft Body,Synechococcus,sp.,,47,47,2.4,i,BSA.07-02,KS,,sphere,7.24,,,,,,,,,
Phyto,7/15/2016,11:45,D6,64,3,4.69%,0.0697,314.159,0.418478994,6,250.24,1037,Chlorella sp.,Soft Body,Chlorella,sp.,,2,2,3.7,i,BSA.07-03,KS,Moderate sediment.,sphere,26.52,,,,,,,,,
Phyto,7/15/2016,11:45,D6,64,3,4.69%,0.0697,314.159,0.418478994,6,250.24,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,514,1145,0.65,c,BSA.07-03,KS,Moderate sediment.,sphere,0.27,0.27,0.27,0.27,0.27,0.07,0.07,0.07,0.07,0.07
Phyto,7/15/2016,11:45,D6,64,3,4.69%,0.0697,314.159,0.418478994,6,250.24,1423,Chroococcus sp.,Soft Body,Chroococcus,sp.,,1,2,2.8,c,BSA.07-03,KS,Moderate sediment.,sphere,11.49,,,,,,,,,
Phyto,7/15/2016,11:45,D6,64,3,4.69%,0.0697,314.159,0.418478994,6,250.24,1519,Snowella sp.,Soft Body,Snowella,sp.,,5,27,0.9,c,BSA.07-03,KS,Moderate sediment.,sphere,0.38,,,,,,,,,
Phyto,7/15/2016,11:45,D6,64,3,4.69%,0.0697,314.159,0.418478994,6,250.24,1526,cf. Synechococcus sp.,Soft Body,Synechococcus,sp.,,68,68,1.4,i,BSA.07-03,KS,Moderate sediment.,sphere,1.44,,,,,,,,,
