MethodCode,SampleDate,SampleTime,StationCode,Volume Received (mL),Volume Analyzed (mL),Percent of Sample Counted,Field-of-view (mm²),Slide/ Chamber Area (mm²),Area Counted,Number of Fields Counted,Factor,BSA_TIN,Taxon,Diatom/SoftBody,Genus,Species,Synonym,Unit Abundance,Number of cells per unit,GALD 1,Colony/Filament/Individual Group Code,BSA#,Taxonomist,Comments,Shape,Biovolume 1,Biovolume 2,Biovolume 3,Biovolume 4,Biovolume 5,Biovolume 6,Biovolume 7,Biovolume 8,Biovolume 9,Biovolume 10
Phyto,7/9/2020,6:25,D12,54.0,1,1.85%,0.0683,314.159,1.7758,26,176.91,701,Nitzschia filiformis,Diatom,Nitzschia,filiformis,,1,1,66.7,i,BSA.07-01,LA,,prism on parallelogram,533.60,,,,,,,,,
Phyto,7/9/2020,6:25,D12,54.0,1,1.85%,0.0683,314.159,1.7758,26,176.91,1393,Aphanizomenon sp.,Soft Body,Aphanizomenon,sp.,,2,66,7.4,f,BSA.07-01,LA,,cylinder,70.37,,,,,,,,,
Phyto,7/9/2020,6:25,D12,54.0,1,1.85%,0.0683,314.159,1.7758,26,176.91,1423,Chroococcus sp.,Soft Body,Chroococcus,sp.,,21,25,5,c,BSA.07-01,LA,,sphere,36.09,,,,,,,,,
Phyto,7/9/2020,6:25,D12,54.0,1,1.85%,0.0683,314.159,1.7758,26,176.91,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,381,762,0.8,c,BSA.07-01,LA,,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,7/8/2020,8:30,C9,61.0,2,3.28%,0.0683,314.159,1.5026,22,104.54,145,Cocconeis placentula,Diatom,Cocconeis,placentula,,1,1,20.4,i,BSA.07-02,LA,,elliptic prism,961.33,,,,,,,,,
Phyto,7/8/2020,8:30,C9,61.0,2,3.28%,0.0683,314.159,1.5026,22,104.54,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,1,1,7.4,i,BSA.07-02,LA,,cylinder,240.85,,,,,,,,,
Phyto,7/8/2020,8:30,C9,61.0,2,3.28%,0.0683,314.159,1.5026,22,104.54,1986,Gomphonema variostriatum,Diatom,Gomphonema,variostriatum,,1,1,7.8,i,BSA.07-02,LA,,gomphonemoid,84.15,,,,,,,,,
Phyto,7/8/2020,8:30,C9,61.0,2,3.28%,0.0683,314.159,1.5026,22,104.54,1938,Navicula caroliniae,Diatom,Navicula,caroliniae,,1,1,35.2,i,BSA.07-02,LA,,elliptic prism,1799.75,,,,,,,,,
Phyto,7/8/2020,8:30,C9,61.0,2,3.28%,0.0683,314.159,1.5026,22,104.54,1967,Nitzschia desertorum ,Diatom,Nitzschia,desertorum ,,1,1,18.5,i,BSA.07-02,LA,,prism on parallelogram,83.25,,,,,,,,,
Phyto,7/8/2020,8:30,C9,61.0,2,3.28%,0.0683,314.159,1.5026,22,104.54,1393,Aphanizomenon sp.,Soft Body,Aphanizomenon,sp.,,4,154,7.4,f,BSA.07-02,LA,,cylinder,145.32,,,,,,,,,
Phyto,7/8/2020,8:30,C9,61.0,2,3.28%,0.0683,314.159,1.5026,22,104.54,1423,Chroococcus sp.,Soft Body,Chroococcus,sp.,,51,63,5.6,c,BSA.07-02,LA,,sphere,57.91,,,,,,,,,
Phyto,7/8/2020,8:30,C9,61.0,2,3.28%,0.0683,314.159,1.5026,22,104.54,1766,Dolichospermum sp.,Soft Body,Dolichospermum,sp.,,1,11,7.4,f,BSA.07-02,LA,,sphere,160.56,,,,,,,,,
Phyto,7/8/2020,8:30,C9,61.0,2,3.28%,0.0683,314.159,1.5026,22,104.54,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,341,682,0.8,c,BSA.07-02,LA,,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,7/8/2020,8:30,C9,61.0,2,3.28%,0.0683,314.159,1.5026,22,104.54,1508,Pseudanabaena sp.,Soft Body,Pseudanabaena,sp.,,8,41,4.5,f,BSA.07-02,LA,,cylinder,8.65,,,,,,,,,
Phyto,7/9/2020,8:55,D19,53.0,3,5.66%,0.0683,314.159,1.2977,19,80.70,145,Cocconeis placentula,Diatom,Cocconeis,placentula,,3,3,24.1,i,BSA.07-03,LA,,elliptic prism,1599.19,,,,,,,,,
Phyto,7/9/2020,8:55,D19,53.0,3,5.66%,0.0683,314.159,1.2977,19,80.70,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,2,2,27.8,i,BSA.07-03,LA,,cylinder,3882.42,,,,,,,,,
Phyto,7/9/2020,8:55,D19,53.0,3,5.66%,0.0683,314.159,1.2977,19,80.70,1985,Nitzschia columbiana,Diatom,Nitzschia,columbiana,,1,1,46.3,i,BSA.07-03,LA,,prism on parallelogram,316.92,,,,,,,,,
Phyto,7/9/2020,8:55,D19,53.0,3,5.66%,0.0683,314.159,1.2977,19,80.70,1967,Nitzschia desertorum ,Diatom,Nitzschia,desertorum ,,1,1,14.8,i,BSA.07-03,LA,,prism on parallelogram,66.60,,,,,,,,,
Phyto,7/9/2020,8:55,D19,53.0,3,5.66%,0.0683,314.159,1.2977,19,80.70,1037,Chlorella sp.,Soft Body,Chlorella,sp.,,2,2,6.3,i,BSA.07-03,LA,,sphere,130.92,,,,,,,,,
Phyto,7/9/2020,8:55,D19,53.0,3,5.66%,0.0683,314.159,1.2977,19,80.70,1242,cf. Selenastrum sp.,Soft Body,Selenastrum,sp.,,2,2,9,i,BSA.07-03,LA,,prolate spheroid,17.80,,,,,,,,,
Phyto,7/9/2020,8:55,D19,53.0,3,5.66%,0.0683,314.159,1.2977,19,80.70,1393,Aphanizomenon sp.,Soft Body,Aphanizomenon,sp.,,7,238,6.3,i,BSA.07-03,LA,,cylinder,82.70,,,,,,,,,
Phyto,7/9/2020,8:55,D19,53.0,3,5.66%,0.0683,314.159,1.2977,19,80.70,1423,Chroococcus sp.,Soft Body,Chroococcus,sp.,,43,49,6,i,BSA.07-03,LA,,sphere,69.46,,,,,,,,,
Phyto,7/9/2020,8:55,D19,53.0,3,5.66%,0.0683,314.159,1.2977,19,80.70,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,354,708,0.8,c,BSA.07-03,LA,,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,7/9/2020,8:55,D19,53.0,3,5.66%,0.0683,314.159,1.2977,19,80.70,1508,Pseudanabaena sp.,Soft Body,Pseudanabaena,sp.,,5,24,2.8,i,BSA.07-03,LA,,cylinder,6.11,,,,,,,,,
