MethodCode,SampleDate,SampleTime,StationCode,Volume Received (mL),Volume Analyzed (mL),Percent of Sample Counted,Field-of-view (mm²),Slide/ Chamber Area (mm²),Area Counted,Number of Fields Counted,Factor,BSA_TIN,Taxon,Diatom/SoftBody,Genus,Species,Synonym,Unit Abundance,Number of cells per unit,GALD,Colony/Filament/Individual Group Code,BSA#,Taxonomist,Comments,Shape,Biovolume 1,Biovolume 2,Biovolume 3,Biovolume 4,Biovolume 5,Biovolume 6,Biovolume 7,Biovolume 8,Biovolume 9,Biovolume 10
Phyto,3/11/2015,8:45,D19,67,2,2.99%,0.0697,314.159,0.418478994,6,375.36,147,Cocconeis sp.,Diatom,Cocconeis,sp.,,1,1,15,i,BSA.03-01,KS,Fragment. Low sediment and detritus. ,elliptic prism,405.38,,,,,,,,,
Phyto,3/11/2015,8:45,D19,67,2,2.99%,0.0697,314.159,0.418478994,6,375.36,987,cf. Thalassiosira sp.,Diatom,Thalassiosira,sp.,,1,1,26.2,i,BSA.03-01,KS,Low sediment and detritus. ,cylinder,5013.89,,,,,,,,,
Phyto,3/11/2015,8:45,D19,67,2,2.99%,0.0697,314.159,0.418478994,6,375.36,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,429,1003,0.85,c,BSA.03-01,KS,Low sediment and detritus. ,sphere,0.27,0.27,0.27,0.27,0.27,0.38,0.38,0.38,0.38,0.38
Phyto,3/11/2015,8:45,D19,67,2,2.99%,0.0697,314.159,0.418478994,6,375.36,1678,cf. Synechococcus salinarum,Soft Body,Synechococcus,salinarum,,42,42,5.6,i,BSA.03-01,KS,Low sediment and detritus. ,sphere,91.95,,,,,,,,,
Phyto,3/12/2015,10:40,P8,65,3,4.62%,0.0697,314.159,0.69746499,10,150.14,46,cf. Achnanthidium sp.,Diatom,Achnanthidium,sp.,,1,1,31.8,i,BSA.03-02,KS,Moderate sediment and low detritus.,elliptic prism,341.92,,,,,,,,,
Phyto,3/12/2015,10:40,P8,65,3,4.62%,0.0697,314.159,0.69746499,10,150.14,1651,Cyclotella cf. striata,Diatom,Cyclotella,striata,,1,1,13.1,i,BSA.03-02,KS,Fragment. Moderate sediment and low detritus.,cylinder,754.78,,,,,,,,,
Phyto,3/12/2015,10:40,P8,65,3,4.62%,0.0697,314.159,0.69746499,10,150.14,631,cf. Navicula sp.,Diatom,Navicula,sp.,,1,1,16.8,i,BSA.03-02,KS,Obscured by detritus. Moderate sediment and low detritus.,elliptic prism,273.39,,,,,,,,,
Phyto,3/12/2015,10:40,P8,65,3,4.62%,0.0697,314.159,0.69746499,10,150.14,1235,Scenedesmus sp.,Soft Body,Scenedesmus,sp.,,1,2,7.5,c,BSA.03-02,KS,Obscured by detritus. Moderate sediment and low detritus.,prolate spheroid,14.18,,,,,,,,,
Phyto,3/12/2015,10:40,P8,65,3,4.62%,0.0697,314.159,0.69746499,10,150.14,1347,Cryptomonas marssonii,Soft Body,Cryptomonas,marssonii,,1,1,28,i,BSA.03-02,KS,Moderate sediment and low detritus.,prolate spheroid,2515.93,,,,,,,,,
Phyto,3/12/2015,10:40,P8,65,3,4.62%,0.0697,314.159,0.69746499,10,150.14,1364,cf. Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,2,2,11.2,i,BSA.03-02,KS,Moderate sediment and low detritus.,cone + half sphere,548.43,,,,,,,,,
