MethodCode,SampleDate,SampleTime,StationCode,Volume Received (mL),Volume Analyzed (mL),Percent of Sample Counted,Field-of-view (mm²),Slide/ Chamber Area (mm²),Area Counted,Number of Fields Counted,Factor,BSA_TIN,Taxon,Diatom/SoftBody,Genus,Species,Synonym,Unit Abundance,Number of cells per unit,GALD 1,Colony/Filament/Individual Group Code,BSA#,Taxonomist,Comments,Shape,Biovolume 1,Biovolume 2,Biovolume 3,Biovolume 4,Biovolume 5,Biovolume 6,Biovolume 7,Biovolume 8,Biovolume 9,Biovolume 10
Phyto,3/2/2020,10:45,C3A-Hood,61.0,2,3.28%,0.0697,314.159,1.2546,18,125.20,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,2,2,9.3,i,BSA.03-01,BB,,cylinder,631.74,,,,,,,,,
Phyto,3/2/2020,10:45,C3A-Hood,61.0,2,3.28%,0.0697,314.159,1.2546,18,125.20,1037,Chlorella sp.,Soft Body,Chlorella,sp.,,10,10,1.9,i,BSA.03-01,BB,,sphere,3.59,,,,,,,,,
Phyto,3/2/2020,10:45,C3A-Hood,61.0,2,3.28%,0.0697,314.159,1.2546,18,125.20,1134,Monoraphidium contortum,Soft Body,Monoraphidium,contortum,,1,1,14.8,i,BSA.03-01,BB,,2 cones,13.10,,,,,,,,,
Phyto,3/2/2020,10:45,C3A-Hood,61.0,2,3.28%,0.0697,314.159,1.2546,18,125.20,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,388,826,0.8,c,BSA.03-01,BB,,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,3/2/2020,12:20,C9,60.0,2,3.33%,0.0697,314.159,1.2546,18,125.20,950,Surirella brebissonii,Diatom,Surirella,brebissonii,,1,1,33.3,i,BSA.03-02,BB,,elliptic prism,5442.07,,,,,,,,,
Phyto,3/2/2020,12:20,C9,60.0,2,3.33%,0.0697,314.159,1.2546,18,125.20,1365,Plagioselmis lacustris,Soft Body,Plagioselmis,lacustris,,1,1,13,i,BSA.03-02,BB,,cone + half sphere,822.94,,,,,,,,,
Phyto,3/2/2020,12:20,C9,60.0,2,3.33%,0.0697,314.159,1.2546,18,125.20,1733,Plagioselmis cf. prolonga,Soft Body,Plagioselmis,prolonga,,2,2,6,i,BSA.03-02,BB,,cone + half sphere,70.48,,,,,,,,,
Phyto,3/2/2020,12:20,C9,60.0,2,3.33%,0.0697,314.159,1.2546,18,125.20,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,407,840,0.8,c,BSA.03-02,BB,,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,3/2/2020,14:30,C10A,58.0,2,3.45%,0.0697,314.159,0.9758,14,160.98,99,Bacillaria paxillifera,Diatom,Bacillaria,paxillifera,,1,1,92.6,i,BSA.03-03,BB,,box,985.26,,,,,,,,,
Phyto,3/2/2020,14:30,C10A,58.0,2,3.45%,0.0697,314.159,0.9758,14,160.98,182,Cyclotella meneghiniana,Diatom,Cyclotella,meneghiniana,,1,1,14.8,i,BSA.03-03,BB,,cylinder,1376.27,,,,,,,,,
