MethodCode,SampleDate,SampleTime,StationCode,Volume Received (mL),Volume Analyzed (mL),Percent of Sample Counted,Field-of-view (mm²),Slide/ Chamber Area (mm²),Area Counted,Number of Fields Counted,Factor,BSA_TIN,Taxon,Diatom/SoftBody,Genus,Species,Synonym,Unit Abundance,Number of cells per unit,GALD,Colony/Filament/Individual Group Code,BSA#,Taxonomist,Comments,Shape,Biovolume 1,Biovolume 2,Biovolume 3,Biovolume 4,Biovolume 5,Biovolume 6,Biovolume 7,Biovolume 8,Biovolume 9,Biovolume 10,
Phyto,5/11/2016,8:30,D19,62,2,3.23%,0.0697,314.159,0.418478994,6,375.36,91,Aulacoseira granulata,Diatom,Aulacoseira,granulata,,15,15,25.9,c,BSA.05-01,KS,Moderate sediment and detritus.,cylinder,2506.31,,,,,,,,,,
Phyto,5/11/2016,8:30,D19,62,2,3.23%,0.0697,314.159,0.418478994,6,375.36,95,Aulacoseira sp. ,Diatom,Aulacoseira,sp.,,14,14,38.9,c,BSA.05-01,KS,Moderate sediment and detritus.,cylinder,3764.31,,,,,,,,,,
Phyto,5/11/2016,8:30,D19,62,2,3.23%,0.0697,314.159,0.418478994,6,375.36,145,Cocconeis placentula,Diatom,Cocconeis,placentula,,1,1,18.5,i,BSA.05-01,KS,Moderate sediment and detritus.,elliptic prism,596.74,,,,,,,,,,
Phyto,5/11/2016,8:30,D19,62,2,3.23%,0.0697,314.159,0.418478994,6,375.36,956,Surirella sp.,Diatom,Surirella,sp.,,1,1,96.3,i,BSA.05-01,KS,Moderate sediment and detritus.,elliptic prism,19701.09,,,,,,,,,,
Phyto,5/11/2016,8:30,D19,62,2,3.23%,0.0697,314.159,0.418478994,6,375.36,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,301,595,0.8,c,BSA.05-01,KS,Moderate sediment and detritus.,sphere,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,
Phyto,5/11/2016,8:30,D19,62,2,3.23%,0.0697,314.159,0.418478994,6,375.36,1678,cf. Synechococcus salinarum,Soft Body,Synechococcus,salinarum,,107,107,3.7,i,BSA.05-01,KS,Moderate sediment and detritus.,sphere,26.52,,,,,,,,,,
Phyto,5/11/2016,9:25,D28A,59,6,10.17%,0.0697,314.159,0.488225493,7,107.25,91,Aulacoseira granulata,Diatom,Aulacoseira,granulata,,4,4,33.3,c,BSA.05-02,KS,Moderate sediment.,cylinder,2262.04,,,,,,,,,,
Phyto,5/11/2016,9:25,D28A,59,6,10.17%,0.0697,314.159,0.488225493,7,107.25,95,Aulacoseira sp. ,Diatom,Aulacoseira,sp.,,131,131,31.5,c,BSA.05-02,KS,Moderate sediment.,cylinder,4181.06,,,,,,,,,,
Phyto,5/11/2016,9:25,D28A,59,6,10.17%,0.0697,314.159,0.488225493,7,107.25,1761,Drepanochloris nannoselene,Soft Body,Drepanochloris,nannoselene,,1,1,5.6,i,BSA.05-02,KS,Moderate sediment.,cylinder + 2 cones,10.78,,,,,,,,,,
Phyto,5/11/2016,9:25,D28A,59,6,10.17%,0.0697,314.159,0.488225493,7,107.25,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,302,610,0.8,c,BSA.05-02,KS,Moderate sediment.,sphere,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,
