MethodCode,SampleDate,SampleTime,StationCode,Volume Received (mL),Volume Analyzed (mL),Percent of Sample Counted,Field-of-view (mm²),Slide/ Chamber Area (mm²),Area Counted,Number of Fields Counted,Factor,BSA_TIN,Taxon,Diatom/SoftBody,Genus,Species,Synonym,Unit Abundance,Number of cells per unit,GALD 1,Colony/Filament/Individual Group Code,BSA#,Taxonomist,Comments,Shape,Biovolume 1,Biovolume 2,Biovolume 3,Biovolume 4,Biovolume 5,Biovolume 6,Biovolume 7,Biovolume 8,Biovolume 9,Biovolume 10
Phyto,5/7/2018,13:00,D22,62.5,1,1.60%,0.0697,314.159,0.418478994,6,750.72,95,Aulacoseira sp. ,Diatom,Aulacoseira,sp.,,1,1,22.2,i,BSA.05-01,KS,Fragment.,cylinder,546.79,,,,,,,,,
Phyto,5/7/2018,13:00,D22,62.5,1,1.60%,0.0697,314.159,0.418478994,6,750.72,1005,cf. Ulnaria sp.,Diatom,Ulnaria,sp.,,1,1,22.2,i,BSA.05-01,KS,Fragment.,elliptic prism,722.54,,,,,,,,,
Phyto,5/7/2018,13:00,D22,62.5,1,1.60%,0.0697,314.159,0.418478994,6,750.72,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,434,876,0.8,c,BSA.05-01,KS,,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,5/8/2018,10:50,D19,59.5,1,1.68%,0.0697,314.159,0.627718491,9,500.48,190,cf. Cyclotella sp.,Diatom,Cyclotella,sp.,,1,1,7.4,i,BSA.05-02,KS,,cylinder,240.85,,,,,,,,,
Phyto,5/8/2018,10:50,D19,59.5,1,1.68%,0.0697,314.159,0.627718491,9,500.48,1735,Rhoicosphenia sp.,Diatom,Rhoicosphenia,sp.,,1,1,9.3,i,BSA.05-02,KS,,gomphonemoid,302.69,,,,,,,,,
Phyto,5/8/2018,10:50,D19,59.5,1,1.68%,0.0697,314.159,0.627718491,9,500.48,1037,cf. Chlorella sp.,Soft Body,Chlorella,sp.,,7,7,2,i,BSA.05-02,KS,,sphere,4.19,,,,,,,,,
Phyto,5/8/2018,10:50,D19,59.5,1,1.68%,0.0697,314.159,0.627718491,9,500.48,1352,Cryptomonas sp.,Soft Body,Cryptomonas,sp.,,1,1,12,i,BSA.05-02,KS,,prolate spheroid,344.07,,,,,,,,,
Phyto,5/8/2018,10:50,D19,59.5,1,1.68%,0.0697,314.159,0.627718491,9,500.48,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,399,829,0.8,c,BSA.05-02,KS,,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,5/9/2018,9:15,D16 Twitchell,63.0,1,1.59%,0.0697,314.159,0.906704487,13,346.48,1764,Bacillaria sp.,Diatom,Bacillaria,sp.,,1,1,13,i,BSA.05-03,KS,Fragment.,box,269.36,,,,,,,,,
Phyto,5/9/2018,9:15,D16 Twitchell,63.0,1,1.59%,0.0697,314.159,0.906704487,13,346.48,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,410,890,0.8,c,BSA.05-03,KS,,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,5/8/2018,9:50,D12,58.0,1,1.72%,0.0697,314.159,0.348732495,5,900.86,190,cf. Cyclotella sp.,Diatom,Cyclotella,sp.,,1,1,5.6,i,BSA.05-04,KS,,cylinder,91.13,,,,,,,,,
Phyto,5/8/2018,9:50,D12,58.0,1,1.72%,0.0697,314.159,0.348732495,5,900.86,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,448,909,0.8,c,BSA.05-04,KS,,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
