MethodCode,SampleDate,SampleTime,StationCode,Volume Received (mL),Volume Analyzed (mL),Percent of Sample Counted,Field-of-view (mm²),Slide/ Chamber Area (mm²),Area Counted,Number of Fields Counted,Factor,BSA_TIN,Taxon,Diatom/SoftBody,Genus,Species,Synonym,Unit Abundance,Number of cells per unit,GALD,Colony/Filament/Individual Group Code,BSA#,Taxonomist,Comments,Shape,Biovolume 1,Biovolume 2,Biovolume 3,Biovolume 4,Biovolume 5,Biovolume 6,Biovolume 7,Biovolume 8,Biovolume 9,Biovolume 10
Phyto,11/7/2016,11:25,EZ6,65,2,3.08%,0.0697,314.159,0.348732495,5,450.43,95,Aulacoseira sp. ,Diatom,Aulacoseira,sp.,,1,1,5.6,i,BSA.11-01,KS,"fragment; high sediment, moderate detritus",cylinder,137.93,,,,,,,,,
Phyto,11/7/2016,11:25,EZ6,65,2,3.08%,0.0697,314.159,0.348732495,5,450.43,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,473,1105,0.65,c,BSA.11-01,KS,"high sediment, moderate detritus",sphere,0.27,0.27,0.27,0.27,0.27,0.07,0.07,0.07,0.07,0.07
Phyto,11/3/2016,7:35,EZ2-SJR,60,3,5.00%,0.0697,314.159,0.557971992,8,187.68,976,Synedra cf. ulna,Diatom,Synedra,ulna,,2,2,9.3,i,BSA.11-02,KS,fragment,box,151.34,,,,,,,,,
Phyto,11/3/2016,7:35,EZ2-SJR,60,3,5.00%,0.0697,314.159,0.557971992,8,187.68,1324,cf. Ochromonas sp.,Soft Body,Ochromonas,sp.,,2,2,4.6,i,BSA.11-02,KS,,cone + half sphere,50.96,,,,,,,,,
Phyto,11/3/2016,7:35,EZ2-SJR,60,3,5.00%,0.0697,314.159,0.557971992,8,187.68,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,2,2,9.3,i,BSA.11-02,KS,,cone + half sphere,328.32,,,,,,,,,
Phyto,11/3/2016,7:35,EZ2-SJR,60,3,5.00%,0.0697,314.159,0.557971992,8,187.68,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,406,893,0.65,c,BSA.11-02,KS,,sphere,0.27,0.27,0.27,0.27,0.27,0.07,0.07,0.07,0.07,0.07
Phyto,11/3/2016,7:35,EZ2-SJR,60,3,5.00%,0.0697,314.159,0.557971992,8,187.68,1423,cf. Chroococcus sp.,Soft Body,Chroococcus,sp.,,1,2,3.7,c,BSA.11-02,KS,,sphere,26.52,,,,,,,,,
Phyto,11/3/2016,7:35,EZ2-SJR,60,3,5.00%,0.0697,314.159,0.557971992,8,187.68,1526,cf. Synechococcus sp.,Soft Body,Synechococcus,sp.,,2,2,1.9,i,BSA.11-02,KS,,sphere,3.59,,,,,,,,,
Phyto,11/3/2016,7:35,EZ2-SJR,60,3,5.00%,0.0697,314.159,0.557971992,8,187.68,1588,Trachelomonas sp.,Soft Body,Trachelomonas,sp.,,1,1,7.4,i,BSA.11-02,KS,,ellipsoid,212.17,,,,,,,,,
Phyto,11/3/2016,9:00,C3A,61,8,13.11%,0.0697,314.159,0.348732495,5,112.61,44,Achnanthidium minutissimum,Diatom,Achnanthidium,minutissimum,,3,3,11.1,i,BSA.11-03,DK,"high sediment, moderate detritus. Many broken diatoms ",elliptic prism,90.32,,,,,,,,,
Phyto,11/3/2016,9:00,C3A,61,8,13.11%,0.0697,314.159,0.348732495,5,112.61,145,Cocconeis placentula,Diatom,Cocconeis,placentula,,2,2,19.4,i,BSA.11-03,DK,"high sediment, moderate detritus. Many broken diatoms ",elliptic prism,321.34,,,,,,,,,
Phyto,11/3/2016,9:00,C3A,61,8,13.11%,0.0697,314.159,0.348732495,5,112.61,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,1,1,5.6,i,BSA.11-03,DK,"Girdle view. high sediment, moderate detritus. Many broken diatoms ",cylinder,137.93,,,,,,,,,
Phyto,11/3/2016,9:00,C3A,61,8,13.11%,0.0697,314.159,0.348732495,5,112.61,1651,Cyclotella cf. striata,Diatom,Cyclotella,striata,,1,1,12,i,BSA.11-03,DK,"high sediment, moderate detritus. Many broken diatoms ",cylinder,633.34,,,,,,,,,
Phyto,11/3/2016,9:00,C3A,61,8,13.11%,0.0697,314.159,0.348732495,5,112.61,277,Diatoma vulgare,Diatom,Diatoma,vulgare,,1,1,26.8,i,BSA.11-03,DK,"fragment; high sediment, moderate detritus Many broken diatoms ",elliptic prism,2172.85,,,,,,,,,
Phyto,11/3/2016,9:00,C3A,61,8,13.11%,0.0697,314.159,0.348732495,5,112.61,631,Navicula sp.,Diatom,Navicula,sp.,,6,6,24.1,i,BSA.11-03,DK,"Girdle view. high sediment, moderate detritus. Many broken diatoms ",elliptic prism,565.95,,,,,,,,,
Phyto,11/3/2016,9:00,C3A,61,8,13.11%,0.0697,314.159,0.348732495,5,112.61,1677,Nitzschia incerta,Diatom,Nitzschia,incerta,,1,1,92.6,i,BSA.11-03,DK,"high sediment, moderate detritus. Many broken diatoms ",prism on parallelogram,959.34,,,,,,,,,
Phyto,11/3/2016,9:00,C3A,61,8,13.11%,0.0697,314.159,0.348732495,5,112.61,866,Pseudostaurosira brevistriata,Diatom,Pseudostaurosira,brevistriata,,5,5,14.8,c,BSA.11-03,DK,"high sediment, moderate detritus. Many broken diatoms ",box,245.96,,,,,,,,,
Phyto,11/3/2016,9:00,C3A,61,8,13.11%,0.0697,314.159,0.348732495,5,112.61,1735,Rhoicosphenia sp.,Diatom,Rhoicosphenia,sp.,,1,1,10.2,i,BSA.11-03,DK,"high sediment, moderate detritus. Many broken diatoms ",gomphonemoid,417.22,,,,,,,,,
Phyto,11/3/2016,9:00,C3A,61,8,13.11%,0.0697,314.159,0.348732495,5,112.61,1039,Chlorella vulgaris,Soft Body,Chlorella,vulgaris,,23,23,3.7,i,BSA.11-03,DK,"high sediment, moderate detritus. Many broken diatoms ",sphere,26.52,,,,,,,,,
Phyto,11/3/2016,9:00,C3A,61,8,13.11%,0.0697,314.159,0.348732495,5,112.61,1692,Kephyrion sp.,Soft Body,Kephyrion,sp.,,1,1,7.4,i,BSA.11-03,DK,"high sediment, moderate detritus. Many broken diatoms ",prolate spheroid,121.51,,,,,,,,,
Phyto,11/3/2016,9:00,C3A,61,8,13.11%,0.0697,314.159,0.348732495,5,112.61,1324,Ochromonas sp.,Soft Body,Ochromonas,sp.,,6,6,4.6,i,BSA.11-03,DK,"high sediment, moderate detritus. Many broken diatoms ",cone + half sphere,50.96,,,,,,,,,
Phyto,11/3/2016,9:00,C3A,61,8,13.11%,0.0697,314.159,0.348732495,5,112.61,1733,cf. Plagioselmis prolonga,Soft Body,Plagioselmis,prolonga,,2,2,7.4,i,BSA.11-03,DK,"high sediment, moderate detritus. Many broken diatoms ",cone + half sphere,172.03,,,,,,,,,
Phyto,11/3/2016,9:00,C3A,61,8,13.11%,0.0697,314.159,0.348732495,5,112.61,1365,Rhodomonas cf. lacustris,Soft Body,Rhodomonas,lacustris,,1,1,11.1,i,BSA.11-03,DK,"high sediment, moderate detritus. Many broken diatoms ",cone + half sphere,567.71,,,,,,,,,
