MethodCode,SampleDate,SampleTime,StationCode,Volume Received (mL),Volume Analyzed (mL),Percent of Sample Counted,Field-of-view (mm²),Slide/ Chamber Area (mm²),Area Counted,Number of Fields Counted,Factor,BSA_TIN,Taxon,Diatom/SoftBody,Genus,Species,Synonym,Unit Abundance,Number of cells per unit,GALD 1,Colony/Filament/Individual Group Code,BSA#,Taxonomist,Comments,Shape,Biovolume 1,Biovolume 2,Biovolume 3,Biovolume 4,Biovolume 5,Biovolume 6,Biovolume 7,Biovolume 8,Biovolume 9,Biovolume 10
Phyto,10/12/2018,9:25,NZ068,62.0,2,3.23%,0.0697,314.159,1.3243,19,118.61,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,3,3,8.3,i,BSA.10-01,BB,,cylinder,181.61,,,,,,,,,
Phyto,10/12/2018,9:25,NZ068,62.0,2,3.23%,0.0697,314.159,1.3243,19,118.61,749,Nitzschia sp.,Diatom,Nitzschia,sp.,,2,2,16.7,i,BSA.10-01,BB,,prism on parallelogram,37.92,,,,,,,,,
Phyto,10/12/2018,9:25,NZ068,62.0,2,3.23%,0.0697,314.159,1.3243,19,118.61,987,Thalassiosira sp.,Diatom,Thalassiosira,sp.,,2,2,27.8,i,BSA.10-01,BB,,cylinder,7890.83,,,,,,,,,
Phyto,10/12/2018,9:25,NZ068,62.0,2,3.23%,0.0697,314.159,1.3243,19,118.61,1037,cf. Chlorella sp.,Soft Body,Chlorella,sp.,,5,5,1.9,i,BSA.10-01,BB,,sphere,2.57,,,,,,,,,
Phyto,10/12/2018,9:25,NZ068,62.0,2,3.23%,0.0697,314.159,1.3243,19,118.61,1357,cf. Hemiselmis sp.,Soft Body,Hemiselmis,sp.,,1,1,4.6,i,BSA.10-01,BB,,prolate spheroid,21.68,,,,,,,,,
Phyto,10/12/2018,9:25,NZ068,62.0,2,3.23%,0.0697,314.159,1.3243,19,118.61,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,1,1,9.3,i,BSA.10-01,BB,,cone + half sphere,314.74,,,,,,,,,
Phyto,10/12/2018,9:25,NZ068,62.0,2,3.23%,0.0697,314.159,1.3243,19,118.61,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,390,824,0.8,c,BSA.10-01,BB,,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,10/12/2018,6:15,D4,63.5,2,3.15%,0.0697,314.159,0.9758,14,160.98,1037,cf. Chlorella sp.,Soft Body,Chlorella,sp.,,1,1,1.9,i,BSA.10-02,BB,,sphere,3.59,,,,,,,,,
Phyto,10/12/2018,6:15,D4,63.5,2,3.15%,0.0697,314.159,0.9758,14,160.98,1037,Chlorella sp.,Soft Body,Chlorella,sp.,,1,1,2,i,BSA.10-02,BB,,sphere,4.19,,,,,,,,,
Phyto,10/12/2018,6:15,D4,63.5,2,3.15%,0.0697,314.159,0.9758,14,160.98,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,1,1,8.7,i,BSA.10-02,BB,,cone + half sphere,271.47,,,,,,,,,
