MethodCode,SampleDate,SampleTime,StationCode,Volume Received (mL),Volume Analyzed (mL),Percent of Sample Counted,Field-of-view (mm²),Slide/ Chamber Area (mm²),Area Counted,Number of Fields Counted,Factor,BSA_TIN,Taxon,Diatom/SoftBody,Genus,Species,Synonym,Unit Abundance,Organisms per mL,Total Cells Counted,GALD,Colony/Filament/Individual Group Code,BSA#,Taxonomist,Comments,Shape,Biovolume 1,Biovolume 2,Biovolume 3,Biovolume 4,Biovolume 5,Biovolume 6,Biovolume 7,Biovolume 8,Biovolume 9,Biovolume 10,
Phyto,9/24/2013,8:00,D26,63,10,15.87%,0.0697,314.159,0.418478994,6,75.07,95,Aulacoseira sp. ,Diatom,Aulacoseira,sp.,,21,1576.50,21,16.8,i,BSA.09-01,KS,"High sediment, moderate detritus, diatom fragments.",cylinder,742.20,,,,,,,,,,
Phyto,9/24/2013,8:00,D26,63,10,15.87%,0.0697,314.159,0.418478994,6,75.07,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,2,150.14,2,5.6,i,BSA.09-01,KS,"High sediment, moderate detritus, diatom fragments.",cylinder,91.13,,,,,,,,,,
Phyto,9/24/2013,8:00,D26,63,10,15.87%,0.0697,314.159,0.418478994,6,75.07,397,Fragilaria sp.,Diatom,Fragilaria,sp.,,1,75.07,1,16.8,i,BSA.09-01,KS,"High sediment, moderate detritus, diatom fragments.",elliptic prism,229.46,,,,,,,,,,
Phyto,9/24/2013,8:00,D26,63,10,15.87%,0.0697,314.159,0.418478994,6,75.07,1642,Komma caudata,Soft Body,Komma,caudata,,1,75.07,1,7.5,i,BSA.09-01,KS,"High sediment, moderate detritus, diatom fragments.",cone + half sphere,164.93,,,,,,,,,,
Phyto,9/24/2013,8:00,D26,63,10,15.87%,0.0697,314.159,0.418478994,6,75.07,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,1,75.07,1,9.3,i,BSA.09-01,KS,"High sediment, moderate detritus, diatom fragments.",cone + half sphere,317.00,,,,,,,,,,
Phyto,9/24/2013,8:00,D26,63,10,15.87%,0.0697,314.159,0.418478994,6,75.07,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,420,31530.08,846,0.87,c,BSA.09-01,KS,"High sediment, moderate detritus, diatom fragments.",sphere,0.27,0.27,0.38,0.38,0.38,0.38,0.38,0.27,0.38,0.38,
Phyto,9/24/2013,8:00,D26,63,10,15.87%,0.0697,314.159,0.418478994,6,75.07,1420,Chroococcus minimus,Soft Body,Chroococcus,minimus,,2,150.14,4,1.9,i,BSA.09-01,KS,"High sediment, moderate detritus, diatom fragments.",sphere,3.59,,,,,,,,,,
Phyto,9/26/2013,8:45,D7,60,10,16.67%,0.0697,314.159,0.557971992,8,56.30,95,Aulacoseira sp. ,Diatom,Aulacoseira,sp.,,2,112.61,2,7.5,i,BSA.09-02,KS,"Fragment. High detritus, moderate sediment, diatom fragments.",cylinder,248.87,,,,,,,,,,
Phyto,9/26/2013,8:45,D7,60,10,16.67%,0.0697,314.159,0.557971992,8,56.30,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,2,112.61,2,7.5,i,BSA.09-02,KS,"High detritus, moderate sediment, diatom fragments.",cylinder,163.46,,,,,,,,,,
Phyto,9/26/2013,8:45,D7,60,10,16.67%,0.0697,314.159,0.557971992,8,56.30,750,Nitzschia spp.,Diatom,Nitzschia,spp.,,2,112.61,2,29.9,i,BSA.09-02,KS,"High detritus, moderate sediment, diatom fragments.",prism on parallelogram,309.76,,,,,,,,,,
Phyto,9/26/2013,8:45,D7,60,10,16.67%,0.0697,314.159,0.557971992,8,56.30,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,426,23985.39,856,0.86,c,BSA.09-02,KS,"High detritus, moderate sediment, diatom fragments.",sphere,0.38,0.38,0.27,0.38,0.27,0.27,0.38,0.38,0.27,0.38,
Phyto,9/25/2013,8:15,D8,60,10,16.67%,0.0697,314.159,0.557971992,8,56.30,95,Aulacoseira sp.,Diatom,Aulacoseira,sp.,,3,168.91,3,8.4,i,BSA.09-03,KS,"Fragment. High detritus, moderate sediment, diatom fragments.",cylinder,310.34,,,,,,,,,,
Phyto,9/25/2013,8:15,D8,60,10,16.67%,0.0697,314.159,0.557971992,8,56.30,99,cf. Bacillaria paxillifer,Diatom,Bacillaria,paxillifer,,1,56.30,1,9.3,i,BSA.09-03,KS,"Fragment. High detritus, moderate sediment, diatom fragments.",box,192.70,,,,,,,,,,
Phyto,9/25/2013,8:15,D8,60,10,16.67%,0.0697,314.159,0.557971992,8,56.30,190,Cyclotella spp.,Diatom,Cyclotella,spp.,,4,225.21,4,11.2,i,BSA.09-03,KS,"High detritus, moderate sediment, diatom fragments.",cylinder,364.52,,,,,,,,,,
Phyto,9/25/2013,8:15,D8,60,10,16.67%,0.0697,314.159,0.557971992,8,56.30,397,Fragilaria sp.,Diatom,Fragilaria,sp.,,1,56.30,1,20.6,i,BSA.09-03,KS,"Fragment. High detritus, moderate sediment, diatom fragments.",elliptic prism,126.84,,,,,,,,,,
Phyto,9/25/2013,8:15,D8,60,10,16.67%,0.0697,314.159,0.557971992,8,56.30,631,Navicula sp.,Diatom,Navicula,sp.,,1,56.30,1,18.7,i,BSA.09-03,KS,"Fragment. High detritus, moderate sediment, diatom fragments.",elliptic prism,407.56,,,,,,,,,,
Phyto,9/25/2013,8:15,D8,60,10,16.67%,0.0697,314.159,0.557971992,8,56.30,750,Nitzschia spp.,Diatom,Nitzschia,spp.,,2,112.61,2,11.2,i,BSA.09-03,KS,"High detritus, moderate sediment, diatom fragments.",prism on parallelogram,76.66,,,,,,,,,,
