MethodCode,SampleDate,SampleTime,StationCode,Volume Received (mL),Volume Analyzed (mL),Percent of Sample Counted,Field-of-view (mm²),Slide/ Chamber Area (mm²),Area Counted,Number of Fields Counted,Factor,BSA_TIN,Taxon,Diatom/SoftBody,Genus,Species,Synonym,Unit Abundance,Number of cells per unit,GALD,Colony/Filament/Individual Group Code,BSA#,Taxonomist,Comments,Shape,Biovolume 1,Biovolume 2,Biovolume 3,Biovolume 4,Biovolume 5,Biovolume 6,Biovolume 7,Biovolume 8,Biovolume 9,Biovolume 10
Phyto,12/9/2015,13:47,LIS,65,5,7.69%,0.0697,314.159,0.348732495,5,180.17,1037,cf. Chlorella sp.,Soft Body,Chlorella,sp.,,1,1,2.8,i,BSA.YOLO-01,JW,Low sediment and high detritus. ,sphere,11.49,,,,,,,,,
Phyto,12/9/2015,13:47,LIS,65,5,7.69%,0.0697,314.159,0.348732495,5,180.17,1349,Cryptomonas ovata,Soft Body,Cryptomonas,ovata,,1,1,28,i,BSA.YOLO-01,JW,Low sediment and high detritus. ,prolate spheroid,2477.67,,,,,,,,,
Phyto,12/9/2015,13:47,LIS,65,5,7.69%,0.0697,314.159,0.348732495,5,180.17,1357,cf. Hemiselmis sp.,Soft Body,Hemiselmis,sp.,,1,1,5.6,i,BSA.YOLO-01,JW,Low sediment and high detritus. ,prolate spheroid,40.14,,,,,,,,,
Phyto,12/9/2015,13:47,LIS,65,5,7.69%,0.0697,314.159,0.348732495,5,180.17,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,566,1182,0.65,c,BSA.YOLO-01,JW,Low sediment and high detritus. ,sphere,0.27,0.27,0.27,0.27,0.27,0.07,0.07,0.07,0.07,0.07
Phyto,12/9/2015,13:47,LIS,65,5,7.69%,0.0697,314.159,0.348732495,5,180.17,1834,Halteria sp.,Ciliophora,Halteria,sp.,,1,1,10,i,BSA.YOLO-01,JW,Low sediment and high detritus. ,sphere,523.60,,,,,,,,,
Phyto,12/21/2015,9:04,LIS,60,3,5.00%,0.0697,314.159,0.488225493,7,214.49,190,cf. Cyclotella sp.,Diatom,Cyclotella,sp.,,4,4,11,i,BSA.YOLO-02,JW,Low sediment. Sample contains mucilaginous detritus.,cylinder,703.24,,,,,,,,,
Phyto,12/21/2015,9:04,LIS,60,3,5.00%,0.0697,314.159,0.488225493,7,214.49,1761,Drepanochloris nannoselene,Soft Body,Drepanochloris,nannoselene,,1,1,7.4,i,BSA.YOLO-02,JW,Low sediment. Sample contains mucilaginous detritus.,cylinder + 2 cones,3.92,,,,,,,,,
Phyto,12/21/2015,9:04,LIS,60,3,5.00%,0.0697,314.159,0.488225493,7,214.49,1349,Cryptomonas ovata,Soft Body,Cryptomonas,ovata,,1,1,22,i,BSA.YOLO-02,JW,Low sediment. Sample contains mucilaginous detritus.,prolate spheroid,1393.82,,,,,,,,,
Phyto,12/21/2015,9:04,LIS,60,3,5.00%,0.0697,314.159,0.488225493,7,214.49,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,3,3,7.4,i,BSA.YOLO-02,JW,Low sediment. Sample contains mucilaginous detritus.,cone + half sphere,186.37,,,,,,,,,
Phyto,12/21/2015,9:04,LIS,60,3,5.00%,0.0697,314.159,0.488225493,7,214.49,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,447,942,0.65,c,BSA.YOLO-02,JW,Low sediment. Sample contains mucilaginous detritus.,sphere,0.27,0.27,0.27,0.27,0.27,0.07,0.07,0.07,0.07,0.07
Phyto,12/10/2015,10:56,SHR,63,5,7.94%,0.0697,314.159,1.39492998,20,45.04,44,Achnanthidium minutissimum,Diatom,Achnanthidium,minutissimum,,3,3,13,i,BSA.YOLO-03,JW,Low sediment and moderate detritus.,elliptic prism,37.78,,,,,,,,,
Phyto,12/10/2015,10:56,SHR,63,5,7.94%,0.0697,314.159,1.39492998,20,45.04,99,Bacillaria paxillifera,Diatom,Bacillaria,paxillifera,,1,1,83,i,BSA.YOLO-03,JW,Low sediment and moderate detritus.,box,3071.00,,,,,,,,,
Phyto,12/10/2015,10:56,SHR,63,5,7.94%,0.0697,314.159,1.39492998,20,45.04,145,Cocconeis placentula,Diatom,Cocconeis,placentula,,6,6,16.7,i,BSA.YOLO-03,JW,Low sediment and moderate detritus.,elliptic prism,243.96,,,,,,,,,
Phyto,12/10/2015,10:56,SHR,63,5,7.94%,0.0697,314.159,1.39492998,20,45.04,278,Diatoma vulgaris,Diatom,Diatoma,vulgaris,,1,1,41,i,BSA.YOLO-03,JW,Low sediment and moderate detritus.,elliptic prism,1932.08,,,,,,,,,
Phyto,12/10/2015,10:56,SHR,63,5,7.94%,0.0697,314.159,1.39492998,20,45.04,325,Epithemia sorex,Diatom,Epithemia,sorex,,1,1,33,i,BSA.YOLO-03,JW,Low sediment and moderate detritus.,cymbelloid,511.59,,,,,,,,,
Phyto,12/10/2015,10:56,SHR,63,5,7.94%,0.0697,314.159,1.39492998,20,45.04,540,Melosira varians,Diatom,Melosira,varians,,3,3,24,c,BSA.YOLO-03,JW,Low sediment and moderate detritus.,cylinder,7844.42,,,,,,,,,
Phyto,12/10/2015,10:56,SHR,63,5,7.94%,0.0697,314.159,1.39492998,20,45.04,664,Nitzschia acicularis,Diatom,Nitzschia,acicularis,,1,1,69,i,BSA.YOLO-03,JW,Low sediment and moderate detritus.,prism on parallelogram,255.30,,,,,,,,,
Phyto,12/10/2015,10:56,SHR,63,5,7.94%,0.0697,314.159,1.39492998,20,45.04,1007,Ulnaria ulna,Diatom,Ulnaria,ulna,,4,4,37,i,BSA.YOLO-03,JW,Fragment. Low sediment and moderate detritus.,elliptic prism,1290.25,,,,,,,,,
Phyto,12/10/2015,10:56,SHR,63,5,7.94%,0.0697,314.159,1.39492998,20,45.04,1007,Ulnaria ulna,Diatom,Ulnaria,ulna,,1,1,432,i,BSA.YOLO-03,JW,Low sediment and moderate detritus.,elliptic prism,14060.25,,,,,,,,,
Phyto,12/10/2015,10:56,SHR,63,5,7.94%,0.0697,314.159,1.39492998,20,45.04,1031,Chlamydomonas sp.,Soft Body,Chlamydomonas,sp.,,1,1,13,i,BSA.YOLO-03,JW,Low sediment and moderate detritus.,sphere,599.00,,,,,,,,,
Phyto,12/10/2015,10:56,SHR,63,5,7.94%,0.0697,314.159,1.39492998,20,45.04,1037,cf. Chlorella sp.,Soft Body,Chlorella,sp.,,1,1,2.8,i,BSA.YOLO-03,JW,Low sediment and moderate detritus.,sphere,11.49,,,,,,,,,
