MethodCode,SampleDate,SampleTime,StationCode,Volume Received (mL),Volume Analyzed (mL),Percent of Sample Counted,Field-of-view (mm²),Slide/ Chamber Area (mm²),Area Counted,Number of Fields Counted,Factor,BSA_TIN,Taxon,Diatom/SoftBody,Genus,Species,Synonym,Unit Abundance,Number of cells per unit,GALD,Colony/Filament/Individual Group Code,BSA#,Taxonomist,Comments,Shape,Biovolume 1,Biovolume 2,Biovolume 3,Biovolume 4,Biovolume 5,Biovolume 6,Biovolume 7,Biovolume 8,Biovolume 9,Biovolume 10
Phyto,5/30/2017,10:08,LIS,65,0.5,0.77%,0.0697,314.159,0.348732495,5,1801.72,190,cf. Cyclotella sp.,Diatom,Cyclotella,sp.,,1,1,7.4,i,BSA.YOLO-01,KS,,cylinder,159.13,,,,,,,,,
Phyto,5/30/2017,10:08,LIS,65,0.5,0.77%,0.0697,314.159,0.348732495,5,1801.72,705,Nitzschia fruticosa,Diatom,Nitzschia,fruticosa,,1,1,29.6,i,BSA.YOLO-01,KS,,prism on parallelogram,202.61,,,,,,,,,
Phyto,5/30/2017,10:08,LIS,65,0.5,0.77%,0.0697,314.159,0.348732495,5,1801.72,1860,Skeletonema cf. potamos,Diatom,Skeletonema,potamos,,12,12,7.4,c,BSA.YOLO-01,KS,,cylinder + 2 half spheres,79.57,,,,,,,,,
Phyto,5/30/2017,10:08,LIS,65,0.5,0.77%,0.0697,314.159,0.348732495,5,1801.72,987,cf. Thalassiosira sp.,Diatom,Thalassiosira,sp.,,2,2,7.4,i,BSA.YOLO-01,KS,Girdle view.,cylinder,79.57,,,,,,,,,
Phyto,5/30/2017,10:08,LIS,65,0.5,0.77%,0.0697,314.159,0.348732495,5,1801.72,1010,Actinastrum hantzschii,Soft Body,Actinastrum,hantzschii,,1,3,16.7,c,BSA.YOLO-01,KS,,cylinder + 2 cones,55.61,,,,,,,,,
Phyto,5/30/2017,10:08,LIS,65,0.5,0.77%,0.0697,314.159,0.348732495,5,1801.72,1037,cf. Chlorella sp.,Soft Body,Chlorella,sp.,,1,1,3.5,i,BSA.YOLO-01,KS,,sphere,22.45,,,,,,,,,
Phyto,5/30/2017,10:08,LIS,65,0.5,0.77%,0.0697,314.159,0.348732495,5,1801.72,1235,Scenedesmus sp.,Soft Body,Scenedesmus,sp.,,1,4,7.4,c,BSA.YOLO-01,KS,,prolate spheroid,30.38,,,,,,,,,
Phyto,5/30/2017,10:08,LIS,65,0.5,0.77%,0.0697,314.159,0.348732495,5,1801.72,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,592,1222,0.65,c,BSA.YOLO-01,KS,,sphere,0.27,0.27,0.27,0.27,0.27,0.07,0.07,0.07,0.07,0.07
Phyto,5/30/2017,10:08,LIS,65,0.5,0.77%,0.0697,314.159,0.348732495,5,1801.72,1766,Dolichospermum sp.,Soft Body,Dolichospermum,sp.,,1,62,3.7,f,BSA.YOLO-01,KS,,sphere,26.52,,,,,,,,,
Phyto,5/30/2017,10:08,LIS,65,0.5,0.77%,0.0697,314.159,0.348732495,5,1801.72,1503,Planktothrix sp.,Soft Body,Planktothrix,sp.,,1,121,3.7,f,BSA.YOLO-01,KS,,cylinder,39.78,,,,,,,,,
