MethodCode,SampleDate,SampleTime,StationCode,Depth (m),Volume Received (mL),Volume Analyzed (mL),Percent of Sample Counted,Field-of-view (mm²),Slide/ Chamber Area (mm²),Area Counted,Number of Fields Counted,Factor,BSA_TIN,Taxon,Diatom/SoftBody,Genus,Species,Synonym,Unit Abundance,Number of cells per unit,GALD 1,GALD 2,GALD 3,Colony/Filament/Individual Group Code,BSA#,Taxonomist,Comments,Shape,Biovolume 1,Biovolume 2,Biovolume 3,Biovolume 4,Biovolume 5,Biovolume 6,Biovolume 7,Biovolume 8,Biovolume 9,Biovolume 10,Dimension,Measurement average,Measurement 1,Measurement 2,Measurement 3,Measurement 4,Measurement 5,Measurement 6,Measurement 7,Measurement 8,Measurement 9,Measurement 10,Measurement 11,Measurement 12,Measurement 13,Measurement 14,Measurement 15,Measurement 16,Measurement 17,Measurement 18,Measurement 19,Measurement 20,Measurement 21,Measurement 22,Measurement 23,Measurement 24,Measurement 25
Phyto,10/25/2018,13:28,LIS,1,64.0,1,1.56%,0.0683,314.159,0.4098,6,766.62,190,cf. Cyclotella sp.,Diatom,Cyclotella,sp.,,3,3,7.4,,,i,BSA.YOLO-01,CT,High sediment and moderate detritus. ,cylinder,117.56,,,,,,,,,,Length,4.3,3.7,3.7,5.6,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,5.9,4.6,5.6,7.4,,,,,,,,,,,,,,,,,,,,,,
Phyto,10/25/2018,13:28,LIS,1,64.0,1,1.56%,0.0683,314.159,0.4098,6,766.62,1860,Skeletonema potamos,Diatom,Skeletonema,potamos,,1,1,11.1,,,i,BSA.YOLO-01,CT,High sediment and moderate detritus. ,cylinder + 2 half spheres,119.35,,,,,,,,,,Length,11.1,11.1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,3.7,3.7,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,10/25/2018,13:28,LIS,1,64.0,1,1.56%,0.0683,314.159,0.4098,6,766.62,1037,Chlorella sp.,Soft Body,Chlorella,sp.,,2,2,2.8,,,i,BSA.YOLO-01,CT,High sediment and moderate detritus. ,sphere,7.24,,,,,,,,,,Length,2.4,1.9,2.8,,,,,,,,,,,,,,,,,,,,,,,
Phyto,10/25/2018,13:28,LIS,1,64.0,1,1.56%,0.0683,314.159,0.4098,6,766.62,1135,Monoraphidium convolutum,Soft Body,Monoraphidium,convolutum,,1,1,7.4,,,i,BSA.YOLO-01,CT,High sediment and moderate detritus. ,2 cones,13.99,,,,,,,,,,Length,7.4,7.4,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,1.9,1.9,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,10/25/2018,13:28,LIS,1,64.0,1,1.56%,0.0683,314.159,0.4098,6,766.62,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,395,801,0.8,0.8,0.8,c,BSA.YOLO-01,CT,High sediment and moderate detritus. ,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,Length,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Phyto,10/25/2018,12:54,RVB,1,63.5,2,3.15%,0.0683,314.159,1.0928,16,143.74,190,cf. Cyclotella sp.,Diatom,Cyclotella,sp.,,1,1,3.7,,,i,BSA.YOLO-02,CT,Low sediment and detritus. Many broken diatoms.,cylinder,30.11,,,,,,,,,,Length,2.8,2.8,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,3.7,3.7,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,10/25/2018,12:54,RVB,1,63.5,2,3.15%,0.0683,314.159,1.0928,16,143.74,1031,Chlamydomonas sp.,Soft Body,Chlamydomonas,sp.,,1,1,5.6,,,i,BSA.YOLO-02,CT,Low sediment and detritus. Many broken diatoms.,sphere,75.53,,,,,,,,,,Length,5.6,5.6,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,5.6,5.6,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,4.6,4.6,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,10/25/2018,12:54,RVB,1,63.5,2,3.15%,0.0683,314.159,1.0928,16,143.74,1037,Chlorella sp.,Soft Body,Chlorella,sp.,,18,18,3.7,,,i,BSA.YOLO-02,CT,Low sediment and detritus. Many broken diatoms.,sphere,9.20,,,,,,,,,,Length,2.6,1.9,1.9,2.8,3.7,2.8,,,,,,,,,,,,,,,,,,,,
Phyto,10/25/2018,12:54,RVB,1,63.5,2,3.15%,0.0683,314.159,1.0928,16,143.74,1692,cf. Kephyrion sp.,Soft Body,Kephyrion,sp.,,1,1,6.5,,,i,BSA.YOLO-02,CT,Low sediment and detritus. Many broken diatoms.,prolate spheroid,72.02,,,,,,,,,,Length,6.5,6.5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,4.6,4.6,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,10/25/2018,12:54,RVB,1,63.5,2,3.15%,0.0683,314.159,1.0928,16,143.74,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,1,1,11.1,,,i,BSA.YOLO-02,CT,Low sediment and detritus. Many broken diatoms.,cone + half sphere,538.68,,,,,,,,,,Length,11.1,11.1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,5.6,5.6,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,10/25/2018,12:54,RVB,1,63.5,2,3.15%,0.0683,314.159,1.0928,16,143.74,1733,Plagioselmis prolonga,Soft Body,Plagioselmis,prolonga,,1,1,6.5,,,i,BSA.YOLO-02,CT,Low sediment and detritus. Many broken diatoms.,cone + half sphere,112.82,,,,,,,,,,Length,6.5,6.5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,3.7,3.7,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,10/25/2018,12:54,RVB,1,63.5,2,3.15%,0.0683,314.159,1.0928,16,143.74,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,389,783,0.8,0.8,0.8,c,BSA.YOLO-02,CT,Low sediment and detritus. Many broken diatoms.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,Length,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Phyto,10/25/2018,12:01,LIB,1,63.0,2,3.17%,0.0683,314.159,0.7513,11,209.08,1031,Chlamydomonas sp.,Soft Body,Chlamydomonas,sp.,,1,1,6.5,,,i,BSA.YOLO-03,CT,Low sediment and detritus. Ciliates observed.,sphere,106.73,,,,,,,,,,Length,6.5,6.5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,5.6,5.6,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,5.6,5.6,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,10/25/2018,12:01,LIB,1,63.0,2,3.17%,0.0683,314.159,0.7513,11,209.08,1037,Chlorella sp.,Soft Body,Chlorella,sp.,,32,32,4.6,,,i,BSA.YOLO-03,CT,Low sediment and detritus. Ciliates observed.,sphere,18.82,,,,,,,,,,Length,3.3,2.8,2.8,3.7,4.6,2.8,,,,,,,,,,,,,,,,,,,,
Phyto,10/25/2018,12:01,LIB,1,63.0,2,3.17%,0.0683,314.159,0.7513,11,209.08,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,2,2,9.3,,,i,BSA.YOLO-03,CT,Low sediment and detritus. Ciliates observed.,cone + half sphere,337.38,,,,,,,,,,Length,9.3,9.3,9.3,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,5.6,5.6,5.6,,,,,,,,,,,,,,,,,,,,,,,
Phyto,10/25/2018,12:01,LIB,1,63.0,2,3.17%,0.0683,314.159,0.7513,11,209.08,1733,Plagioselmis prolonga,Soft Body,Plagioselmis,prolonga,,3,3,7.4,,,i,BSA.YOLO-03,CT,Low sediment and detritus. Ciliates observed.,cone + half sphere,116.14,,,,,,,,,,Length,6.5,5.6,6.5,7.4,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,4.0,3.7,4.6,3.7,,,,,,,,,,,,,,,,,,,,,,
Phyto,10/25/2018,12:01,LIB,1,63.0,2,3.17%,0.0683,314.159,0.7513,11,209.08,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,362,727,0.8,0.8,0.8,c,BSA.YOLO-03,CT,Low sediment and detritus. Ciliates observed.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,Length,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Phyto,10/10/2018,12:28,BL5,1,62.5,2,3.20%,0.0683,314.159,0.4781,7,328.55,145,Cocconeis placentula,Diatom,Cocconeis,placentula,,1,1,20.4,,,i,BSA.YOLO-04,CT,Moderate sediment and detritus.,elliptic prism,711.38,,,,,,,,,,Length,20.4,20.4,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,3.7,3.7,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,10/10/2018,12:28,BL5,1,62.5,2,3.20%,0.0683,314.159,0.4781,7,328.55,895,cf. Skeletonema sp.,Diatom,Skeletonema,sp.,,1,1,11.1,,,i,BSA.YOLO-04,CT,Moderate sediment and detritus.,cylinder + 2 half spheres,119.35,,,,,,,,,,Length,11.1,11.1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,3.7,3.7,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,10/10/2018,12:28,BL5,1,62.5,2,3.20%,0.0683,314.159,0.4781,7,328.55,1037,Chlorella sp.,Soft Body,Chlorella,sp.,,6,6,3.7,,,i,BSA.YOLO-04,CT,Moderate sediment and detritus.,sphere,14.14,,,,,,,,,,Length,3.0,1.9,2.8,2.8,3.7,3.7,,,,,,,,,,,,,,,,,,,,
Phyto,10/10/2018,12:28,BL5,1,62.5,2,3.20%,0.0683,314.159,0.4781,7,328.55,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,397,796,0.8,0.8,0.8,c,BSA.YOLO-04,CT,Moderate sediment and detritus.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,Length,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Phyto,10/10/2018,8:45,LIS,1,62.0,2,3.23%,0.0683,314.159,0.4098,6,383.31,190,cf. Cyclotella sp.,Diatom,Cyclotella,sp.,,1,1,9.3,,,i,BSA.YOLO-05,CT,Moderate sediment and detritus.,cylinder,380.40,,,,,,,,,,Length,5.6,5.6,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,9.3,9.3,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,10/10/2018,8:45,LIS,1,62.0,2,3.23%,0.0683,314.159,0.4098,6,383.31,1037,Chlorella sp.,Soft Body,Chlorella,sp.,,5,5,3.7,,,i,BSA.YOLO-05,CT,Moderate sediment and detritus.,sphere,9.20,,,,,,,,,,Length,2.6,1.9,2.8,2.8,1.9,3.7,,,,,,,,,,,,,,,,,,,,
Phyto,10/10/2018,8:45,LIS,1,62.0,2,3.23%,0.0683,314.159,0.4098,6,383.31,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,428,857,0.8,0.8,0.8,c,BSA.YOLO-05,CT,Moderate sediment and detritus.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,Length,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Phyto,10/25/2018,12:26,RYI,1,63.0,2,3.17%,0.0683,314.159,1.366,20,114.99,190,cf. Cyclotella sp.,Diatom,Cyclotella,sp.,,2,2,4.6,,,i,BSA.YOLO-06,CT,Low sediment and detritus. ,cylinder,61.49,,,,,,,,,,Length,3.7,3.7,3.7,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,4.6,4.6,4.6,,,,,,,,,,,,,,,,,,,,,,,
Phyto,10/25/2018,12:26,RYI,1,63.0,2,3.17%,0.0683,314.159,1.366,20,114.99,749,Nitzschia sp.,Diatom,Nitzschia,sp.,,1,1,16.7,,,i,BSA.YOLO-06,CT,Low sediment and detritus. ,prism on parallelogram,114.31,,,,,,,,,,Length,16.7,16.7,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,3.7,3.7,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,3.7,3.7,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,10/25/2018,12:26,RYI,1,63.0,2,3.17%,0.0683,314.159,1.366,20,114.99,1031,Chlamydomonas sp.,Soft Body,Chlamydomonas,sp.,,1,1,6.5,,,i,BSA.YOLO-06,CT,Low sediment and detritus. ,sphere,123.88,,,,,,,,,,Length,6.5,6.5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,6.5,6.5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,5.6,5.6,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,10/25/2018,12:26,RYI,1,63.0,2,3.17%,0.0683,314.159,1.366,20,114.99,1037,Chlorella sp.,Soft Body,Chlorella,sp.,,17,17,2.8,,,i,BSA.YOLO-06,CT,Low sediment and detritus. ,sphere,6.37,,,,,,,,,,Length,2.3,2.8,1.9,1.9,1.9,2.8,,,,,,,,,,,,,,,,,,,,
Phyto,10/25/2018,12:26,RYI,1,63.0,2,3.17%,0.0683,314.159,1.366,20,114.99,1806,cf. Chrysochromulina sp.,Soft Body,Chrysochromulina,sp.,,2,2,2.8,,,i,BSA.YOLO-06,CT,Low sediment and detritus. ,prolate spheroid,11.49,,,,,,,,,,Length,2.8,2.8,2.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,2.8,2.8,2.8,,,,,,,,,,,,,,,,,,,,,,,
Phyto,10/25/2018,12:26,RYI,1,63.0,2,3.17%,0.0683,314.159,1.366,20,114.99,1733,Plagioselmis prolonga,Soft Body,Plagioselmis,prolonga,,1,1,7.4,,,i,BSA.YOLO-06,CT,Low sediment and detritus. ,cone + half sphere,172.03,,,,,,,,,,Length,7.4,7.4,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,4.6,4.6,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,10/25/2018,12:26,RYI,1,63.0,2,3.17%,0.0683,314.159,1.366,20,114.99,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,385,776,0.8,0.8,0.8,c,BSA.YOLO-06,CT,Low sediment and detritus. ,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,Length,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
